SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
SNSS,2020-12-31,USD,23247000,22144000,20410000,20410000,None,None,1103000,273000,None,None,None,None,None,None,None,1734000,830000,3310000,3310000,479000,None,None,5473000,None,273000,None,None,None,273000,273000,None,19937000,None,-704410000,2000,5173709
SNSS,2020-09-30,USD,28033000,27624000,26048000,26048000,None,None,409000,409000,None,None,None,None,None,None,None,1576000,409000,3567000,3567000,150000,None,None,409000,None,409000,None,None,None,409000,409000,None,24466000,None,-699603000,2000,5169423
SNSS,2020-06-30,USD,25506000,24865000,17653000,17653000,None,None,641000,545000,None,None,None,None,None,None,None,5500000,96000,9400000,9400000,452000,None,6018000,5473000,None,545000,5500000,5473000,None,5500000,545000,None,16106000,None,-694965000,11000,3184711
SNSS,2020-03-31,USD,31487000,30709000,19974000,23419000,None,None,778000,1000,None,None,None,None,25940000,None,3445000,7290000,96000,9401000,9261000,862000,None,6014000,5469000,140000,681000,5500000,5469000,None,5500000,545000,4000,22086000,None,-688575000,11000,3182660
SNSS,2019-12-31,USD,37240000,36322000,12761000,29125000,None,None,918000,3000,None,None,None,None,43021000,None,16364000,7197000,98000,9697000,9416000,791000,None,5465000,5465000,281000,817000,5465000,5465000,None,5500000,545000,9000,27543000,None,-682800000,1000,3182653
SNSS,2019-09-30,USD,41610000,40549000,19733000,32813000,None,None,1061000,5000,None,None,None,None,44606000,None,13080000,7736000,102000,9316000,8894000,770000,None,6005000,5460000,422000,954000,5500000,5460000,None,5500000,545000,13000,32294000,None,-677512000,11000,105000000
SNSS,2019-06-30,USD,21044000,19842000,9797000,12183000,None,None,112000,7000,None,None,None,None,13430000,None,2386000,7659000,105000,9305000,8743000,692000,None,5456000,5456000,17000,1090000,5500000,5456000,None,5500000,545000,17000,11739000,None,-671570000,7000,72000000
SNSS,2019-03-31,USD,27754000,26410000,24811000,24811000,None,None,118000,9000,None,None,None,None,19735000,None,None,1599000,109000,10668000,9975000,861000,None,6032000,6032000,12000,1226000,6094000,6032000,None,6094000,545000,12000,17086000,None,-665329000,7000,59000000
SNSS,2018-12-31,USD,15324000,15200000,13696000,13696000,None,None,124000,11000,None,None,None,None,10845000,None,None,1504000,113000,11331000,11323000,1393000,None,7396000,7396000,8000,None,7396000,7396000,None,7500000,None,8000,3993000,None,-659469000,4000,36000000
SNSS,2018-09-30,USD,21586000,21464000,20162000,20200000,None,None,122000,14000,None,None,None,None,14987000,None,None,1302000,108000,12290000,12286000,1277000,None,7348000,7348000,4000,None,7500000,7348000,None,7500000,3661000,4000,9296000,None,-653472000,4000,36000000
