SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
SQ,2020-12-31,USD,9869550000,7761629000,3158058000,4229428000,61129000,41960000,4159253000,233520000,None,454313000,137612000,316701000,1535320000,463950000,1071370000,383067000,499250000,7187981000,4126104000,None,103608000,464094000,464094000,3068773000,442409000,464094000,464094000,2586924000,464094000,2879033000,85291000,2681569000,None,-297223000,None,456184776
SQ,2020-09-30,USD,8114276000,6491270000,2118808000,2881242000,70422000,39612000,3291734000,646120000,None,408182000,107562000,300620000,1161556000,399122000,762434000,388106000,169582000,6051441000,3825711000,None,106332000,473496000,473496000,2232798000,436024000,473496000,473496000,1758611000,473496000,201746000,82136000,2062835000,None,-591182000,None,447695197
SQ,2020-06-30,USD,7812272000,6187070000,1972762000,2687110000,55422000,38163000,295760000,616507000,None,295760000,99802000,295760000,1161033000,446685000,714348000,319890000,166449000,5885965000,3632516000,None,103098000,447764000,447764000,2260405000,428428000,447764000,447764000,1778428000,447764000,2991594000,90220000,1926307000,None,-627697000,None,442389350
SQ,2020-03-31,USD,6003873000,4389975000,1962316000,2484156000,54719000,31515000,81936000,564117000,193822000,81936000,81936000,288533000,1051300000,529460000,521840000,278670000,149852000,4195928000,2004658000,None,94092000,37335000,None,2197924000,386897000,1760847000,37335000,1760847000,3227498000,1809190000,80861000,1807945000,None,-616219000,None,438763636
SQ,2019-12-31,USD,4551258000,3219801000,1047118000,1539574000,47683000,33863000,2020449000,262342000,178529000,335424000,69079000,266345000,1029759000,537303000,492456000,250409000,196388000,2836208000,1694085000,None,88662000,27275000,None,1148350000,136105000,938832000,27275000,938832000,2107580000,1493861000,94461000,1715050000,None,-510328000,None,432796720
SQ,2019-09-30,USD,726663000,639437000,612048000,612048000,44690000,37564000,87226000,242704000,166350000,72793000,72793000,0,1151039000,564508000,586531000,215806000,81326000,45263000,1644901000,None,45263000,25779000,None,1112047000,132236000,928869000,25779000,928869000,2147124000,108067000,70483000,1249794000,None,-901268000,None,466000000
SQ,2019-06-30,USD,84216000,648430000,617282000,617282000,29354000,32157000,84216000,238556000,152792000,84216000,84216000,0,1059446000,460827000,598619000,180360000,57167000,44812000,2375594000,None,44812000,24955000,None,1100113000,132220000,919026000,24955000,919026000,1976177000,111878000,67649000,1184472000,None,-930665000,None,423000000
SQ,2019-03-31,USD,79697000,554896000,521676000,521676000,26679000,28665000,79697000,245662000,138540000,79697000,79697000,0,1078857000,481063000,597794000,185121000,48202000,42160000,2183559000,None,42160000,None,23041000,990704000,135597000,909302000,23041000,909302000,1921258000,108644000,75585000,1121589000,None,-923925000,None,419000000
SQ,2018-12-31,USD,3281023000,2111905000,583173000,1169506000,28627000,22393000,338807000,142402000,124909000,338807000,77102000,261705000,1051013000,464680000,586333000,198804000,74229000,2160522000,1018541000,None,72902000,None,None,1020961000,None,899695000,None,899695000,1774703000,99153000,93286000,1120501000,None,-885774000,None,406000000
SQ,2018-09-30,USD,3973368000,2877368000,721738000,1232632000,25294000,18980000,81130000,130145000,129745000,81130000,81130000,259964000,1048557000,537663000,510894000,136400000,76996000,2851224000,1863537000,None,33614000,None,125971000,1021783000,None,897976000,125971000,897976000,1023947000,70338000,89711000,1122144000,None,-857570000,None,475000000
SQ,2018-06-30,USD,3554827000,2869896000,1387977000,1621576000,22041000,17895000,85514000,121708000,118454000,85514000,85514000,255656000,426749000,193150000,233599000,120250000,40995000,2473198000,1315910000,None,27155000,None,1071437000,1187700000,None,1071437000,1071437000,1071437000,1513891000,60635000,85851000,1081629000,None,-877213000,None,403000000
SQ,2018-03-31,USD,2379612000,1990383000,738586000,938634000,20899000,9876000,14138000,98170000,109493000,14138000,14138000,58327000,401720000,201672000,200048000,91933000,32120000,1569632000,1131732000,None,3353000,None,362965000,463337000,None,362965000,362965000,362965000,715674000,27214000,74935000,809980000,None,-871307000,None,396000000
SQ,2017-12-31,USD,2187270000,1778294000,696474000,891050000,16777000,8606000,14334000,91496000,101316000,14334000,14334000,58327000,398243000,203667000,194576000,86454000,31350000,1400937000,972827000,None,5893000,None,365054000,448891000,None,362404000,365054000,358572000,631190000,45130000,69538000,786333000,None,-842735000,None,379000000
SQ,2017-09-30,USD,2083852000,1686877000,658412000,868371000,21204000,4209000,14648000,88666000,94597000,14648000,14648000,57961000,426294000,216335000,209959000,66539000,29800000,1350943000,930679000,None,3424000,None,357629000,443185000,None,354237000,357629000,354237000,649669000,21049000,66027000,732909000,None,-827072000,None,384000000
SQ,2017-06-30,USD,1741714000,1437917000,716989000,920276000,18457000,8104000,16452000,87442000,87721000,16452000,16452000,57961000,327386000,124099000,203287000,62798000,3278000,1037970000,624928000,None,4523000,None,349960000,437078000,None,349960000,349960000,349960000,626843000,26639000,63082000,703744000,None,-810974000,None,376000000
SQ,2017-03-31,USD,1591113000,1343355000,704494000,891250000,13951000,6947000,18395000,91013000,80641000,18395000,18395000,58103000,249467000,62711000,186756000,54605000,3042000000,963180000,554896000,None,2965000,None,398812000,433367000,None,345739000,398812000,345739000,590022000,22812000,62545000,627933000,None,-795012000,None,367000000
SQ,2016-12-31,USD,1211362000,1001425000,452030000,511931000,13724000,6191000,19292000,88328000,73332000,19292000,19292000,57173000,87267000,27366000,59901000,60543000,3194000,635209000,577464000,None,5407000,None,1878000,80864000,None,1187000,1878000,None,None,22472000,57745000,576153000,None,-779239000,None,342000000
SQ,2016-09-30,USD,1052208000,843027000,437900000,514327000,14695000,7407000,226763000,89957000,66412000,76951000,20252000,56699000,91905000,15478000,76427000,44244000,3658000,541819000,486024000,None,5303000,None,364434000,80595000,None,809000,364434000,None,None,44500000,55795000,510389000,None,-764072000,None,344000000
SQ,2016-06-30,USD,933292000,721028000,342436000,403427000,17199000,4563000,234453000,86325000,59017000,79028000,22329000,56699000,80593000,19602000,60991000,48473000,4178000,461833000,411469000,None,5119000,None,310242000,75180000,None,24000,310242000,None,None,42790000,50364000,471459000,None,-731749000,None,334000000
SQ,2016-03-31,USD,945069000,720052000,370646000,414093000,14878000,3268000,256786000,89039000,52096000,81162000,24463000,56699000,73162000,29715000,43447000,55211000,10107000,500185000,449932000,None,6213000,None,283860000,75985000,None,40000,283860000,None,None,33738000,50253000,444884000,None,-704404000,None,331000000
