SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
STEC,2013-06-30,USD,214572000,None,116280000,116280000,41492000,None,None,29346000,None,6022000,6022000,1682000,None,None,None,7375000,None,38457000,33639000,None,None,None,None,None,None,None,None,None,None,20217000,None,176115000,None,19010000,47000,None
STEC,2013-03-31,USD,234224000,None,132932000,132932000,42090000,None,None,31077000,None,6424000,6424000,1682000,None,None,None,7957000,None,31192000,26215000,None,None,None,None,None,None,None,None,None,None,18100000,None,203032000,None,49405000,47000,None
STEC,2012-12-31,USD,289771000,None,158232000,158232000,41760000,None,None,32846000,None,6826000,6826000,1682000,None,None,None,10212000,None,64589000,58404000,None,None,None,None,None,None,None,None,None,None,51586000,None,225182000,None,74872000,47000,None
STEC,2012-09-30,USD,313340000,None,186201000,186201000,44538000,None,None,34516000,None,6743000,6743000,1682000,None,None,None,6792000,None,68817000,64576000,None,None,None,None,None,None,None,None,None,None,53330000,None,244523000,None,98027000,47000,None
STEC,2012-06-30,USD,332261000,None,207171000,207171000,34613000,None,None,35699000,None,6984000,6984000,1682000,None,None,None,6399000,None,71688000,67515000,None,None,None,None,None,None,None,None,None,None,48406000,None,260573000,None,117810000,47000,None
STEC,2012-03-31,USD,333456000,None,205746000,205746000,37453000,None,None,37344000,None,7586000,7586000,1682000,None,None,None,9516000,None,29609000,24164000,None,None,None,None,None,None,None,None,None,None,15530000,None,303847000,None,167407000,46000,None
STEC,2011-12-31,USD,336582000,None,180853000,180853000,58629000,None,None,36836000,None,7867000,7867000,1682000,None,None,None,8967000,None,26229000,21146000,None,None,None,None,None,None,None,None,None,None,14309000,None,310353000,None,178096000,46000,None
STEC,2011-09-30,USD,356304000,None,161185000,161185000,82434000,None,None,38499000,None,8061000,8061000,1682000,None,None,None,4579000,None,35871000,29310000,None,None,None,None,None,None,None,None,None,None,15570000,None,320433000,None,181682000,47000,None
STEC,2011-06-30,USD,401764000,None,213292000,213292000,80177000,None,None,37639000,None,6711000,6711000,1682000,None,None,None,3401000,None,45977000,40326000,None,None,None,None,None,None,None,None,None,None,13946000,None,355787000,None,176838000,52000,None
STEC,2011-03-31,USD,374287000,None,190819000,190819000,81669000,None,None,36050000,None,6622000,6622000,1682000,None,None,None,4726000,None,31503000,25555000,None,None,None,None,None,None,None,None,None,None,15147000,None,342784000,None,167144000,51000,None
