SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
SUPN,2020-12-31,USD,1504102000,630417000,288640000,422533000,48325000,140877000,914790000,37824000,None,442253000,364342000,77911000,968504000,350359000,133893000,18682000,43249,759244000,245108000,6147000,None,3761000,None,534371000,20235000,361751000,0,361751000,361751000,194753000,42791000,744858000,None,326498000,53000,52533348
SUPN,2020-09-30,USD,1510022000,552015000,204293000,351950000,42465000,133107000,868864000,17395000,14512000,402265000,402265000,89143000,1071684000,388185000,147657000,24493000,18324000,801143000,299606000,11193000,None,3612000,3741000,486577000,19289000,357521000,0,357521000,357521000,232124000,9304000,708879000,None,295730000,53000,52670121
SUPN,2020-06-30,USD,1491020000,557153000,210975000,374814000,35338000,126559000,845772000,17941000,13799000,408272000,408272000,88095000,1045024000,358673000,163839000,20442000,17118000,825046000,269276000,5515000,None,7761000,None,539315000,18382000,353349000,3560000,353349000,353349000,78847000,9560000,665974000,None,255733000,53000,52624084
SUPN,2020-03-31,USD,1189866000,557048000,225767000,400871000,24418000,119195000,632818000,18011000,13170000,23579000,23579000,23579000,1419632000,534712000,175104000,12564000,538000,576483000,168335000,3124000,None,3456000,None,389779000,34260000,349232000,3456000,349232000,349232000,123111000,9743000,613383000,None,221066000,53000,52537159
SUPN,2019-12-31,USD,1160282000,472644000,181381000,347073000,26628000,87332000,708917000,17068000,12699000,24840000,24840000,24840000,1514930000,591773000,165692000,11611000,21894000,564854000,160587000,10141000,None,2825000,None,404267000,33265000,345170000,2825000,345170000,345170000,110873000,28657000,595428000,None,199548000,53000,52533348
SUPN,2019-09-30,USD,1106909000,427082000,116889000,296697000,25504000,86699000,679827000,9977000,12330000,26101000,26101000,26101000,1552500000,596442000,179808000,18182000,574000,0,149717000,3090000,None,3145000,None,379630000,30401000,341163000,3145000,341163000,341163000,101009000,11211000,557257000,None,166419000,52000,52462936
SUPN,2019-06-30,USD,1063675000,390911000,87344000,258566000,26024000,84564000,627150000,4028000,11962000,28787000,28787000,28787000,1529952000,593754000,171222000,21757000,581000,0,143971000,4081000,None,None,None,348165000,30892000,337210000,None,337210000,337210000,98602000,10955000,522904000,None,137559000,52000,52449036
SUPN,2019-03-31,USD,1025448000,419967000,122778000,292943000,26518000,79950000,557465000,4226000,11592000,30063000,30063000,30063000,1385432000,522551000,170165000,20556000,625000,0,151706000,7240000,None,None,3250000,343943000,31074000,333310000,3250000,333310000,333310000,90626000,10633000,480018000,None,104832000,52000,52374248
SUPN,2018-12-31,USD,977811000,493487000,192248000,356018000,25659000,102922000,484324000,4095000,11219000,31368000,31368000,31368000,1165136000,418798000,163770000,8888000,380000,524788000,161353000,3195000,None,None,None,340860000,None,329462000,None,329462000,329462000,109246000,11398000,453023000,None,86492000,52000,52316583
SUPN,2018-09-30,USD,922512000,390557000,123818000,280225000,23280000,77753000,531955000,6930000,10830000,32572000,32572000,32572000,616711000,460304000,156407000,9299000,782000,500576000,138346000,9838000,None,None,None,338925000,None,325666000,None,325666000,325666000,87862000,13259000,421936000,None,60599000,52000,52257013
