SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
TAL,2020-11-30,USD,9241501000,5425520000,4233169000,4233169000,33441000,None,3815981000,2004241000,None,285553000,285553000,522927000,None,620331000,864798000,30309000,16618000,4958618000,3460351000,None,None,None,None,1498267000,1559290000,265100000,None,None,265100000,2018575000,None,4269007000,None,915170000,209000,2180400000
TAL,2020-08-31,USD,6699807000,3118794000,2206095000,2206095000,34331000,None,3581013000,1813363000,None,280637000,280637000,551227000,None,620234000,580758000,27816000,15857000,3972651000,2617105000,None,None,None,1320000,1355546000,1383909000,264050000,1320000,None,265370000,1227747000,None,2703615000,None,958778000,201000,200109057
TAL,2020-05-31,USD,6569404000,3180608000,2323778000,2323778000,32980000,None,3388796000,1723129000,None,77287000,77287000,542870000,None,604992000,590644000,26575000,240842000,3977688000,2607956000,None,None,None,2383000,1346263000,1345831000,263000000,2383000,None,265383000,1467938000,None,2591716000,None,943809000,200000,200109057
TAL,2020-02-29,USD,5571246000,2495781000,1873866000,1873866000,25832000,None,3075465000,1610348000,None,58985000,58985000,378913000,None,564343000,345457000,139739000,250765000,3055510000,1806558000,None,None,None,None,1220491000,1254879000,261950000,None,None,261950000,1028417000,None,2515736000,None,868809000,200000,199836879
TAL,2019-11-30,USD,5938695000,3007136000,2357357000,2357357000,21288000,None,2931559000,1453349000,None,61055000,61055000,406439000,None,583158000,372430000,5348000,221415000,3344569000,2187891000,None,None,None,None,1119981000,1128781000,260900000,None,None,260900000,1257328000,None,2594126000,None,985477000,199000,621000000
TAL,2019-08-31,USD,4726173000,1788436000,1288449000,1288449000,12456000,None,2937737000,1598854000,None,64026000,64026000,402453000,None,673549000,253843000,2041000,196457000,2212577000,1338162000,None,None,None,None,833426000,1086194000,None,None,None,None,561840000,435000,2513596000,None,957300000,198000,594000000
TAL,2019-05-31,USD,5101410000,2146075000,1568429000,1568429000,10880000,None,2955335000,1383822000,None,69657000,69657000,406914000,None,739652000,343767000,3097000,353566000,2560810000,1684275000,None,None,None,248918000,833983000,1069160000,820242000,248918000,None,None,996891000,451000,2540600000,None,971700000,2175000,730000000
TAL,2019-02-28,USD,3735091000,1745716000,1247140000,1247140000,7750000,None,23730000,287877000,None,74776000,74776000,414228000,None,850695000,268424000,9227000,360052000,1251344000,1183718000,None,None,None,215302000,20896000,None,None,215302000,None,215302000,73184000,465000,2483747000,None,979004000,2175000,570000000
TAL,2018-11-30,USD,3427147000,1819165000,1253012000,1253012000,6436000,None,None,269425000,None,61729000,61729000,305234000,None,745720000,359311000,4504000,223436000,1635622000,1606970000,None,None,None,244651000,None,None,None,5275000,None,244651000,922013000,None,1791525000,None,879392000,191000,599000000
TAL,2018-08-31,USD,3456100000,1850800000,819400000,819400000,8400000,None,None,269858000,None,57300000,57300000,280200000,None,811619000,827100000,1867000,186400000,1599400000,1566500000,None,None,None,244916000,None,None,None,5275000,None,244900000,908173000,None,1856714000,None,755558000,191000,602000000
