SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
TEAM,2020-12-31,USD,3561190000,2264613000,1251715000,1251715000,None,None,1296577000,307865000,None,123759000,123759000,686858000,None,101478000,534498000,263622000,22419000,3392050000,3085904000,None,None,None,735660000,306146000,254863000,None,735660000,None,990523000,2121247000,2346000,169140000,None,-1759474000,24963000,250061770
TEAM,2020-09-30,USD,4038148000,2679607000,1560262000,1560262000,None,None,1358541000,312635000,None,131530000,131530000,675104000,None,172685000,624158000,316548000,9179000,3349704000,3039804000,None,None,None,898352000,309900000,260162000,None,898352000,None,1158514000,1947605000,4669000,688444000,None,-1137946000,24864000,248727974
TEAM,2020-06-30,USD,3894072000,2643786000,1479969000,1479969000,None,None,1250286000,315331000,None,129690000,129690000,645140000,None,103937000,676072000,328056000,160125000,3318766000,3018779000,None,None,None,889183000,299987000,264568000,None,889183000,None,1119008000,1891830000,2173000,575306000,None,-1116392000,24744000,247447280
TEAM,2020-03-31,USD,3640957000,2458370000,1338193000,1338193000,None,None,1182587000,311023000,None,131934000,131934000,632779000,None,69484000,733612000,245601000,106851000,2820798000,2524504000,None,None,None,880120000,296294000,270633000,None,880120000,None,1116094000,1420265000,1441000,820159000,None,-731169000,24629000,245426923
TEAM,2019-12-31,USD,3503174000,2335016000,1239725000,1239725000,None,None,1168158000,320923000,None,141520000,141520000,632817000,None,42553000,697658000,226348000,72898000,2608166000,2295559000,None,None,None,871166000,312607000,286097000,None,871166000,None,1121978000,1242907000,140000,895008000,None,-572344000,24478000,245426923
TEAM,2019-09-30,USD,3280600000,2137791000,1187191000,1187191000,None,None,1142809000,317423000,None,138760000,138760000,609648000,None,46002000,587496000,214342000,76978000,2586352000,2287142000,None,None,None,862318000,299210000,282295000,None,862318000,None,1113699000,777838000,319000,694248000,None,-696418000,24356000,251000000
TEAM,2019-06-30,USD,2977258000,2042111000,1268441000,1268441000,None,None,935147000,81459000,None,150975000,150975000,608907000,None,61932000,445046000,1599000,93806000,2411791000,2329708000,None,None,None,853576000,82083000,1613000,None,853576000,None,853576000,855005000,344000,565467000,None,-765637000,24199000,239000000
TEAM,2019-03-31,USD,2875144000,1882491000,1445284000,1445284000,None,None,992653000,65249000,None,108138000,108138000,506086000,None,23955000,327944000,123000,313180000,2181626000,564204000,None,None,None,1588000,1617422000,1588000,844938000,1588000,None,844938000,4846000,1058000,693518000,None,210620000,24027000,239000000
TEAM,2018-12-31,USD,2724944000,1764732000,1340589000,1340589000,None,None,None,63716000,None,120942000,120942000,506121000,None,23833000,303772000,52000,269433000,1905196000,512775000,None,None,None,None,None,None,836403000,None,None,836403000,407709000,None,819748000,None,-325276000,23844000,247000000
TEAM,2018-09-30,USD,2553500000,1876900000,1517800000,1517800000,None,None,None,57016000,None,50100000,50100000,311900000,None,13673000,277200000,8000,257600000,1840300000,449700000,None,None,None,827970000,None,None,827970000,827970000,None,828000000,364942000,None,713270000,None,-370461000,23711000,236000000
