SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
TOUR,2020-12-31,CNY,3196643000,2284525000,213538000,213538000,None,None,912118000,153990000,None,168075000,168075000,232007000,None,266866000,1353670000,429270000,91180000,1846628000,1744569000,None,None,None,None,102059000,52631000,22577000,60679000,None,None,214766000,3054000,1384679000,None,-7713355000,249000,370102951
TOUR,2020-09-30,CNY,4467398000,2743352000,668419000,668419000,None,None,1724046000,227588000,None,197860000,197860000,232007000,None,464226000,846372000,865113000,48213000,2191606000,2076384000,None,None,None,20736000,115222000,55786000,24074000,20736000,None,44810000,302846000,10947000,2290636000,None,-6811458000,249000,370102951
TOUR,2020-06-30,CNY,4769989000,2905540000,527934000,527934000,None,None,1864449000,252175000,None,210346000,210346000,232007000,None,557446000,976996000,985466000,60147000,2412606000,2295107000,None,None,None,50602000,127191000,73002000,19403000,50602000,None,70005000,232111000,10947000,2357383000,None,-6754555000,249000,370102951
TOUR,2020-03-31,CNY,5735361000,3565149000,590948000,590948000,None,None,2170212000,297647000,None,130618000,130618000,232007000,None,786646000,1397273000,1063445000,169115000,3233034000,3108195000,None,None,None,203672000,127458000,102708000,10941000,203672000,None,214613000,496507000,10947000,2502327000,-310724000,-6606860000,249000,370102951
TOUR,2019-12-31,CNY,6596620000,3823276000,295463000,295463000,0,None,2773344000,329179000,0,166267000,166267000,232007000,None,1305612000,1305386000,959900000,182697000,3885991000,3748769000,None,None,None,203845000,136212000,112208000,9689000,203845000,None,213534000,1406938000,10947000,2710629000,-310942000,-6385974000,249000,370024243
TOUR,2019-09-30,CNY,7143364000,4268401000,411124000,411124000,0,None,2874963000,386318000,0,218514000,218514000,184569000,None,1376010000,1513781000,260232000,186283000,4067743000,3853943000,None,None,None,144260000,197843000,165165000,10486000,144260000,None,154746000,0.41,12709000,3075621000,-311217000,-6020377000,249000,123000000
TOUR,2019-06-30,CNY,7208273000,4725460000,361914000,361914000,0,None,2482813000,380852000,0,252518000,252518000,179959000,None,1484644000,1414306000,250758000,184840000,4146990000,3931491000,None,None,None,83628000,201047000,179308000,5963000,83628000,None,89591000,0.82,10308000,3061283000,-311435000,-6008423000,249000,123000000
TOUR,2019-03-31,CNY,6756388000,4467122000,441504000,441504000,0,None,2289266000,394520000,0,283461000,283461000,159409000,None,1265673000,1114288000,253577000,186203000,3549279000,3339015000,None,None,None,57820000,215514000,206488000,4058000,57820000,None,61878000,95640000,10764000,3207109000,-313232000,-5841468000,249000,123000000
TOUR,2018-12-31,CNY,6556923000,4407888000,560356000,560356000,0,None,0,575699.24,0,317885000,317885000,159409000,None,12297.51,859211000,10793.48,181875000,3206560000,3102655000,None,None,None,49312000,0,0,0,0,None,0,13179.36,0,31632.20,-6436499.35,-17487936.65,765.10,126000000
TOUR,2018-09-30,USD,7004153000,4817438000,614224000,614224000,0,None,0,77608.99,0,353982000,353982000,155680000,None,597625.18,1038799000,878542.97,173900000,3594851000,3477142000,None,None,None,0,0,0,0,0,None,None,528046.31,0,1531498.93,-43559958.65,-2528986.47,111.41,126000000
TOUR,2018-06-30,USD,6798000000,4596000000,642000000,642000000,0,None,0,23829334.13,0,390000000,390000000,148000000,None,198900419.92,1095000000,272049940.01,179000000,3456000000,3341000000,None,None,None,0,0,0,0,0,None,None,227521445.71,0,501217306.54,0,-848988452.31,37342.53,127000000
TOUR,2018-03-31,USD,6567000000,4578000000,612000000,612000000,0,None,None,23711328.72,None,426000000,426000000,148000000,None,158159222.99,2380000000,182058434.84,273000000,3081000000,2937000000,None,None,None,0,None,None,0,0,None,None,203160098.72,None,555070137.73,-0.34,-888416686.57,39487.30,130000000
TOUR,2017-12-31,USD,6658000000,5089000000,484000000,484000000,None,None,None,22790000,None,461000000,461000000,148000000,None,484991000,3085000000,130124000,327000000,3063000000,2921000000,None,None,None,None,None,None,None,None,None,None,313045000,None,552559000,-28498000,-5505897000,38000,126000000
TOUR,2017-09-30,USD,7948000000,6699000000,848000000,848000000,None,None,None,22222000,None,498000000,498000000,148000000,None,97764000,3444000000,248696000,357000000,4175000000,4034000000,None,None,None,None,None,None,None,None,None,None,380418000,None,567072000,-27869000,-5322794000,37000,124000000
TOUR,2017-06-30,USD,7932000000,6541000000,1072000000,1072000000,None,None,None,22608000,None,534000000,534000000,148000000,None,73764000,3323000000,205950000,483000000,4122000000,3974000000,None,None,None,None,None,None,None,None,None,None,410918000,None,562033000,-19044000,-5294666000,36000,125000000
TOUR,2017-03-31,USD,7693000000,6293000000,754000000,754000000,None,None,None,23665000,None,566000000,566000000,148000000,None,58764000,3374000000,214314000,464000000,3525000000,3377000000,None,None,None,None,None,None,None,None,None,None,348901000,None,605450000,-9745000,-5025475000,35000,127000000
TOUR,2016-12-31,USD,9172000000,7521000000,1085000000,1085000000,None,None,None,25611000,None,592000000,592000000,148000000,None,58764000,3603000000,295018000,609000000,4673000000,4527000000,None,None,None,None,None,None,None,None,None,None,523974000,None,645533000,-2839000,-4738593000,35000,124000000
TOUR,2016-09-30,USD,10161000000,8141000000,1448000000,1448000000,None,None,None,29556000,None,622000000,622000000,148000000,None,59000000,3940000000,349557000,900000000,5276000000,5113000000,None,None,None,None,None,None,None,None,None,None,570725000,None,732517000,-93000,-4201224000,36000,127000000
TOUR,2016-06-30,USD,10524000000,8551000000,1238000000,1238000000,None,None,None,25330000,None,647000000,647000000,136000000,None,59000000,4563000000,358336000,764000000,5122000000,5054000000,None,None,None,None,None,None,None,None,None,None,577216000,None,812806000,None,-3633000000,36000,126000000
TOUR,2016-03-31,USD,9512000000,7620000000,2058000000,2058000000,None,None,None,23688000,None,683000000,683000000,137000000,None,59000000,3481000000,277364000,603000000,3489000000,3417000000,None,None,None,None,None,None,None,None,None,None,395465000,None,934077000,None,-2868000000,37000,120000000
TOUR,2015-12-31,USD,7186000000,5539000000,2101000000,2101000000,None,None,None,22413000,None,716000000,716000000,137000000,None,59000000,1226000000,258281000,649000000,3865000000,3791000000,None,None,None,70000000,None,None,None,70000000,None,None,454613000,None,512739000,None,-2328423000,28000,95000000
