SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
TRXI,2012-09-30,USD,13076000,None,1244000,1244000,None,None,None,3424000,None,260000,260000,None,None,None,None,1676000,None,11405000,9663000,None,None,None,None,None,None,None,None,None,None,2428000,None,1671000,-2294000,None,186000,None
TRXI,2012-06-30,USD,12764000,None,1173000,1173000,None,None,None,3835000,None,303000,303000,None,None,None,None,1899000,None,11333000,9521000,None,None,None,None,None,None,None,None,None,None,2231000,None,1431000,-2294000,None,186000,None
TRXI,2012-03-31,USD,13645000,None,1636000,1636000,None,None,None,3967000,None,347000,347000,None,None,None,None,2082000,None,12606000,10749000,None,None,None,None,None,None,None,None,None,None,3104000,None,1039000,-2294000,None,186000,None
TRXI,2011-12-31,USD,13647000,None,2153000,2153000,None,None,None,4003000,None,390000,390000,None,None,None,None,1763000,None,13218000,11306000,None,None,None,None,None,None,None,None,None,None,8364000,None,429000,-2294000,None,186000,None
TRXI,2011-09-30,USD,14211000,None,2207000,2207000,None,None,None,4484000,None,433000,433000,None,None,None,None,1732000,None,14506000,12812000,None,None,None,None,None,None,None,None,None,None,4124000,None,None,-2294000,None,186000,None
TRXI,2011-06-30,USD,14610000,None,2130000,2130000,None,None,None,4744000,None,476000,476000,None,None,None,None,2243000,None,15267000,13511000,None,None,None,None,None,None,None,None,None,None,4027000,None,None,-2294000,None,186000,None
TRXI,2011-03-31,USD,16124000,None,2591000,2591000,None,None,None,5307000,None,520000,520000,None,None,None,None,2313000,None,16392000,12077000,None,None,None,None,None,None,2500000,None,None,None,4443000,None,None,-2294000,None,186000,None
TRXI,2010-12-31,USD,18812000,None,2565000,2565000,None,None,None,5743000,None,563000,563000,None,None,None,None,3318000,None,19441000,13482000,None,None,None,None,None,None,4200000,None,None,None,10047000,None,None,-2294000,None,186000,None
TRXI,2010-09-30,USD,18132000,None,3034000,3034000,None,None,None,6049000,None,606000,606000,None,None,None,None,3168000,None,19631000,13557000,None,None,None,None,None,None,4400000,None,None,None,4151000,None,None,-2294000,None,186000,None
TRXI,2010-06-30,USD,18805000,None,2766000,2766000,None,None,None,6438000,None,649000,649000,None,None,None,None,2682000,None,21098000,19278000,None,None,None,None,None,None,None,None,None,None,5108000,None,None,-2294000,None,186000,None
TRXI,2010-03-31,USD,20447000,None,3047000,3047000,None,None,None,6794000,None,693000,693000,None,None,None,None,2950000,None,22860000,16955000,None,None,None,None,None,None,3992000,None,None,None,6322000,None,None,-2294000,None,186000,None
TRXI,2009-12-31,USD,19748000,None,2897000,2897000,None,None,None,6996000,None,736000,736000,None,None,None,None,2693000,None,22756000,18644000,None,None,None,None,None,None,2183000,None,None,None,14531000,None,None,-2294000,None,186000,None
TRXI,2009-09-30,USD,26051000,None,7801000,7801000,None,None,None,7820000,None,779000,779000,None,None,None,None,2330000,None,27792000,22381000,None,None,None,None,None,None,3475000,None,None,None,4795000,None,None,-2294000,None,186000,None
TRXI,2009-06-30,USD,26742000,None,7445000,7445000,None,None,None,8638000,None,823000,823000,None,None,None,None,2102000,None,29107000,25907000,None,None,None,None,None,None,1167000,None,None,None,3274000,None,None,-2294000,None,186000,None
TRXI,2009-03-31,USD,26441000,None,5431000,5431000,None,None,None,9324000,None,866000,866000,None,None,None,None,2619000,None,28922000,21699000,None,None,None,None,None,None,5358000,None,None,None,7824000,None,None,-2294000,None,185000,None
TRXI,2008-12-31,USD,73492000,None,6873000,6873000,None,None,None,16212000,None,39373000,39373000,37305000,None,None,None,2480000,None,32275000,24503000,None,None,None,None,None,None,5150000,None,None,None,17382000,None,41217000,-2294000,None,185000,None
TRXI,2008-09-30,USD,82544000,None,11372000,11372000,None,None,None,16511000,None,39410000,39410000,37251000,None,None,None,2552000,None,37570000,33880000,None,None,None,None,None,None,3167000,None,None,None,10870000,None,44974000,-2294000,None,185000,None
TRXI,2008-06-30,USD,87208000,None,11645000,11645000,None,None,None,18300000,None,39445000,39445000,37195000,None,None,None,2741000,None,40069000,35634000,None,None,None,None,None,None,3750000,None,None,None,12444000,None,47139000,-2294000,None,184000,None
TRXI,2008-03-31,USD,89648000,None,5061000,5061000,None,None,None,19703000,None,39338000,39338000,36993000,None,None,None,13024000,None,55715000,52604000,None,None,None,None,None,None,2333000,None,None,None,33853000,None,33933000,-2294000,None,184000,None
TRXI,2007-12-31,USD,87789000,None,8879000,8879000,None,None,None,19496000,None,39414000,39414000,36981000,None,None,None,2846000,None,50770000,47218000,None,None,None,None,None,None,2917000,None,None,None,34799000,None,37019000,-2294000,None,184000,None
TRXI,2007-09-30,USD,88924000,None,13052000,13052000,None,None,None,19710000,None,39075000,39075000,36540000,None,None,None,2804000,None,47517000,43010000,None,None,None,None,None,None,3500000,None,None,None,17436000,None,41407000,-2294000,None,184000,None
