SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
TSLA,2020-12-31,USD,52148000000,26717000000,19384000000,19384000000,4101000000,1895000000,18134000000,12747000000,5117000000,520000000,313000000,207000000,None,None,None,1346000000,1536000000,28418000000,14248000000,6051000000,4668000000,1758000000,2132000000,6962000000,1094000000,8462000000,2132000000,None,8462000000,241000000,3330000000,22225000000,None,-5399000000,1000000,960000000
TSLA,2020-09-30,USD,45691000000,21744000000,14531000000,14531000000,4218000000,1766000000,15478000000,11848000000,4814000000,521000000,318000000,203000000,None,None,None,1238000000,1436000000,28143000000,13302000000,4958000000,4221000000,2766000000,2766000000,6514000000,1131000000,9428000000,2766000000,None,9428000000,173000000,3049000000,16031000000,None,-5669000000,1000000,948000000
TSLA,2020-06-30,USD,38135000000,15336000000,8615000000,8615000000,4018000000,1495000000,14845000000,11009000000,4430000000,508000000,312000000,196000000,None,None,None,1218000000,1415000000,26754000000,12270000000,3638000000,3938000000,3317000000,3317000000,6253000000,1169000000,9247000000,233000000,None,9247000000,179000000,2870000000,9855000000,None,-6000000000,186000,186000000
TSLA,2020-03-31,USD,37250000000,14893000000,8080000000,8080000000,4494000000,1283000000,14356000000,10638000000,4072000000,516000000,323000000,193000000,None,None,None,1045000000,1373000000,26518000000,11986000000,3970000000,3915000000,2851000000,2851000000,5994000000,1187000000,9479000000,229000000,None,9479000000,184000000,2667000000,9173000000,None,-6104000000,185000,185000000
TSLA,2019-12-31,USD,34309000000,12103000000,6268000000,6268000000,3552000000,1324000000,15520000000,10396000000,3734000000,537000000,339000000,198000000,None,1000000,None,246000000,1470000000,26199000000,10667000000,3771000000,3842000000,1399000000,1785000000,6086000000,1232000000,10402000000,1785000000,None,10402000000,260000000,2691000000,6618000000,None,-6083000000,181000,181000000
TSLA,2019-09-30,USD,32795000000,10940000000,5338000000,5338000000,3581000000,1128000000,255000000,10190000000,3528000000,537000000,351000000,186000000,None,398000000,None,893000000,820000000,25313000000,10146000000,3468000000,3485000000,1643000000,2030000000,6061000000,1217000000,10096000000,223000000,None,10096000000,441000000,2676000000,6040000000,None,-6188000000,180000,180000000
TSLA,2019-06-30,USD,31872597000,10181952000,4955000000,4955000000,3382358000,1147100000,366000000,10082458000,3248310000,480833000,327358000,153475000,None,400308000,None,697754000,842978000,24722136000,9588773000,3133587000,None,1459828000,1791085000,3837762000,1328554000,9905847000,1791085000,None,9905847000,526758000,2655720000,5715393000,None,-6331639000,179000,179118000
TSLA,2019-03-31,USD,28912524000,7677822000,2198000000,2198000000,3836850000,1046945000,354000000,9850929000,2918587000,347880000,273568000,74312000,None,413181000,None,595858000,801867000,22874618000,9242800000,3248827000,None,1352596000,1705711000,3632478000,1137927000,8650023000,1705711000,None,8650023000,3717022000,2475135000,4605596000,None,-5923305000,174000,173682000
TSLA,2018-12-31,USD,29740000000,8307000000,3686000000,3686000000,3113446000,949022000,398000000,11330077000,2699000000,350000000,282000000,68000000,None,421548000,192551000,558222000,572000000,23427000000,9993000000,3405000000,None,2222000000,2567699000,3760000000,None,8411000000,2283746000,None,8410490000,1925733000,2710000000,4923243000,None,-5317832000,173000,172603000
TSLA,2018-09-30,USD,29262713000,7920491000,2967000000,2967000000,3314127000,1155001000,397000000,11246295000,2454339000,356702000,291476000,65226000,None,422897000,158627000,483859000,431819000,23409144000,9775324000,3596984000,None,1833475000,2106538000,13232967000,None,8665163000,2106538000,None,8665163000,2081707000,2555319000,4508838000,None,-5457315000,171000,171578000
TSLA,2018-06-30,USD,27910000000,6699797000,2236424000,2236424000,3324643000,569874000,399992000,10969348000,2188723000,364690000,300406000,64284000,None,434841000,146822000,568856000,419254000,22642887000,9141362000,3030493000,None,1838909000,2103185000,12171812000,None,8626114000,2103185000,None,8626114000,2192705000,2607458000,3906421000,None,-5768831000,170000,170516000
TSLA,2018-03-31,USD,27271429000,6383920000,2665673000,2665673000,2565826000,652848000,433841000,10519226000,1992548000,407712000,346428000,61284000,None,449754000,120194000,499573000,415478000,21551021000,8650359000,2603498000,None,1755634000,1998030000,12193428000,None,8219577000,1998032000,None,8219577000,2150400000,2561886000,4450695000,None,-5051292000,170000,169750000
TSLA,2017-12-31,USD,28655372000,6570520000,3368000000,3368000000,2263537000,515381000,442000000,10027522000,1723794000,421739000,361502000,60237000,None,456652000,155323000,423688000,273123000,23022980000,7674670000,2390250000,None,799849000,896549000,13085908000,None,8828985000,963932000,None,8828985000,2656505000,2442970000,4237242000,None,-4974299000,169000,168797000
TSLA,2017-09-30,USD,28107074000,7068733000,3530030000,3530030000,2471382000,607734000,408544000,9394397000,1535561000,417474000,372238000,45236000,None,463878000,138181000,459587000,231849000,21929057000,6468940000,2385778000,None,375506000,424224000,13090449000,None,9049729000,424581000,None,9049729000,2181154000,2382830000,4711480000,None,-4298960000,168000,168017000
TSLA,2017-06-30,USD,26043705000,6359444000,3035924000,3035924000,2438111000,453539000,358445000,8399229000,1337411000,424613000,380847000,43766000,None,472663000,118369000,431870000,209986000,19459902000,6546355000,2359316000,None,760284000,816533000,10455599000,None,6755563000,9557406000,None,6755563000,1859762000,2259538000,5105752000,None,-3679584000,163000,166863000
TSLA,2017-03-31,USD,25053726000,7027889000,4006593000,4006593000,2220336000,440349000,330223000,7016551000,1164943000,429592000,388608000,40984000,None,486350000,88946000,271665000,224536000,18885353000,6245439000,2075333000,None,963737000,1003311000,10219570000,None,6927937000,1003311000,None,6927937000,1706428000,2081822000,4987719000,None,-3343187000,161000,164164000
TSLA,2016-12-31,USD,22664076000,6259796000,3393000000,3393000000,2067454000,499142000,268000000,5982957000,997485000,376145000,376145000,None,None,506302000,105519000,194465000,216751000,16750167000,5827005000,1860341000,None,1114652000,1150147000,8640254000,None,5892016000,1210962000,None,5892016,1606489000,1891449000,4752911000,None,-2997237000,161000,161561000
TSLA,2016-09-30,USD,12592397000,5172412000,3084257000,3084257000,1604571000,326895000,4470688000,4309048000,912106000,None,None,None,None,None,23711000,132978000,70646000,9911909000,4082390000,1606284000,None,260771000,260771000,3762181000,None,200000000,260771000,None,200000000,1520317000,737559000,2680488000,None,-2875900000,150000,149825000
TSLA,2016-06-30,USD,11868952000,5203705000,3246301000,3246301000,1609607000,178594000,4145721000,3993250000,783986000,None,None,None,38300000,None,24525000,144678000,66650000,9348658000,3766404000,1114878000,None,626826000,626826000,3765599000,None,1858685000,608900000,1130000000,1858685000,1466488000,612344000,2520294000,None,-2897778000,148000,148015000
TSLA,2016-03-31,USD,9191702000,3239543000,1441789000,1441789000,1301961000,318056000,1909310000,3593014000,673089000,None,None,None,26800000,None,23980000,153757000,67152000,8221337000,3187699000,1013486000,None,635285000,635285000,3407937000,None,1937150000,617100000,1220000000,1937150000,709043000,426611000,970365000,None,-2604590000,134000,133858000
