SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
TUFN,2020-12-31,USD,160351000,101868000,58449000,58449000,None,None,58483000,23304000,None,None,None,None,None,22705000,19586000,574000,4780000,85172000,50835000,None,None,None,None,34337000,23425000,None,None,None,None,25518000,1282000,75179000,None,-103838000,148000,35972470
TUFN,2020-09-30,USD,155497000,103851000,74380000,74380000,None,None,51646000,24166000,None,None,None,None,None,16133000,10045000,234000,4329000,80124000,47276000,None,None,None,None,32848000,22718000,None,None,None,None,25394000,1038000,75373000,None,-99436000,147000,35796817
TUFN,2020-06-30,USD,160362000,113641000,94818000,94818000,None,None,46721000,24692000,None,None,None,None,None,10627000,None,639000,4376000,83980000,49279000,None,None,None,None,34701000,23215000,None,None,None,None,28417000,996000,76382000,None,-94289000,147000,35714399
TUFN,2020-03-31,USD,170379000,133936000,117511000,117511000,None,None,36443000,25069000,None,None,None,None,None,None,None,219000,4400000,88868000,51936000,None,None,None,None,36932000,23312000,None,None,None,None,30401000,965000,81511000,None,-85476000,147000,35607022
TUFN,2019-12-31,USD,176732000,139880000,118661000,118661000,None,None,36852000,25135000,None,None,None,None,None,None,None,627000,4418000,82410000,46642000,None,None,None,None,35768000,24533000,None,None,None,None,24293000,930000,94322000,None,-68432000,145000,35230253
TUFN,2019-09-30,USD,177211000,140417000,122702000,122702000,None,None,36794000,25535000,None,None,None,None,None,None,None,319000,4382000,81564000,44020000,None,None,None,None,37544000,24769000,None,None,None,None,25032000,857000,95647000,None,-61257000,141000,34000000
TUFN,2019-06-30,USD,179548000,146511000,127491000,127491000,None,None,33037000,23024000,None,None,None,None,None,None,None,552000,3936000,78581000,42066000,None,None,None,None,36515000,21745000,None,None,None,None,26020000,800000,100967000,None,-52975000,140000,31000000
TUFN,2019-03-31,USD,71944000,44776000,26177000,26177000,None,None,27168000,17088000,None,None,None,None,None,None,None,577000,2323000,78497000,44728000,None,None,None,56000,60468000,15373000,14230000,56000,None,None,27291000,762000,-6553000,None,-44761000,30000,8000000
TUFN,2018-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8000000
TUFN,2018-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8000000
TUFN,2018-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-29028000,None,None,None,8000000
