SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
UPLD,2020-12-31,USD,1011220000,317540000,250029000,250029000,None,49033000,693680000,2778000,None,663573000,279975000,383598000,None,None,None,404503000,1816000,704605000,121420000,5395000,89139000,3175000,3315000,583190000,11702000,521603000,3166000,518437000,521603000,99254000,650000,306615000,None,-182373000,3000,29987114
UPLD,2020-09-30,USD,994320000,293832000,232972000,232972000,None,48038000,700488000,3181000,None,668648000,285312000,383336000,None,4175000,None,12822000,2394000,706076000,115024000,6469000,79996000,3185000,3185000,591052000,12457000,498348000,3185000,519339000,498348000,81736000,624000,288244000,None,-176704000,3000,29460588
UPLD,2020-06-30,USD,859383000,152828000,87910000,87910000,None,54164000,706555000,3951000,None,671802000,292316000,379486000,None,4378000,None,10754000,2666000,707146000,115711000,1976000,83276000,3184000,3184000,591435000,14973000,498128000,3184000,520155000,498128000,84788000,33242000,152237000,None,-165394000,3000,25365735
UPLD,2020-03-31,USD,883533000,170872000,98688000,98688000,None,61098000,712661000,4035000,None,680693000,302948000,377745000,None,4219000,None,11097000,1934000,724441000,135287000,4794000,90352000,7019000,3191000,589154000,15343000,511108000,3191000,521013000,511108000,91613000,29587000,159092000,None,-151235000,3000,25305427
UPLD,2019-12-31,USD,896828000,238880000,175024000,175024000,None,56049000,657948000,3917000,None,628861000,282727000,346134000,None,2400000,None,358127000,4165000,683967000,129367000,5904000,77054000,3193000,3193000,554600000,8395000,525074000,3193000,521881000,525074000,84953000,676000,212861000,None,-131046000,3000,25250120
UPLD,2019-09-30,USD,683412000,165826000,113306000,113306000,None,44259000,517594000,3468000,None,495478000,212645000,282833000,None,2885000,None,8261000,789000,465124000,106149000,3409000,59790000,4599000,2476000,358982000,6030000,333286000,2476000,339167000,333286000,61708000,4029000,218288000,None,-111181000,3000,25261093
UPLD,2019-06-30,USD,657580000,157014000,108361000,108361000,None,40753000,179572000,3568000,None,480595000,207232000,273363000,None,1857000,None,7900000,264000,424608000,107472000,3555000,59814000,2849000,None,317163000,6711000,301201000,2849000,305335000,301201000,62182000,685000,232972000,None,-98874000,3000,25247707
UPLD,2019-03-31,USD,475930000,59439000,14022000,14022000,None,38362000,411847000,2495000,None,400199000,170880000,229319000,None,1714000,None,7055000,291000,390865000,105037000,3278000,None,6012000,6012000,273079000,5097000,274783000,6012000,272098000,274783000,59523000,652000,85065000,None,-93505000,2000,21443226
UPLD,2018-12-31,USD,483198000,67288000,16738000,16738000,None,44535000,225322000,2827000,None,404894000,179572000,225322000,None,1573000,None,6015000,324000,395891000,107649000,3494000,None,6015000,6015000,288242000,None,276238000,6015000,273713000,842676000,57626000,640000,87307000,None,-85675000,2000,21489112
UPLD,2018-09-30,USD,327493000,48793000,16089000,16089000,None,26440000,273230000,2206000,None,269234000,112156000,157078000,None,1637000,None,6264000,153000,238258000,75915000,4139000,None,4330000,4330000,154634000,None,153898000,4330000,153898000,153898000,43575000,736000,89235000,None,-87477000,2000,21589400
