SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
VG,2020-12-31,USD,1395836000,215904000,43078000,43078000,None,116304000,1099294000,31621000,117761000,828595000,204267000,624328000,None,None,None,6230000,33926000,793062000,252604000,17464000,65506000,None,11554000,540458000,42573000,2208852000,None,506284000,560500000,65506000,3155000,602774000,320891000,-667221000,324000,248974000
VG,2020-09-30,USD,1387914000,228060000,48370000,48370000,614000,119553000,1025706000,37449000,120127000,815465000,208507000,606958000,None,None,None,6277000,34643000,810683000,258212000,34442000,125626000,None,None,552471000,33228000,1102028000,None,527676000,585500000,74294000,3048000,577231000,319911000,-653256000,323000,248178000
VG,2020-06-30,USD,1355889000,209608000,47565000,47565000,997000,114554000,1025215000,40163000,115807000,808006000,214284000,593722000,None,None,None,6211000,33631000,808250000,251417000,29383000,130342000,None,None,556833000,36438000,1096357000,None,529119000,590500000,76567000,2672000,547639000,319314000,-643194000,320000,245455000
VG,2020-03-31,USD,1339629000,193066000,43073000,43073000,1346000,96238000,1036994000,43144000,111169000,819001000,227979000,591022000,None,None,None,11175000,32813000,800916000,224635000,32789000,122044000,11917000,None,576281000,39935000,1105833000,11917000,545611000,610500000,72939000,2652000,538713000,318791000,-634764000,320000,245246000
VG,2019-12-31,USD,1364700000,173068000,23620000,23620000,1475000,101813000,1151332000,48371000,109646000,852875000,249905000,602970000,None,18000,None,11463000,33729000,797638000,251896000,42366000,59464000,12477000,12477000,545742000,58199000,773816000,12477000,497158000,565500000,59464000,2862000,567062000,306043000,-631009000,316000,242849000
VG,2019-09-30,USD,1332434000,162919000,18741000,18741000,970000,94423000,1084574000,48330000,110631000,845179000,255256000,589923000,None,106000,None,8110000,32148000,797669000,238011000,47158000,122210000,13260000,None,559658000,61132000,508765000,13260000,508765000,580500000,74365000,3021000,534765000,305381000,-628634000,315000,242560000
VG,2019-06-30,USD,1354503000,160929000,17963000,17963000,1066000,97465000,1118407000,47759000,109594000,870102000,271022000,599080000,None,352000,None,7427000,29503000,796861000,231839000,38249000,119408000,13136000,None,565022000,57135000,517924000,13136000,517924000,593000000,72840000,3099000,557642000,304031000,-607537000,314000,241968000
VG,2019-03-31,USD,1335719000,137546000,18254000,18254000,1322000,73375000,966508000,48776000,106526000,890101000,287800000,602301000,None,1278000,None,6897000,25759000,805577000,207284000,43690000,None,10000000,10000000,551311000,60891000,548265000,10000000,548265000,558265000,67537000,3046000,530142000,293575000,-612061000,314000,242376000
VG,2018-12-31,USD,1259488000,127754000,5057000,5057000,1470000,75342000,598499000,49262000,104999000,598499000,299911000,598499000,None,1859000,None,7634000,24144000,723720000,204079000,53262000,None,10000000,10000000,519641000,None,509228000,10000000,509228000,519228000,53447000,10413000,535768000,275009000,-611985000,310000,239743000
VG,2018-09-30,USD,909710000,121591000,25735000,25735000,1420000,57060000,620713000,42754000,97962000,548429000,158939000,389490000,None,2805000,None,5363000,27546000,371816000,162997000,26256000,None,10000000,10000000,208819000,None,200672000,10000000,200672000,210672000,27509000,8147000,537894000,274336000,-605042000,310000,239523000
