SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
WCIC,2016-09-30,USD,929931000,780799000,91056000,91056000,689017000,None,85946000,25889000,None,7520000,7520000,7520000,None,None,12067000,8100000,29777000,429182000,174115000,None,None,None,None,255067000,None,255067000,None,None,None,37440000,None,500749000,-781000,190596000,259000,None
WCIC,2016-06-30,USD,905326000,754868000,103706000,103706000,652263000,None,87443000,23705000,None,7520000,7520000,7520000,None,None,15362000,10852000,31790000,414774000,159841000,None,None,None,None,254933000,None,254933000,None,None,None,43159000,None,490552000,-781000,181844000,259000,None
WCIC,2016-03-31,USD,881906000,731319000,123233000,123233000,607602000,None,90625000,22678000,None,7520000,7520000,7520000,None,None,16409000,10678000,29764000,402215000,155613000,None,None,None,None,246602000,None,246602000,None,None,None,42847000,None,479691000,-781000,172450000,259000,None
WCIC,2015-12-31,USD,861636000,710626000,149061000,149061000,560517000,None,92917000,25649000,None,7520000,7520000,7520000,None,None,13753000,9720000,24924000,387869000,141396000,None,None,None,None,246473000,None,246473000,None,None,None,37794000,None,472024000,-781000,165981000,259000,None
WCIC,2015-09-30,USD,852806000,697219000,164841000,164841000,530714000,None,97383000,25496000,None,7520000,7520000,7520000,None,None,15458000,8489000,25188000,389704000,138635000,None,None,None,None,251069000,None,251069000,None,None,None,40487000,None,461218000,-607000,156236000,259000,None
WCIC,2015-06-30,USD,837774000,678029000,161608000,161608000,513195000,None,103609000,24704000,None,7520000,7520000,7520000,None,None,15593000,9102000,23912000,385620000,134514000,None,None,None,None,251106000,None,251106000,None,None,None,43386000,None,450011000,-505000,146053000,259000,None
WCIC,2015-03-31,USD,827493000,663149000,144556000,144556000,500455000,None,109780000,24505000,None,7520000,7520000,7520000,None,None,13610000,9105000,22539000,386182000,135039000,None,None,None,None,251143000,None,251143000,None,None,None,40442000,None,439065000,-505000,136233000,259000,None
WCIC,2014-12-31,USD,805310000,641767000,174756000,174756000,449989000,None,110823000,25021000,None,7520000,7520000,7520000,None,None,12125000,6292000,20179000,370867000,119688000,None,None,None,None,251179000,None,251179000,None,None,None,30662000,None,432446000,-505000,130581000,259000,None
WCIC,2014-09-30,USD,778990000,607570000,169541000,169541000,421125000,None,119141000,25226000,None,7520000,7520000,7520000,None,None,12772000,7203000,19533000,357968000,106753000,None,None,None,None,251215000,None,251215000,None,None,None,37198000,None,418935000,-374000,117942000,258000,None
WCIC,2014-06-30,USD,777069000,603840000,201542000,201542000,385577000,None,121050000,25122000,None,7520000,7520000,7520000,None,None,12302000,7206000,19537000,359780000,108530000,None,None,None,None,251250000,None,251250000,None,None,None,33163000,None,414939000,-374000,114802000,258000,None
WCIC,2014-03-31,USD,685945000,508423000,194662000,194662000,298123000,None,124024000,24766000,None,7520000,7520000,7520000,None,None,11884000,7419000,21212000,273690000,73690000,None,None,None,None,200000000,None,206871000,None,None,None,28618000,None,409728000,-374000,110464000,258000,None
WCIC,2013-12-31,USD,685486000,509740000,213352000,213352000,280903000,None,125646000,24479000,None,7520000,7520000,7520000,None,None,9264000,5078000,18101000,275622000,75622000,None,None,None,None,200000000,None,207271000,None,None,None,20702000,None,407576000,-196000,108984000,258000,None
WCIC,2013-09-30,USD,536870000,489308000,201835000,201835000,277019000,None,47562000,24019000,None,7520000,7520000,7520000,None,None,8806000,5019000,16023000,263109000,63109000,None,None,None,None,200000000,None,208187000,None,None,None,23237000,None,271473000,-196000,-26214000,258000,None
WCIC,2013-06-30,USD,367358000,316667000,41485000,41485000,272408000,None,50691000,24179000,None,7520000,7520000,7520000,None,None,9778000,5158000,18992000,189744000,66808000,None,None,None,None,122936000,None,132192000,None,None,None,22244000,None,174986000,-196000,-28172000,18000,None
