SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
WLKP,2020-12-31,USD,1356488000,263305000,17154000,17154000,3474000,11029000,1056491000,1050677000,None,5814000,None,5814000,None,None,123228000,123620000,42506000,441351000,39754000,13131000,None,None,None,401597000,None,399674000,None,None,399674000,8493000,381000,915137000,None,None,519971000,35198903
WLKP,2020-09-30,USD,1382282000,278162000,23331000,23331000,1652000,5144000,1066654000,1060840000,None,5814000,None,5814000,None,None,191241000,191798000,43280000,443450000,41694000,6816000,None,None,None,401756000,None,399674000,None,None,399674000,6697000,555000,938832000,None,None,521456000,35194545
WLKP,2020-06-30,USD,1369027000,245964000,23618000,23618000,1529000,7007000,1083313000,1077499000,None,5814000,None,5814000,810000,None,171391000,171456000,39750000,433174000,31093000,8846000,None,None,None,402081000,None,399674000,None,None,399674000,5155000,740000,935853000,None,None,519512000,35194545
WLKP,2020-03-31,USD,1383027000,242139000,24081000,24081000,2000000,13535000,1097934000,1092120000,None,5814000,None,5814000,2838000,None,161759000,161963000,42954000,432936000,30666000,8301000,None,None,None,402270000,None,399674000,None,None,399674000,6874000,947000,950091000,None,None,521242000,35194545
WLKP,2019-12-31,USD,1393456000,238411000,19923000,19923000,2484000,9914000,1108809000,1102995000,None,5814000,None,5814000,597000,None,162773000,163243000,46236000,441321000,38849000,6141000,None,None,None,402472000,None,399674000,None,None,399674000,6945000,1149000,952135000,None,None,520086000,35194545
WLKP,2019-09-30,USD,1407056000,237336000,18647000,18647000,3698000,14543000,1119098000,1113010000,None,5814000,None,5814000,274000,None,164888000,165447000,50896000,444325000,40938000,4644000,None,None,None,401928000,2082000,399674000,None,None,399674000,12078000,2082000,962731000,None,None,518917000,35000000
WLKP,2019-06-30,USD,1410904000,222354000,17473000,17473000,4029000,20435000,1134897000,1129083000,None,5814000,None,5814000,None,None,141327000,141422000,53653000,438790000,36313000,8030000,None,None,None,402477000,1110000,399674000,None,None,399674000,6032000,1110000,972114000,None,None,520363000,35000000
WLKP,2019-03-31,USD,1631273000,428659000,84615000,84615000,4171000,15495000,1144248000,1138434000,None,5814000,None,5814000,None,None,276501000,276752000,58366000,651326000,47258000,7481000,None,None,None,604068000,1272000,601119000,None,None,601119000,5758000,1272000,979947000,None,None,522314000,32000000
WLKP,2018-12-31,USD,1462125000,247142000,19744000,19744000,4388000,16404000,1154079000,1148265000,None,5814000,None,5814000,None,None,148956000,149326000,60904000,528044000,48772000,5045000,None,None,None,477608000,None,477608000,None,None,477608000,2818000,477608000,934081000,None,None,458382000,32000000
WLKP,2018-09-30,USD,1495003000,262583000,17041000,17041000,5004000,22544000,1167017000,1161203000,None,5814000,5814000,5814000,None,None,151875000,152366000,65403000,545874000,66587000,6402000,None,None,None,479287000,None,477608000,None,None,477608000,4156000,477661000,949129000,None,None,460066000,32000000
WLKP,2018-06-30,USD,1492175000,242756000,28483000,28483000,6128000,16380000,1179144000,1173330000,None,5814000,5814000,5814000,None,None,143741000,143795000,70300000,527708000,47615000,7390000,None,None,477608000,480093000,None,477608000,477608000,None,477600000,6764000,477754000,964467000,None,None,460602000,32000000
