SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
WTTR,2020-12-31,USD,875359000,351505000,169039000,169039000,33384000,129461000,524156000,350365000,528537000,116079000,116079000,0,None,None,None,188031000,5079000,169477000,88758000,12995000,None,307000,14019000,80813000,75310000,None,0,None,14019000,14845000,19735000,593061000,None,-317247000,1030000,103033748
WTTR,2020-09-30,USD,880633000,332362000,185438000,185438000,34366000,92743000,548271000,369600000,538380000,118801000,118801000,0,None,None,None,196018000,2468000,155237000,78322000,11037000,None,304000,14611000,76915000,79132000,None,0,None,79132000,79432000,12698000,609598000,None,-299264000,1030000,103045228
WTTR,2020-06-30,USD,911314000,334497000,166407000,166407000,38186000,107114000,576817000,392985000,537323000,121761000,121761000,0,None,None,None,203982000,2640000,151677000,74656000,11151000,None,15043000,None,77021000,80971000,None,14746000,None,80971000,81211000,11093000,638472000,None,-268723000,1031000,103104150
WTTR,2020-03-31,USD,1026908000,407840000,114142000,114142000,38502000,234928000,619068000,426450000,560340000,124878000,124878000,0,None,None,None,210380000,2506000,211351000,131539000,26518000,None,17086000,None,79812000,86196000,None,17002000,None,86196000,88541000,10702000,686429000,None,-224425000,1042000,104212940
WTTR,2019-12-31,USD,1347620000,415601000,79268000,79268000,37542000,272305000,1203082000,453278000,562986000,674736000,136952000,537784000,None,None,None,501007000,4220000,234808000,151881000,35686000,None,128000,None,83014000,91586000,None,0,None,91586000,94375000,10784000,937177000,None,21437000,1041000,104114626
WTTR,2019-09-30,USD,6880000,42999000,42999000,42999000,39613000,316223000,952175000,467246000,617740000,406903000,139969000,266934000,None,None,None,506274000,4502000,250738000,165869000,38530000,None,19736000,None,84977000,92408000,None,19488000,None,92408000,95705000,12197000,925708000,None,31367000,1048000,104000000
WTTR,2019-06-30,USD,1377177000,23818000,23818000,23818000,39952000,328023000,956371000,468211000,603191000,409372000,142438000,266934000,None,None,None,514109000,3064000,250329000,164239000,53107000,None,19974000,None,86219000,95143000,None,19553000,None,95143000,98560000,10921000,848638000,None,25988000,1062000,105000000
WTTR,2019-03-31,USD,1411952000,15683000,15683000,15683000,42520000,349337000,905706000,490178000,595332000,412342000,145408000,266934000,None,None,None,511048000,3186000,296839000,193903000,64694000,None,None,21959000,32295000,93343000,25000000,21959000,25000000,118343000,21959000,7295000,839090000,None,19788000,1060000,99000000
WTTR,2018-12-31,USD,1360605000,432152000,17237000,17237000,44992000,342830000,273801000,502848000,611530000,273801000,148377000,125424000,None,None,None,449271000,3427000,249832000,179719000,53847000,None,None,938000,53361000,16752000,45000000,938000,45000000,62690000,50056000,8361000,832934000,None,18653000,1050000,106000000
WTTR,2018-09-30,USD,1438785000,508008000,13050000,13050000,49457000,424696000,1079104000,504098000,608040000,571407000,296654000,274753000,None,None,None,443885000,3599000,296113000,202433000,54437000,None,None,1176000,93680000,18547000,65000000,1176000,65000000,84723000,69341000,10133000,861340000,None,32153000,1067000,106000000
WTTR,2018-06-30,USD,1433742000,518818000,11301000,11301000,51680000,426037000,1063832000,483745000,580102000,576175000,297816000,278359000,None,None,None,457067000,3912000,324930000,216081000,66756000,None,None,1468000,108849000,19220000,80000000,1468000,80000000,100688000,83924000,9629000,800821000,None,9203000,1067000,106000000
WTTR,2018-03-31,USD,1391009000,485165000,6117000,6117000,44501000,414252000,1058059000,473750000,578220000,580225000,304430000,275795000,None,None,None,448305000,4084000,309739000,202841000,62415000,None,None,1706000,106898000,18321000,75000000,1706000,75000000,95027000,77600000,13577000,669244000,None,-7760000,1066000,40331989
WTTR,2017-12-31,USD,1356368000,446516000,2774000,2774000,44598000,381302000,276321000,474109000,560886000,429487000,156066000,273421000,None,None,None,447329000,6256000,292999000,185193000,52579000,None,None,1965000,107806000,18979000,75000000,1965000,75000000,95944000,77772000,13827000,656647000,None,-17859000,1063000,72000000
WTTR,2017-09-30,USD,552749000,205545000,42393000,42393000,852000,148805000,382555000,279546000,535456000,95793000,70702000,25091000,None,None,None,73937000,7216000,98421000,72313000,11751000,None,None,None,26108000,18100000,None,None,None,18100000,1246000,8008000,198641000,None,-8207000,690000,69000000
WTTR,2017-06-30,USD,528601000,191177000,52777000,52777000,691000,129928000,372804000,270844000,519080000,94038000,70760000,23278000,None,None,None,66439000,7922000,79736000,54981000,12122000,None,None,None,24755000,17029000,None,None,None,17029000,846000,7726000,195552000,None,-9431000,688000,66000000
WTTR,2017-03-31,USD,441115000,118130000,8048000,8048000,940000,103459000,359002000,255583000,500541000,95009000,72034000,22975000,None,None,None,64675000,8410000,112544000,53491000,13012000,None,None,34000000,59053000,17282000,34000000,34000000,None,None,666000,7771000,111263000,None,-5215000,587000,58000000
WTTR,2016-12-31,USD,405066000,124655000,40041000,40041000,1001000,None,None,248867000,490519000,23828000,23828000,12242000,None,None,None,7586000,7716000,70358000,46384000,10796000,None,None,None,None,None,None,None,None,None,34940000,8028000,112716000,None,-1043000,199000,None
