SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
XERS,2020-12-31,USD,159151000,152212000,37598000,133788000,8353000,None,3285000,6707000,None,None,None,None,None,None,96190000,3196000,232000,125390000,28207000,3117000,None,None,None,3533000,None,87021000,None,None,87021000,322000,3533000,33761000,None,-337400000,6000,59611202
XERS,2020-09-30,USD,170386000,163226000,37886000,141743000,5633000,None,1425000,6928000,None,None,None,None,103857000,None,103857000,3660000,232000,156050000,27027000,4694000,None,None,None,9632000,None,119391000,None,None,119391000,1582000,9632000,14336000,None,-315528000,5000,46664503
XERS,2020-06-30,USD,165810000,156363000,102465000,143995000,4824000,None,3923000,7387000,None,None,None,None,43320000,1790000,41530000,3672000,270000,141429000,22787000,4440000,None,None,None,9166000,None,109476000,None,None,109476000,218000,9166000,24381000,None,-299528000,5000,45151332
XERS,2020-03-31,USD,116462000,105520000,39244000,96942000,2166000,None,10942000,7593000,None,None,None,None,60690000,2992000,57698000,3154000,357000,89393000,21880000,3840000,None,None,None,9028000,None,58485000,None,None,58485000,161000,9028000,27069000,None,-275429000,4000,37541037
XERS,2019-12-31,USD,108987000,87483000,19519000,75549000,2176000,None,19809000,7853000,None,None,None,None,69261000,13231000,56030000,4119000,420000,94551000,27338000,5603000,None,None,None,1832000,None,58305000,None,None,58305000,284000,8908000,14436000,None,-246245000,3000,27214523
XERS,2019-09-30,USD,128100000,105976000,56160000,56160000,None,None,22124000,7952000,None,None,None,None,60224000,13913000,46311000,2631000,259000,84444000,17792000,1678000,None,None,None,8528000,None,58124000,None,None,58124000,302000,8528000,43656000,None,-213163000,3000,27000000
XERS,2019-06-30,USD,133894000,126149000,66669000,66669000,None,None,7745000,7677000,None,None,None,None,None,None,57841000,None,68000,59103000,21008000,1840000,None,None,3000000,8692000,None,29403000,3000000,None,29403000,403000,8692000,74791000,None,-180327000,3000,27000000
XERS,2019-03-31,USD,160970000,153445000,61984000,61984000,None,None,7525000,7430000,None,None,None,None,None,None,85687000,2146000,95000,53870000,13406000,1408000,None,None,None,8323000,None,32141000,None,None,32141000,295000,8323000,107100000,None,-145942000,3000,24000000
XERS,2018-12-31,USD,120028000,117899000,45716000,45716000,None,None,2129000,2034000,None,None,None,None,None,None,66917000,None,95000,44622000,10172000,866000,None,None,None,2560000,None,31890000,None,None,31890000,1092000,None,75406000,None,-120665000,2000,12000000
XERS,2018-09-30,USD,137591000,135670000,75745000,75745000,None,None,1921000,1826000,None,None,None,None,None,None,55296000,2898000,95000,42471000,8208000,622000,None,None,None,2621000,None,31642000,None,None,34641000,1326000,2621000,95120000,None,-100200000,2000,21000000
XERS,2018-06-30,USD,138256000,137032000,134528000,134528000,None,None,1224000,1136000,None,None,None,None,None,None,None,1439000,88000,28919000,9189000,556000,None,None,18167000,1563000,None,18167000,18167000,None,18167000,1091000,1563000,109337000,None,-85478000,2000,4000000
