SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ACIA,2020-12-31,USD,53917000,1200000,None,-11792000,-16690000,2961000,2413000,-18832000,2786000,34333000,-144930000,1474000,None,None,None,None,None,None,None,None,None,None,1474000,None,-89539000,None,34377000
ACIA,2020-09-30,USD,29728000,1100000,None,19994000,25845000,2794000,4277000,22137000,2738000,24333000,-64267000,229000,None,None,None,None,None,None,None,None,None,None,229000,None,-34310000,None,24289000
ACIA,2020-06-30,USD,25352000,1100000,None,12664000,14272000,2600000,3447000,18283000,-3843000,16048000,134022000,150000,None,None,None,None,None,None,None,None,None,None,150000,None,155017000,None,16081000
ACIA,2020-03-31,USD,22055000,1100000,None,-8667000,-4304000,2700000,2742000,-1122000,-4520000,15644000,27015000,323000,None,None,None,None,None,None,None,None,None,None,323000,None,49393000,None,15644000
ACIA,2019-12-31,USD,12535000,2200000,None,-8164000,148000,3285000,2726000,-1796000,3513000,12823000,-42815000,2429000,None,None,None,None,None,None,None,None,None,None,2429000,None,-27851000,None,12782000
ACIA,2019-09-30,USD,26218000,1100000,None,14677000,10116000,2974000,3039000,10248000,-1244000,15066000,-8485000,560000,None,None,None,None,None,None,None,None,None,None,560000,None,18293000,None,15105000
ACIA,2019-06-30,USD,-2025000,1000000,None,11412000,13332000,3100000,3348000,6105000,11839000,-2025000,-34639000,2544000,None,None,None,None,None,None,None,None,None,None,2544000,None,-2025000,None,-2025000
ACIA,2019-03-31,USD,6977000,None,None,5985000,-6948000,3243000,2724000,-7440000,1201000,6977000,-17640000,1400000,None,None,None,None,None,None,None,None,None,None,1400000,None,6977000,None,6977000
ACIA,2018-12-31,USD,9088000,None,None,5805000,2198000,3500000,3373000,9366000,-9188000,9088000,-20805000,-24520000,None,27013000,None,None,None,None,None,None,None,None,-24520000,None,9088000,None,9088000
ACIA,2018-09-30,USD,8151000,None,None,7882000,-1860000,3500000,1604000,25066000,-15951000,8151000,-48663000,-11495000,None,11928000,None,None,None,None,None,None,None,None,-11495000,None,8151000,None,8151000
ACIA,2018-06-30,USD,-3245000,None,None,-15987000,-23706000,3400000,2979000,-18366000,-6506000,-3245000,5619000,1148000,None,None,None,None,None,None,None,None,None,None,1148000,None,-3245000,None,-3245000
ACIA,2018-03-31,USD,-9078000,None,None,-4928000,-16456000,3300000,6704000,-11837000,-5076000,-9078000,7612000,968000,None,None,None,None,None,None,None,None,None,None,968000,None,-9078000,None,-9078000
ACIA,2017-12-31,USD,18446000,None,None,28605000,4573000,3200000,4081000,-9020000,12249000,-20404000,-68850000,2138000,None,None,None,None,None,None,None,None,None,None,2138000,None,-48266000,None,-20364000
ACIA,2017-09-30,USD,7251000,None,None,8105000,19504000,3259000,2025000,12711000,8297000,18539000,1925000,458000,None,None,None,None,None,None,None,None,None,None,458000,None,9634000,None,18499000
ACIA,2017-06-30,USD,7664000,None,None,-1649000,-22247000,3000000,2398000,-31980000,8002000,4664000,61400000,2186000,None,None,None,None,None,None,None,None,None,None,2199000,None,-33514000,None,4664000
ACIA,2017-03-31,USD,31808000,None,None,-9176000,16724000,2877000,5608000,6764000,2003000,35709000,-83360000,695000,None,None,None,None,None,None,None,None,None,None,883000,None,-66761000,None,35709000
ACIA,2016-12-31,USD,73665000,None,None,-8955000,18838000,2632000,4987000,6378000,2487000,64494000,-56463000,103106000,None,None,None,None,None,None,None,None,None,None,119072000,None,83488000,None,64493000
ACIA,2016-09-30,USD,42204000,None,None,14953000,33839000,2716000,4234000,23860000,5930000,34888000,-56972000,-572000,None,None,None,None,None,None,None,None,None,None,73000,None,-36095000,None,34888000
