SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
AKCA,2020-06-30,USD,-33423000,None,None,None,None,3018000,349000,-3376000,33000,-49577000,4069000,1704000,None,None,None,None,None,None,None,None,None,None,1704000,None,-96741000,74000,-49577000
AKCA,2020-03-31,USD,-44105000,None,None,-219000,5352000,3404000,209000,306000,2382000,-42850000,-101319000,1869000,None,None,None,None,None,None,None,None,None,None,1945000,None,-242996000,9000,-42850000
AKCA,2019-12-31,USD,167887000,None,None,None,None,1434000,178000,None,176000,166453000,-33703000,2389000,None,None,None,None,None,None,None,None,None,None,11574000,None,167887000,117000,82406000
AKCA,2019-09-30,USD,-34732000,None,None,-9659000,1105000,2568000,29000,1460000,355000,-31498000,22083000,-8239000,None,None,None,None,None,None,None,None,None,None,1776000,None,20396000,-17000,-31498000
AKCA,2019-06-30,USD,-28769000,None,None,None,None,3119000,358000,1076000,3742000,-37323000,-24752000,2821000,None,None,None,None,None,None,None,None,None,None,7409000,None,-50793000,-93000,-37323000
AKCA,2019-03-31,USD,78592000,None,None,-8190000,7271000,2827000,1031000,5672000,272000,27187000,44800000,-8904000,None,None,None,None,-13492000,-13492000,None,None,None,None,4588000,None,114573000,85000,27187000
AKCA,2018-12-31,USD,-139102000,None,None,None,None,2012000,1003000,None,-4014000,-141114000,37172000,1834000,None,None,None,None,-13492000,-13492000,None,None,None,None,162831000,None,-139102000,-36000,-70557000
AKCA,2018-09-30,USD,-62854000,None,None,-11338000,2170000,1490000,111000,-2659000,-4014000,-63591000,-39161000,1410000,None,None,None,None,None,None,None,None,None,None,-151165000,None,-100634000,-29000,-63591000
AKCA,2018-06-30,USD,-54549000,None,None,None,None,100000,5000,None,None,-62046000,45993000,157863000,None,None,None,None,None,None,None,None,None,None,156306000,None,149317000,10000,-62046000
AKCA,2018-03-31,USD,-16763000,None,None,-7875000,-1087000,206000,5000,-5413000,None,-29627000,26541000,1724000,None,None,None,None,None,None,None,None,None,None,None,None,11540000,38000,-29627000
AKCA,2017-12-31,USD,-40205000,None,None,None,None,228000,9000,None,None,-40205000,-26408000,-980000,None,None,None,None,None,None,None,None,None,None,None,None,-40205000,-93000,-121559000
AKCA,2017-09-30,USD,-17680000,None,None,29338000,434000,228000,9000,None,None,66577000,-132811000,185412000,None,None,None,None,None,None,None,None,None,None,None,None,34921000,0,-19809000
