SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ALDW,2017-09-30,USD,171719000,None,None,None,None,7807000,30929000,None,4372000,None,-17738000,54258000,None,None,None,None,-52523000,-52523000,None,None,None,None,None,None,None,None,29236000
ALDW,2017-06-30,USD,35373000,None,None,None,None,15045000,7316000,-32531000,12592000,None,-7316000,29761000,None,None,None,None,-30638000,-30638000,None,None,None,None,None,None,58205000,None,21680000
ALDW,2017-03-31,USD,41772000,None,None,None,None,14802000,5875000,6114000,-836000,None,-5875000,-387000,None,None,None,None,-6877000,-6877000,None,None,None,None,None,None,35510000,None,20112000
ALDW,2016-12-31,USD,19658000,None,None,None,None,14641000,6473000,-16881000,2208000,None,-6473000,-143424000,None,None,None,None,-23132000,-23132000,None,None,None,None,None,None,-130239000,None,884000
ALDW,2016-09-30,USD,11870000,None,None,None,None,15127000,5954000,12069000,-7507000,None,-5954000,39231000,None,None,None,None,-13754000,-13754000,None,None,None,None,None,None,41943000,None,2083000
ALDW,2016-06-30,USD,39925000,None,None,None,None,15219000,10131000,-10457000,-13053000,None,-10131000,8830000,None,None,None,None,-5001000,-5001000,None,None,None,None,None,None,38624000,None,1191000
ALDW,2016-03-31,USD,6662000,None,None,None,None,14923000,10793000,-10862000,4114000,None,-10793000,-5626000,None,None,None,None,-5001000,-5001000,None,None,None,None,None,None,-9757000,None,-8562000
ALDW,2015-12-31,USD,20513000,None,None,None,None,14643000,14228000,14379000,5720000,None,-14228000,-8610000,None,None,None,None,-61260000,-61260000,None,None,None,None,None,None,-2325000,None,7246000
ALDW,2015-09-30,USD,84834000,None,None,None,None,14500000,5532000,11765000,2025000,None,-5532000,-93908000,None,None,None,None,-65011000,-65011000,None,None,None,None,None,None,-14606000,None,53776000
ALDW,2015-06-30,USD,107311000,None,None,None,None,14311000,5985000,5444000,-7890000,None,-5985000,-61829000,None,None,None,None,-44379000,-44379000,None,None,None,None,None,None,39497000,None,59426000
ALDW,2015-03-31,USD,27087000,None,None,None,None,14665000,3805000,-21163000,9863000,None,-3805000,-19220000,None,None,None,None,-43755000,-43755000,None,None,None,None,None,None,4062000,None,36451000
ALDW,2014-12-31,USD,57130000,None,None,None,None,14732000,11719000,45725000,13653000,None,-11719000,-54381000,None,None,None,None,-126262000,-126262000,None,None,None,None,None,None,-8970000,None,42099000
ALDW,2014-09-30,USD,94142000,None,None,None,None,14508000,26195000,-21921000,11631000,None,-26195000,-33751000,None,None,None,None,-1496000,-1496000,None,None,None,None,None,None,34196000,None,76993000
ALDW,2014-06-30,USD,-35000,None,None,None,None,10157000,18259000,50340000,-19810000,None,-18259000,-68955000,None,None,None,None,-7940000,-7940000,None,None,None,None,None,None,-87249000,None,7802000
ALDW,2014-03-31,USD,45267000,None,None,None,None,10708000,18627000,-13753000,-1490000,None,-18627000,-11875000,None,None,None,None,-2070000,-2070000,None,None,None,None,None,None,14765000,None,42241000
ALDW,2013-12-31,USD,56618000,None,None,None,None,11680000,7968000,-25190000,27053000,None,-7968000,44457000,None,None,None,None,-172506000,-172506000,None,None,None,None,None,None,93107000,None,13496000
ALDW,2013-09-30,USD,6476000,None,None,None,None,11602000,7682000,29051000,-22193000,None,-7682000,34998000,None,None,None,None,96383000,96383000,None,None,None,None,None,None,33792000,None,-16120000
ALDW,2013-06-30,USD,-13403000,None,None,None,None,11862000,7257000,-17979000,-2151000,None,-7257000,-143128000,None,None,None,None,-128129000,-128129000,None,None,None,None,None,None,-163788000,None,45321000
ALDW,2013-03-31,USD,166646000,None,None,None,None,12686000,6719000,-5646000,5179000,None,-6719000,-35456000,None,None,None,None,-35626000,-35626000,None,None,None,None,None,None,124471000,None,93525000
ALDW,2012-12-31,USD,528825000,None,None,None,None,None,31769000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,113232000
ALDW,2012-09-30,USD,363616000,None,None,None,None,None,25455000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,120367000
