SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ALDX,2020-12-31,USD,-8317197,None,None,3273458,3183684,197725,None,None,None,-11292180,0,1,None,None,None,None,None,None,None,1,None,None,1,None,-8317196,None,-11292180
ALDX,2020-09-30,USD,-6237452,None,None,174848,-492548,137727,None,None,None,-8873173,5500000,26224125,None,None,None,None,None,None,None,25168951,None,None,26224125,None,25486673,None,-8873173
ALDX,2020-06-30,USD,-7579054,None,None,-860455,1134692,121273,None,None,None,-7520216,17300000,12424917,None,None,None,None,None,None,None,12374768,None,None,12424917,None,-7520216,None,-7520216
ALDX,2020-03-31,USD,-15359752,None,None,-8020890,-429321,74285,None,None,None,-9868160,6223910,3252983,None,None,None,None,None,None,None,3172824,None,None,3252983,None,-5882859,None,-9868160
ALDX,2019-12-31,USD,-11226323,None,None,673188,858693,176176,0,None,None,-13160623,-4285156,8333106,None,None,None,None,None,None,None,7170714,None,None,8333106,None,-7178373,None,-13160623
ALDX,2019-09-30,USD,-8315046,None,None,5831728,-2542368,-103985,0,None,None,-18715015,5675527,14844158,None,None,None,None,None,None,None,0,None,None,115688,None,12204639,None,-18715014
ALDX,2019-06-30,USD,-12810879,None,None,-2904001,-1488737,-113565,4604,None,None,-13327165,7922026,-9138,None,None,None,None,None,None,None,-86643,None,None,-7482,None,-13327165,None,-13327165
ALDX,2019-03-31,USD,-12631978,None,None,-405584,3626841,-173434,4925,None,None,-15624028,9164454,407607,None,None,None,None,None,None,None,807607,None,None,807607,None,-3059917,None,-15624028
ALDX,2018-12-31,USD,-7968175,None,None,1198125,-532939,-83989,14584,None,None,-10633184,-28972362,66289357,None,None,None,None,None,None,None,67642231,None,None,67642190,None,29348820,None,-10633184
ALDX,2018-09-30,USD,-7688672,None,None,2227211,309628,-67410,47619,None,None,-10812565,-21302,1112952,None,None,None,None,None,None,None,1070338,None,None,1155952,None,-6597022,None,-10812565
ALDX,2018-06-30,USD,-9050435,None,None,1526879,-273993,19086,61757,None,None,-9050435,856607,9031217,None,None,None,None,None,None,None,9031217,None,None,9031217,None,3642133,None,-9050435
ALDX,2018-03-31,USD,-15913055,None,None,196889,647931,25097,139006,None,None,-8397063,4801481,4093316,None,None,None,None,None,None,None,4093316,None,None,4093316,None,940204,None,-8397063
ALDX,2017-12-31,USD,-10041787,None,None,1244703,-122760,-23642,13167,None,None,-6954510,-8109975,47980,None,None,None,None,None,None,None,-4495,None,None,75249,None,-13080512,None,-6954510
ALDX,2017-09-30,USD,-9416404,None,None,191139,620244,50360,0,None,None,-4986198,-3627932,26827643,None,None,None,None,None,None,None,26888362,None,None,26888362,None,18494107,None,-4986199
ALDX,2017-06-30,USD,-5308760,None,None,-413658,260800,66086,0,None,None,-5308760,648524,-29734,None,None,None,None,None,None,None,2653,None,None,48208,None,-4693108,None,-5308760
ALDX,2017-03-31,USD,-8378882,None,None,-6448,42001,94631,11592,None,None,-5091121,891541,10583091,None,None,None,None,None,None,None,10583091,None,None,10583091,None,7287789,None,-5091121
ALDX,2016-12-31,USD,-7825307,None,None,11540,-31524,98864,0,None,None,-4651429,1319947,36068,None,None,None,None,None,None,None,-53014,None,None,-2702873,None,-2553447,None,-4651429
ALDX,2016-09-30,USD,-7014113,None,None,302260,-9881,85316,0,None,None,-4778052,566662,-102108,None,None,None,None,None,None,None,-65872,None,None,-65872,None,-3039014,None,-4775307
ALDX,2016-06-30,USD,-4302616,None,None,297196,-23422,129952,2576,None,None,-4302616,-2102609,12814731,None,None,None,None,None,None,None,None,None,None,12768745,None,7458998,None,-4302616
ALDX,2016-03-31,USD,-9044350,None,None,-426893,-214043,15080,9234,None,None,-4967352,-9234,-9750,None,None,None,None,None,None,None,None,None,None,None,None,-4500342,None,-4967352
