SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ALLY,2020-12-31,USD,1135000000,1057000000,None,-274000000,-427000000,38000000,1094000000,None,None,687000000,-2578000000,-2609000000,-896000000,1000000,1000000,None,72000000,-72000000,None,None,486000000,None,-1000000,None,-4052000000,None,687000000
ALLY,2020-09-30,USD,1442000000,787000000,None,233000000,-374000000,38000000,1277000000,None,None,476000000,-300000000,-486000000,-657000000,1000000,1000000,None,73000000,-73000000,None,None,802000000,None,-1000000,None,656000000,None,476000000
ALLY,2020-06-30,USD,348000000,992000000,None,66000000,473000000,39000000,811000000,None,None,242000000,11630000000,919000000,-5805000000,0,0,None,72000000,-72000000,None,None,1584000000,None,0,None,242000000,None,241000000
ALLY,2020-03-31,USD,814000000,941000000,None,-221000000,109000000,39000000,1138000000,None,None,-319000000,-325000000,2201000000,3963000000,104000000,104000000,None,72000000,-72000000,None,None,788000000,None,-104000000,None,2690000000,None,-319000000
ALLY,2019-12-31,USD,917000000,1355000000,None,-332000000,1249000000,29000000,1086000000,None,None,381000000,-621000000,-288000000,196000000,299000000,299000000,None,67000000,-67000000,None,None,1477000000,None,-299000000,None,8000000,None,378000000
ALLY,2019-09-30,USD,1289000000,999000000,None,166000000,2789000000,27000000,1168000000,None,None,381000000,-641000000,-546000000,-1184000000,300000000,300000000,None,67000000,-67000000,None,None,848000000,None,-300000000,None,102000000,None,381000000
ALLY,2019-06-30,USD,763000000,1139000000,None,-103000000,3269000000,28000000,977000000,None,None,584000000,-466000000,-933000000,404000000,229000000,229000000,None,69000000,-69000000,None,None,2824000000,None,-229000000,None,584000000,None,582000000
ALLY,2019-03-31,USD,1081000000,930000000,None,210000000,7077000000,271000000,792000000,None,None,379000000,-2041000000,237000000,-3872000000,211000000,211000000,None,70000000,-70000000,None,None,1766000000,None,-211000000,None,-722000000,1000000,374000000
ALLY,2018-12-31,USD,806000000,3452000000,None,-179000000,4706000000,266000000,718000000,None,None,316000000,-5663000000,5779000000,2648000000,309000000,309000000,None,63000000,-63000000,None,None,3645000000,None,-309000000,None,919000000,-3000000,290000000
ALLY,2018-09-30,USD,1335000000,-1366000000,None,160000000,2494000000,271000000,884000000,None,None,379000000,-2729000000,1161000000,231000000,250000000,250000000,None,64000000,-64000000,None,None,1816000000,None,-250000000,None,-232000000,1000000,374000000
ALLY,2018-06-30,USD,912000000,897000000,None,155000000,1413000000,290000000,1138000000,None,None,355000000,-1715000000,805000000,-2457000000,195000000,195000000,None,57000000,-57000000,None,None,6275000000,None,-195000000,None,355000000,-1000000,349000000
ALLY,2018-03-31,USD,1097000000,722000000,None,14000000,4079000000,296000000,969000000,None,None,258000000,-4402000000,2976000000,-1848000000,185000000,185000000,None,58000000,-58000000,None,None,6665000000,None,-185000000,None,-331000000,-2000000,250000000
ALLY,2017-12-31,USD,706000000,1000000000,None,-228000000,-61000000,286000000,4052000000,None,None,180000000,-5058000000,3250000000,1237000000,190000000,190000000,None,54000000,-54000000,None,None,4667000000,None,-190000000,None,-1102000000,0,181000000
ALLY,2017-09-30,USD,1303000000,652000000,None,185000000,-122000000,297000000,2844000000,None,None,289000000,-353000000,-904000000,-538000000,190000000,190000000,None,55000000,-55000000,None,None,3972000000,None,-190000000,None,47000000,1000000,282000000
ALLY,2017-06-30,USD,895000000,851000000,None,-13000000,56000000,346000000,1965000000,None,None,257000000,-2653000000,1831000000,2341000000,204000000,204000000,None,37000000,-37000000,None,None,4842000000,None,-204000000,None,75000000,2000000,252000000
ALLY,2017-03-31,USD,1175000000,718000000,None,11000000,-150000000,414000000,893000000,None,None,214000000,-663000000,-2144000000,-4303000000,169000000,169000000,None,38000000,-38000000,None,None,4488000000,None,-169000000,None,-1632000000,None,214000000
ALLY,2016-12-31,USD,978000000,1140000000,None,-252000000,-56000000,443000000,3274000000,None,99000000,250000000,-5903000000,6571000000,6237000000,168000000,168000000,None,38000000,-38000000,None,None,2926000000,None,-168000000,None,1645000000,-1000000,248000000
ALLY,2016-09-30,USD,1167000000,630000000,None,26000000,-71000000,391000000,2360000000,None,43000000,264000000,-1522000000,-1086000000,439000000,159000000,-537000000,None,40000000,-40000000,None,None,2209000000,None,537000000,None,-1442000000,-1000000,209000000
ALLY,2016-06-30,USD,1234000000,620000000,None,119000000,-57000000,476000000,1472000000,None,100000000,362000000,-1910000000,1405000000,627000000,0,696000000,None,15000000,-15000000,None,None,4776000000,None,-696000000,None,730000000,1000000,360000000
ALLY,2016-03-31,USD,1188000000,626000000,None,-98000000,-253000000,549000000,701000000,None,60000000,253000000,651000000,-3220000000,-2739000000,14000000,14000000,None,15000000,-15000000,None,None,4244000000,None,-14000000,None,-1379000000,2000000,250000000
