SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ALRN,2020-12-31,USD,-4689000,None,None,567000,-5448000,10000,None,None,None,-4996000,-357000,4242000,None,None,None,None,None,None,None,None,None,None,None,None,-804000,None,-4930000
ALRN,2020-09-30,USD,-5043000,None,None,10000,889000,14000,None,None,None,-5023000,-4529000,298000,None,None,None,None,None,None,None,None,None,None,None,None,-9274000,None,-5023000
ALRN,2020-06-30,USD,-5072000,None,None,-96000,-372000,69000,5000,None,None,-4390000,239000,-1186000,None,None,None,None,None,None,None,None,None,None,None,None,-5586000,None,-4390000
ALRN,2020-03-31,USD,-5672000,None,None,-365000,-447000,70000,None,None,None,-6748000,11058000,524000,None,None,None,None,None,None,None,None,None,None,None,None,5910000,None,-6748000
ALRN,2019-12-31,USD,-6305000,None,None,-880000,-1131000,75000,15000,None,None,-7235000,4764000,-15000,None,None,None,None,None,None,None,None,None,None,23964000,None,-1556000,None,-7236000
ALRN,2019-09-30,USD,-6976000,None,None,628000,739000,22000,5000,None,None,-7749000,3737000,-51000,None,None,None,None,None,None,None,None,None,None,23979000,None,-3290000,None,-7749000
ALRN,2019-06-30,USD,-7380000,None,None,847000,-237000,27000,4000,None,None,-7380000,-19288000,23865000,None,None,None,None,None,None,None,None,None,None,24030000,None,-7380000,None,-7172000
ALRN,2019-03-31,USD,-7313000,None,None,-872000,-483000,31000,127000,None,None,-7313000,7973000,165000,None,None,None,None,None,None,None,None,None,None,165000,None,-7313000,None,-7212000
ALRN,2018-12-31,USD,-6982000,None,None,174000,-198000,49000,1932000,None,None,-6982000,8305000,1277000,1263000,None,None,None,None,None,None,None,None,None,14000,None,-6982000,None,-7034000
ALRN,2018-09-30,USD,-7498000,None,None,-22000,456000,87000,2278000,None,None,-7498000,1404000,1210000,None,None,None,None,None,None,None,None,None,None,28000,None,-7498000,None,-7434000
ALRN,2018-06-30,USD,-9659000,None,None,-218000,-231000,36000,206000,None,None,-9659000,12579000,12000,None,None,None,None,None,None,None,None,None,None,12000,None,-9659000,None,-9491000
ALRN,2018-03-31,USD,-13758000,None,None,196000,75000,46000,7000,None,None,-7763000,2400000,16000,None,None,None,None,None,None,None,None,None,None,16000,None,-11342000,None,-7588000
ALRN,2017-12-31,USD,-11919000,None,None,-8000,-259000,44000,142000,None,None,-7041000,4517000,-244000,None,None,None,None,None,None,None,None,None,None,None,None,-1565000,None,-6865000
ALRN,2017-09-30,USD,-11384000,None,None,267000,644000,40000,74000,None,None,-6426000,-41435000,50702000,None,None,None,None,None,None,None,None,None,None,None,None,4031000,None,-6259000
