SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ANGI,2020-12-31,USD,15234000,None,None,-34089000,8338000,18063000,14851000,9125000,None,-13390000,-17060000,-41397000,None,None,9274000,None,None,None,None,None,None,None,-9274000,None,378295000,None,-39158000
ANGI,2020-09-30,USD,45388000,None,None,10963000,30115000,26809000,12972000,22483000,None,3473000,-62960000,451313000,None,None,0,None,None,None,None,None,None,None,0,None,433741000,None,2742000
ANGI,2020-06-30,USD,71891000,None,None,15398000,22907000,25533000,11429000,26996000,None,42438000,-11465000,-24526000,None,None,15888000,None,None,None,None,None,None,None,-15888000,None,42438000,None,41894000
ANGI,2020-03-31,USD,55906000,None,None,19905000,12483000,25118000,13236000,21226000,None,-18093000,-12469000,-48337000,None,None,38512000,None,None,None,None,None,None,None,-38512000,None,-4900000,None,-17867000
ANGI,2019-12-31,USD,32077000,None,None,-23619000,14677000,25937000,14003000,12358000,None,-95000,-14003000,-31608000,None,None,22926000,None,None,None,None,None,None,None,-22926000,None,38462000,None,-28407000
ANGI,2019-09-30,USD,79060000,None,None,1912000,-438000,25413000,15688000,4707000,None,18324000,-15672000,-41282000,None,None,None,None,None,None,None,None,None,None,-33979000,None,22106000,None,59314000
ANGI,2019-06-30,USD,7234000,None,None,19925000,12763000,22509000,23936000,22160000,None,7234000,-23992000,-16870000,None,None,None,None,None,None,None,None,None,None,0,None,7234000,None,7234000
ANGI,2019-03-31,USD,9851000,None,None,13316000,38570000,21538000,15177000,39729000,None,9851000,13034000,-31772000,None,None,None,None,-11355000,-11355000,None,None,None,None,573000,None,9851000,None,9851000
ANGI,2018-12-31,USD,36812000,None,None,-17963000,-10416000,20657000,14090000,-4335000,None,36812000,-301000,-11224000,None,None,None,None,None,None,None,None,None,None,1817000,None,36812000,None,36812000
ANGI,2018-09-30,USD,26786000,None,None,10700000,19893000,21711000,11438000,15070000,None,26786000,-46252000,-9454000,None,None,None,None,None,None,None,None,None,None,751000,None,26786000,None,26786000
ANGI,2018-06-30,USD,23023000,None,None,None,None,21664000,12562000,-19301000,None,23023000,-12562000,-22919000,None,None,None,None,None,None,None,None,None,None,-264000,None,23023000,None,23023000
ANGI,2018-03-31,USD,-9114000,None,None,-976000,31398000,22490000,8886000,17650000,None,-9114000,1524000,-5424000,None,None,None,None,None,None,None,None,None,None,1752000,None,-9114000,None,-9114000
ANGI,2017-12-31,USD,-226998000,None,None,None,None,21214000,10559000,None,None,-58231000,-10521000,197233000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-58231000
ANGI,2017-09-30,USD,24867000,None,None,None,None,8379000,6650000,None,None,-72158000,-26599000,15438000,None,None,None,None,None,None,None,None,None,None,1653000,None,None,None,-40214000
ANGI,2017-06-30,USD,22886000,None,None,None,None,4210000,5881000,None,None,-25000,55000,-20285000,None,None,None,None,None,None,None,None,None,None,1653000,None,None,None,-8062000
ANGI,2017-03-31,USD,8100000,None,None,None,None,4001000,3747000,None,None,25887000,-56112000,42951000,None,None,None,None,None,None,None,None,None,None,-15000,None,None,None,1980000
ANGI,2016-12-31,USD,2900000,None,None,None,None,4040000,2674000,None,None,2056000,-32309000,884000,None,None,None,None,None,None,None,None,None,None,1653000,None,None,None,8948000
ANGI,2016-09-30,USD,-15551000,None,None,None,None,3854000,3812000,None,None,4468000,-4072000,-1291000,None,None,None,None,None,None,None,None,None,None,856000,None,None,None,-17598000
ANGI,2016-06-30,USD,5085000,None,None,None,None,3579000,5795000,None,None,5351000,-5998000,136000,None,None,None,None,None,None,None,None,None,None,498000,None,None,None,4797000
ANGI,2016-03-31,USD,9201000,None,None,None,None,1675000,6515000,None,None,-1244000,None,-182000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4004000
