SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ANGO,2020-11-30,USD,11448000,None,None,None,None,4593000,1361000,None,-3281000,-4268000,-1361000,-10000,None,None,None,None,None,None,None,None,None,None,None,None,-4268000,19000,-4268000
ANGO,2020-08-31,USD,-5425000,672000,None,-10087000,-982000,4953000,1824000,2706000,-7247000,-4268000,-1824000,491000,None,None,None,None,None,None,None,None,None,None,None,None,-6506000,252000,-4268000
ANGO,2020-05-31,USD,3880000,None,None,2536000,-2498000,8004000,1479000,-4084000,4809000,-157067000,-1479000,24947000,None,None,None,None,None,None,None,None,25000000,None,1306000,None,27275000,-73000,-157067000
ANGO,2020-02-29,USD,-17837000,None,None,-9169000,11491000,5019000,1742000,1630000,4027000,-5709000,-11742000,15560000,None,None,None,None,None,None,None,None,15000000,None,594000,None,-14087000,-68000,-5709000
ANGO,2019-11-30,USD,5937000,None,None,8799000,9664000,4500000,2623000,2010000,4856000,-2736000,-48583000,0,None,None,None,None,None,None,None,None,None,None,0,None,-42402000,244000,-2736000
ANGO,2019-08-31,USD,-6534000,None,None,-17633000,-5575000,3900000,1391000,-11474000,5153000,-1275000,-1541000,-135749000,None,None,None,None,None,None,None,None,None,None,-1300000,None,-143992000,-168000,-1275000
ANGO,2019-05-31,USD,33830000,None,None,15548000,-1587000,5554000,815000,-676000,-1274000,-13613000,168427000,-7242000,None,None,None,None,None,None,None,None,None,None,8000,None,185937000,-260000,58873000
ANGO,2019-02-28,USD,8417000,None,None,-254000,2857000,5342000,887000,785000,1747000,796000,463000,-10081000,None,None,None,None,None,None,None,None,None,None,1169000,None,-1116000,160000,796000
ANGO,2018-11-30,USD,1765000,None,None,3347000,2683000,5200000,734000,2506000,194000,2140000,-48654000,53899000,None,None,None,None,None,None,None,None,None,None,149000,None,18058000,-146000,2140000
ANGO,2018-08-31,USD,-23119000,None,None,-13429000,2523000,4116000,682000,562000,761000,-469000,-37682000,-2645000,None,None,None,None,None,None,None,None,None,None,705000,None,-49334000,-134000,-469000
ANGO,2018-05-31,USD,16878000,None,None,2704000,-9117000,8802000,744000,-2147000,-7653000,2102000,-744000,-861000,None,None,None,None,None,None,None,None,None,None,389000,None,21804000,-362000,2102000
ANGO,2018-02-28,USD,11512000,None,None,-5338000,1758000,4191000,425000,-598000,2511000,14019000,-1690000,-428000,None,None,None,None,None,None,None,None,None,None,822000,None,2436000,239000,14019000
ANGO,2017-11-30,USD,-563000,None,None,2736000,748000,4146000,721000,804000,-1379000,249000,-721000,-7724000,None,None,None,None,None,None,None,None,None,None,926000,None,1656000,-64000,249000
ANGO,2017-08-31,USD,-669000,None,None,-7195000,-2942000,4096000,501000,-3103000,781000,-35000,-501000,-2538000,None,None,None,None,None,None,None,None,None,None,812000,None,656000,659000,-35000
ANGO,2017-05-31,USD,-5164000,None,None,20619000,-2548000,10414000,743000,-1581000,-3272000,-12874000,-743000,-6567000,None,5700000,None,None,None,None,None,None,None,None,-5288000,None,11973000,None,-12913000
ANGO,2017-02-28,USD,20802000,None,None,-265000,-2081000,4360000,412000,-3855000,1027000,2887000,-412000,-14014000,None,None,None,None,None,None,None,None,None,None,3865000,None,-93000,-32000,2887000
ANGO,2016-11-30,USD,13734000,None,None,1335000,-2113000,4291000,1365000,-221000,-1491000,13734000,-915000,-15605000,None,None,None,None,None,None,None,None,None,None,-4239000,None,-1747000,-174000,13734000
ANGO,2016-08-31,USD,6871000,None,None,-2475000,1096000,4235000,481000,-2822000,3049000,1300000,-481000,-1797000,None,None,None,None,None,None,None,None,None,None,2803000,None,5078000,-84000,1300000
ANGO,2016-05-31,USD,15558000,None,None,1777000,-12111000,12808000,431000,-639000,-10519000,-43101000,-3681000,-4496000,None,None,None,None,None,None,None,None,None,None,2504000,None,10436000,69000,-43075000
ANGO,2016-02-29,USD,16536000,None,None,-2262000,-3873000,4458000,727000,2416000,-4930000,630000,-2745000,-6797000,None,None,None,None,None,None,None,None,None,None,-1297000,None,2901000,49000,630000
