SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
AOSL,2020-12-31,USD,36085000,None,None,None,None,13200000,5744000,1382000,6607000,12540000,-13302000,-593000,None,None,None,None,None,None,None,None,None,None,3197000,None,12540000,None,12540000
AOSL,2020-09-30,USD,9848000,2257000,None,1879000,16210000,559000,6877000,13044000,2172000,8767000,-11337000,-4186000,None,None,None,None,None,None,None,None,None,None,None,None,-12333000,None,8767000
AOSL,2020-06-30,USD,40292000,None,None,None,None,11552000,1459000,4198000,8133000,-1940000,-13194000,21157000,None,0,None,None,None,None,None,None,None,None,1623000,None,47433000,None,-1940000
AOSL,2020-03-31,USD,14312000,1972000,None,627000,-8606000,588000,2254000,-16402000,9804000,-9886000,-16488000,5520000,None,0,0,None,None,None,None,None,None,None,None,None,-3346000,None,-9886000
AOSL,2019-12-31,USD,8938000,None,None,None,None,10850000,9831000,5457000,-967000,-4573000,-15369000,12056000,None,0,None,None,None,None,None,None,None,None,1727000,None,-4573000,None,-4573000
AOSL,2019-09-30,USD,-1227000,1900000,None,4454000,17132000,1093000,8334000,15033000,5823000,-1858000,-15798000,-1082000,None,0,0,None,None,None,None,None,None,None,None,None,-21794000,None,-1858000
AOSL,2019-06-30,USD,8265000,None,None,None,None,7879000,8110000,4115000,3713000,-2235000,-22140000,-2378000,None,0,None,None,None,None,None,None,None,None,1740000,None,40800000,None,-2235000
AOSL,2019-03-31,USD,-7925000,None,None,-12025000,1065000,8010000,10806000,-5448000,4968000,-5955000,-23968000,25437000,None,0,0,None,None,None,None,None,None,None,-223000,None,-8197000,None,-5955000
AOSL,2018-12-31,USD,13094000,None,None,None,None,8279000,4371000,3249000,4913000,-5535000,-16834000,37325000,None,0,None,None,None,None,None,None,None,None,25173000,None,-5535000,None,-5535000
AOSL,2018-09-30,USD,17987000,None,None,18950000,11049000,7870000,57202000,3575000,7867000,-913000,-49493000,14715000,None,1501000,1501000,None,None,None,None,None,None,None,-1396000,None,-18301000,None,-913000
AOSL,2018-06-30,USD,-10777000,None,None,None,None,7601000,1593000,-4828000,-290000,-3025000,-57426000,76996000,None,3082000,None,None,None,None,None,None,None,None,-826000,None,6328000,-2515000,-3025000
AOSL,2018-03-31,USD,-7597000,None,None,-1940000,15032000,7432000,23328000,4644000,4800000,-488000,-61549000,47428000,None,5994000,5994000,None,None,None,None,None,None,None,36501000,None,-21002000,763000,-488000
AOSL,2017-12-31,USD,9604000,None,None,None,None,7408000,19341000,1123000,6486000,5122000,-41143000,-4317000,None,6022000,None,None,None,None,None,None,None,None,-3996000,None,-33956000,1059000,5122000
AOSL,2017-09-30,USD,12250000,None,None,2941000,3027000,6978000,23894000,-3004000,2932000,3339000,-34009000,86846000,None,0,0,None,None,None,None,None,None,None,87173000,None,64457000,182000,3339000
AOSL,2017-06-30,USD,13548000,None,None,None,None,7040000,13535000,-5958000,2905000,2787000,-15437000,1388000,None,0,None,None,None,None,None,None,None,None,1741000,None,-442000,92000,2787000
AOSL,2017-03-31,USD,11031000,None,None,324000,205000,6885000,33360000,-2030000,3110000,2386000,-16684000,-1552000,None,0,0,None,None,None,None,None,None,None,229000,None,-6643000,562000,2386000
AOSL,2016-12-31,USD,8772000,None,None,None,None,6760000,6366000,2577000,221000,1657000,-6470000,2309000,None,0,None,None,None,None,None,None,None,None,2718000,None,4019000,-592000,1657000
AOSL,2016-09-30,USD,9297000,None,None,105000,6600000,6503000,17374000,465000,1170000,2430000,-16994000,38664000,None,0,0,None,None,None,None,None,None,None,39011000,None,31000000,33000,2430000
AOSL,2016-06-30,USD,13821000,None,None,None,None,6598000,8124000,5442000,938000,1817000,-7966000,2998000,None,1000,None,None,None,None,None,None,None,None,3320000,None,8851000,-2000,1817000
AOSL,2016-03-31,USD,1730000,None,None,10683000,15790000,6927000,3007000,5982000,6809000,-1263000,-3122000,-1554000,None,1823000,1823000,None,None,None,None,None,None,None,-545000,None,-2935000,11000,-1263000
