SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
APLS,2020-12-31,USD,141979000,1410000,None,48553000,42763000,267000,711000,None,None,78265000,-91000,6317000,None,None,None,None,None,None,None,0,None,None,-3101000,None,148205000,None,78265000
APLS,2020-09-30,USD,-99824000,10366000,None,14409000,-6822000,190000,3738000,None,None,-135700000,198763000,926000,None,None,None,None,None,None,None,0,None,None,1126000,None,99865000,None,-135700000
APLS,2020-06-30,USD,-94294000,1088000,None,7258000,-4670000,95000,538000,None,None,-118617000,-287807000,281668000,None,None,None,None,None,None,None,-170000,None,None,1706000,None,-114478000,None,-118617000
APLS,2020-03-31,USD,-108349000,4797000,None,-15228000,4135000,85000,435000,None,None,-168822000,-227854000,403267000,None,None,None,None,None,None,None,381593000,None,None,383267000,None,67064000,None,-168822000
APLS,2019-12-31,USD,-82071683,818879,None,21225348,4090862,-146973,155786,None,None,-113217423,-155786,209610,None,None,None,None,None,None,None,-658152,None,None,-3042029,None,-82017859,None,-113217423
APLS,2019-09-30,USD,-53597640,1453298,None,8136914,-1361092,246788,470047,None,None,-69824659,-470047,198949710,None,None,None,None,None,None,None,0,None,None,929710,None,144882023,None,-69824659
APLS,2019-06-30,USD,-39905638,140000,None,14544620,-3422248,46918,192378,None,None,-71090164,-192378,40963913,None,None,None,None,None,None,None,-22740,None,None,1239422,None,-61826667,None,-71090164
APLS,2019-03-31,USD,-35560484,588473,None,4747079,-3803125,144675,875111,None,None,-50574367,-875111,148418251,None,None,None,None,None,None,None,110262000,None,None,110454005,None,111982656,None,-50574367
APLS,2018-12-31,USD,-44478223,477639,None,-668879,8656325,118955,875111,None,None,-36687451,-875111,115657,None,None,None,None,None,None,None,0,None,None,-616099,None,-44334726,None,-36459475
APLS,2018-09-30,USD,-33132448,330416,None,5790131,6115776,126815,875111,None,None,-35826814,-875111,-38434,None,None,None,None,None,None,None,-130997,None,None,-16008,None,-33198722,None,-35972115
APLS,2018-06-30,USD,-33518309,456528,None,2959336,2540331,113228,875111,None,None,-33518309,-875111,131603440,None,None,None,None,None,None,None,None,None,None,131600776,None,100908563,None,-33334300
APLS,2018-03-31,USD,-45620885,551750,None,740901,3250235,208624,None,None,None,-21469618,None,222697,None,None,None,None,None,None,None,None,None,None,225361,None,-22712552,None,-21736304
APLS,2017-12-31,USD,-30828564,None,None,-567728,1998914,11935,None,None,None,-18005289,None,178040485,None,None,None,None,None,None,None,None,None,None,150426719,None,162507681,None,-18255896
