SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ARC,2020-12-31,USD,15463000,None,None,-3930000,-10163000,7662000,1387000,-5104000,-1097000,1283000,-1125000,-10502000,-5000000,815000,815000,None,0,-870000,None,None,None,None,-803000,None,3836000,None,1253000
ARC,2020-09-30,USD,12760000,None,None,-5617000,-6425000,7239000,2472000,-1144000,-1527000,2628000,-2302000,-18921000,-15000000,0,0,None,0,-870000,None,None,None,None,15000,None,-8463000,None,2791000
ARC,2020-06-30,USD,23481000,None,None,-994000,-14683000,471000,1460000,-10161000,-915000,1420000,-1453000,-2105000,0,0,0,None,427000,-427000,None,None,None,None,20000,None,1420000,None,1461000
ARC,2020-03-31,USD,2774000,None,None,-9937000,-2436000,8020000,1121000,1995000,-1027000,462000,-1048000,7543000,15000000,2432000,2432000,None,443000,-443000,None,None,None,None,-2412000,None,9269000,None,683000
ARC,2019-12-31,USD,22987000,None,None,205000,-12660000,7870000,4479000,-6377000,-1549000,822000,-4180000,-10552000,44500000,874000,874000,None,None,None,None,None,None,None,-850000,None,8255000,None,824000
ARC,2019-09-30,USD,10807000,None,None,-5507000,-5960000,7800000,2401000,-1836000,-1011000,1059000,-2360000,-9896000,-3500000,319000,319000,None,None,None,None,None,None,None,-291000,None,-1449000,None,1075000
ARC,2019-06-30,USD,16322000,None,None,765000,-2498000,867000,2809000,-443000,128000,512000,-2674000,-10341000,-3875000,801000,801000,None,None,None,None,None,None,None,-770000,None,512000,None,524000
ARC,2019-03-31,USD,2665000,None,None,-6722000,380000,8373000,3196000,2537000,-359000,447000,-3030000,-9644000,-3875000,66000,66000,None,None,None,None,None,None,None,-16000,None,-10009000,None,592000
ARC,2018-12-31,USD,24902000,None,None,7471000,-5785000,8294000,4467000,-3827000,-1446000,1656000,-4328000,-9739000,-3875000,0,0,None,None,None,None,None,None,None,27000,None,11029000,194000,1612000
ARC,2018-09-30,USD,7097000,None,None,-1690000,3266000,8394000,3746000,1920000,-217000,2587000,-3562000,-9695000,-3875000,0,0,None,None,None,None,None,None,None,28000,None,-6334000,-174000,2559000
ARC,2018-06-30,USD,24944000,None,None,11993000,1824000,985000,3825000,1761000,-550000,4008000,-3833000,-9571000,-3875000,0,0,None,None,None,None,None,None,None,28000,None,10770000,-770000,4074000
ARC,2018-03-31,USD,-1979000,None,None,-9014000,2539000,8197000,2892000,2913000,-524000,476000,-2512000,-9695000,-3875000,60000,60000,None,None,None,None,None,None,None,-16000,None,-14091000,95000,628000
ARC,2017-12-31,USD,15614000,None,None,3026000,-1636000,8346000,1860000,-1752000,689000,-12056000,-1582000,-12720000,-3875000,None,3381000,None,None,None,None,None,None,None,-3328000,None,1696000,384000,-12157000
ARC,2017-09-30,USD,11326000,None,None,-482000,-1441000,8499000,2335000,-554000,142000,-14767000,-2263000,-9465000,42975000,None,0,None,None,None,None,None,None,None,39000,None,-241000,161000,-14774000
ARC,2017-06-30,USD,18488000,None,None,4018000,1025000,8436000,2899000,95000,-1026000,3720000,-2637000,-8979000,825000,None,0,None,None,None,None,None,None,None,33000,None,6935000,63000,3636000
ARC,2017-03-31,USD,6942000,None,None,-3569000,1789000,8348000,2012000,53000,1534000,1748000,-1880000,-10899000,1375000,None,0,None,None,None,None,None,None,None,104000,None,-5570000,267000,1784000
ARC,2016-12-31,USD,19096000,None,None,3865000,-2193000,8097000,4517000,-991000,-1606000,2779000,-4258000,-8461000,950000,None,0,None,None,None,None,None,None,None,46000,None,5599000,-778000,2624000
ARC,2016-09-30,USD,12163000,None,None,-1811000,147000,7968000,2430000,897000,429000,2902000,-2295000,-10600000,0,None,200000,None,None,None,None,None,None,None,-128000,None,-812000,-80000,2841000
ARC,2016-06-30,USD,16580000,None,None,2177000,2386000,8005000,2645000,124000,1199000,-55808000,-2164000,-10436000,0,None,2364000,None,None,None,None,None,None,None,-2314000,None,3659000,-321000,-55904000
ARC,2016-03-31,USD,5303000,None,None,-5374000,2435000,8108000,2505000,1264000,1568000,2628000,-2279000,-10299000,0,None,2733000,None,None,None,None,None,None,None,-2683000,None,-7170000,105000,2574000
