SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ART,2013-03-31,USD,-20879000,None,None,None,None,0,94000,None,0,None,169000,-2428000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-10742000
ART,2012-12-31,USD,23554000,None,None,None,None,0,330000,None,0,None,1034000,-43014000,None,None,None,None,-7077000,-7077000,None,None,None,None,0,None,None,None,-47510000
ART,2012-09-30,USD,8991000,None,None,None,None,0,309000,None,0,None,890000,-40402000,None,None,None,None,-5878000,-5878000,None,None,None,None,0,None,None,None,-45972000
ART,2012-06-30,USD,0,None,None,None,None,0,255000,None,0,None,428000,0,None,None,None,None,-4686000,-4686000,None,None,None,None,0,None,None,None,1535000
ART,2012-03-31,USD,0,None,None,None,None,0,190000,None,0,None,380000,0,None,None,None,None,-3497000,-3497000,None,None,None,None,0,None,None,None,4600000
ART,2011-12-31,USD,60861000,None,None,None,None,0,1654000,None,0,None,0,0,None,None,None,None,-13993000,-13993000,None,None,None,None,0,None,None,None,8258000
ART,2011-09-30,USD,34306000,None,None,None,None,0,1439000,None,0,None,0,0,None,None,None,None,-10510000,-10510000,None,None,None,None,0,None,None,None,6413000
ART,2011-06-30,USD,0,None,None,None,None,0,1109000,None,0,None,0,0,None,None,None,None,-7006000,-7006000,None,None,None,None,0,None,None,None,21150000
ART,2011-03-31,USD,1276000,None,None,None,None,None,739000,None,None,None,None,None,None,None,None,None,-3503000,-3503000,None,None,None,None,None,None,None,None,22032000
ART,2010-12-31,USD,104671000,None,None,None,None,None,1396000,None,None,None,None,None,None,None,None,None,-12396000,-12396000,None,None,None,None,None,None,None,None,25739000
ART,2010-09-30,USD,73956000,None,None,None,None,None,957000,None,None,None,None,None,None,None,None,None,-48971000,-48971000,None,None,None,None,None,None,None,None,19999000
ART,2010-06-30,USD,49252000,None,None,None,None,None,871000,None,None,None,None,None,None,None,None,None,-5339000,-5339000,None,None,None,None,None,None,None,None,18955000
ART,2010-03-31,USD,17865000,None,None,None,None,None,330000,None,None,None,None,None,None,None,None,None,-2669000,-2669000,None,None,None,None,None,None,None,None,18868000
ART,2009-12-31,USD,51707000,None,None,None,None,None,831000,None,None,None,63762000,None,None,None,None,None,-194706000,-194706000,None,None,None,None,None,None,None,None,25710000
ART,2009-09-30,USD,29280000,None,None,None,None,None,841000,None,None,None,63263000,None,None,None,None,None,-14000000,-14000000,None,None,None,None,None,None,None,None,None
ART,2009-06-30,USD,None,None,None,None,None,None,735000,None,None,None,41963000,None,None,None,None,None,-14000000,-14000000,None,None,None,None,None,None,None,None,5355000
ART,2009-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3045000
ART,2008-12-31,USD,100109000,None,None,None,None,None,3485000,None,None,None,None,None,None,None,None,None,-117000000,-117000000,None,None,None,None,None,None,None,None,13249000
ART,2008-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16280000
ART,2008-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20212000
ART,2008-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11410000
