SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ATRS,2020-12-31,USD,7103000,2743000,None,-1913000,1049000,897000,1722000,-294000,-1081000,51386000,-4440000,301000,None,None,None,None,None,None,None,None,None,None,302000,None,2964000,None,51386000
ATRS,2020-09-30,USD,4956000,869000,None,2426000,8731000,598000,5449000,8207000,204000,4996000,551000,1107000,None,None,None,None,None,None,None,None,None,None,1123000,None,6614000,None,4996000
ATRS,2020-06-30,USD,3681000,875000,None,-1506000,2210000,562000,1803000,2878000,2296000,2175000,6697000,-635000,None,None,None,None,None,None,None,None,None,None,118000,None,3142000,None,2175000
ATRS,2020-03-31,USD,5580000,935000,None,5789000,-506000,570000,641000,-3663000,1309000,-2356000,5359000,-326000,None,None,None,None,None,None,None,None,None,None,271000,None,10613000,None,-2356000
ATRS,2019-12-31,USD,-1130000,2353000,None,-3419000,7369000,641000,1076000,1138000,-178000,4695000,-21221000,3677000,None,None,None,None,None,None,None,0,None,None,3731000,None,-18674000,None,4695000
ATRS,2019-09-30,USD,1697000,872000,None,5027000,9132000,578000,170000,9303000,1268000,1043000,-170000,176000,None,None,None,None,None,None,None,0,None,None,190000,None,1703000,None,1043000
ATRS,2019-06-30,USD,15992000,607000,None,-4621000,-4806000,660000,713000,-5145000,1857000,15992000,1787000,14339000,None,None,None,None,None,None,None,-4000,None,None,130000,None,15992000,None,-2226000
ATRS,2019-03-31,USD,12340000,594000,None,4657000,13194000,678000,391000,10799000,2028000,12340000,-391000,7727000,None,None,None,None,None,None,None,7785000,None,None,8135000,None,12340000,None,-5539000
ATRS,2018-12-31,USD,9191000,601000,None,3652000,10168000,916000,328000,3493000,667000,9191000,-328000,7222000,None,None,None,None,None,None,None,None,None,None,7222000,None,9191000,None,6134000
ATRS,2018-09-30,USD,10579000,604000,None,-1072000,1763000,601000,190000,1413000,595000,10579000,-211000,-333000,None,None,None,None,None,None,None,None,None,None,75000,None,10579000,None,-1936000
ATRS,2018-06-30,USD,7202000,None,None,1056000,2156000,603000,275000,1585000,750000,7202000,9466000,258000,None,None,None,None,None,None,None,None,None,None,263000,None,7202000,None,-4520000
ATRS,2018-03-31,USD,5517000,None,None,-449000,940000,604000,61000,608000,655000,5517000,2679000,-102000,None,None,None,None,None,None,None,None,None,None,28000,None,5517000,1000,-6193000
ATRS,2017-12-31,USD,-416347,None,None,-2273133,3445086,583803,288145,1728386,1688586,11211253,6595425,145098,None,None,None,None,None,None,None,None,None,None,145851,None,-871901,-693,-3714000
ATRS,2017-09-30,USD,-10555584,None,None,-659621,1486312,548708,349616,1079277,96829,-4658392,-376238,-220871,None,None,None,None,None,None,None,None,None,None,79945,None,4221384,33,-5452521
ATRS,2017-06-30,USD,-2839944,None,None,-1864546,1520770,477814,101982,1180290,993161,-2839944,-10114325,25967790,None,None,None,None,None,None,None,None,None,None,1209221,None,-2839944,612,-2839944
ATRS,2017-03-31,USD,-9188725,None,None,-1082700,417832,493675,427257,-1189953,1525424,-4735917,-435862,380983,None,None,None,None,None,None,None,None,None,None,380983,None,-9243604,-952,-4735917
ATRS,2016-12-31,USD,-7555218,None,None,-100830,577502,489144,600866,513311,-648215,-4500248,2375766,57486,None,None,None,None,None,None,None,None,None,None,76929,None,10513156,-1382,-4500248
ATRS,2016-09-30,USD,-5513260,None,None,-2458250,-4989384,480150,1723469,-1734070,-735378,-6120983,4211762,24071,None,None,None,None,None,None,None,None,None,None,24071,None,-1277427,-507,-6120983
ATRS,2016-06-30,USD,-6061463,None,None,5120088,4139702,477843,788195,2320565,2188884,-6061463,2205303,-29620,None,None,None,None,None,None,None,None,None,None,None,None,-6061463,701,-6061463
ATRS,2016-03-31,USD,-9180432,None,None,1803078,312958,413545,1766979,37737,-454348,-7656110,1200504,-34476,None,None,None,None,None,None,None,None,None,None,None,None,-8014404,1246,-7656110
