SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
AZRX,2020-09-30,USD,-2696824,1307,None,557769,246566,140075,None,611384,None,-5313906,0,13060131,-112609,None,None,None,None,None,None,0,0,None,13317088,None,10383730,20423,-5313906
AZRX,2020-06-30,USD,-1343453,None,None,None,None,140595,1532,448374,None,-4695878,1532,677341,None,None,None,None,None,None,None,844348,None,None,844348,None,-4687170,19523,-4695878
AZRX,2020-03-31,USD,-1291280,None,None,-832955,2152158,140810,4340,2064252,None,-5261290,-4340,2756254,-164748,None,None,None,None,None,None,144000,3227002,None,144000,None,1454211,-6423,-5261290
AZRX,2019-12-31,USD,-3225985,None,None,-1553978,-989877,143722,6855,-487878,None,-1281623,-6855,1846405,444364,None,None,None,None,None,None,None,2967308,None,-15267,None,-1374029,12406,-1281623
AZRX,2019-09-30,USD,-4153740,None,None,-173486,38717,149107,3906,-68829,None,-4192472,-3906,4403346,-64714,None,None,None,None,None,None,None,None,None,4468060,None,239138,-6562,-4192472
AZRX,2019-06-30,USD,-4025980,None,None,425397,96142,148814,15,-43644,None,-5042837,15,4928086,-95870,None,None,None,None,None,None,None,None,None,5023956,None,-5025910,-5292,-5042837
AZRX,2019-03-31,USD,-2627797,None,None,514950,23378,578403,13352,-149508,None,-4660755,-13352,1967142,-94448,None,None,None,None,None,None,None,None,None,61590,None,-700485,-26478,-4660755
AZRX,2018-12-31,USD,-3340684,None,None,1313240,-2528418,193657,257114,-2053851,None,-3917962,-257114,255032,255032,None,None,None,None,None,None,None,None,None,11902810,None,-3313297,29469,-4019808
AZRX,2018-09-30,USD,-2666315,None,None,-607605,-53752,196870,7318,-127428,None,-2571635,-7318,-313242,-26836,None,None,None,None,None,None,None,None,None,123,None,-2992785,-5910,-2571635
AZRX,2018-06-30,USD,-2648054,None,None,-387534,-44566,201475,11520,-127501,None,-3309177,-11520,9524637,-53303,None,None,None,None,None,None,None,None,None,9577940,None,-3293520,-19112,-3309177
AZRX,2018-03-31,USD,-2214267,None,None,423523,180502,206444,29521,120877,None,-3632997,-29521,2245701,-79041,None,None,None,None,None,None,None,None,None,2324742,None,1003,-910,-3632997
AZRX,2017-12-31,USD,-2469134,None,None,-349379,-1061148,197413,32000,-858069,None,-2481012,-215,159180,159180,None,None,None,None,None,None,None,None,None,None,None,-2372781,-62612,-2481012
AZRX,2017-09-30,USD,-1293064,None,None,499469,949526,177604,10710,790762,None,-3134223,-10710,337990,-26010,None,None,None,None,None,None,None,None,None,364000,None,-882336,83448,-3134223
AZRX,2017-06-30,USD,-2257010,None,None,-755205,87074,184014,20658,103005,None,-2671782,-20658,5593380,-51845,None,None,None,None,None,None,None,None,None,4645225,None,-2659255,-19055,-2671782
AZRX,2017-03-31,USD,-1165430,None,None,371338,-9880,176785,585,-32260,None,-2809366,-585,-77332,-77332,None,None,None,None,None,None,None,None,None,None,None,-1241594,1753,-2809366
AZRX,2016-12-31,USD,-2016909,None,None,-155098,-377784,179079,12000,-776629,None,-5631523,785,3652294,-9142342,None,None,None,None,None,None,None,None,None,None,None,1645023,8853,-5631523
