SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
BBG,2017-12-31,USD,26607000,30182000,None,-1006000,10194000,40555000,79501000,9326000,None,-77821000,22757000,109217000,-115000,None,None,None,None,None,None,111008000,None,None,111008000,None,158581000,None,-77821000
BBG,2017-09-30,USD,57184000,137000,None,4207000,11282000,41732000,56619000,11679000,None,-28842000,-56716000,-148000,-115000,None,None,None,None,None,None,0,None,None,0,None,320000,None,-28842000
BBG,2017-06-30,USD,101000,30546000,None,-5938000,1490000,39337000,46463000,1160000,None,-18447000,-58303000,-52120000,-47001000,None,None,None,None,None,None,-74000,None,None,-74000,None,-110322000,None,-18447000
BBG,2017-03-31,USD,38098000,430000,None,11997000,-2540000,38340000,57974000,-3587000,None,-13115000,-46749000,-1303000,-112000,None,None,None,None,None,None,-224000,None,None,-224000,None,-9954000,None,-13115000
BBG,2016-12-31,USD,5529000,26457000,None,3091000,1610000,46150000,13177000,2928000,None,-49277000,-13821000,109870000,-111000,None,None,None,None,None,None,None,None,None,110003000,None,101578000,None,-49277000
BBG,2016-09-30,USD,67428000,449000,None,-1126000,-3942000,43083000,7217000,-4008000,None,-26186000,19579000,-167000,-111000,None,None,None,None,None,None,None,None,None,110003000,None,86840000,None,-26186000
BBG,2016-06-30,USD,8264000,30807000,None,-5718000,3180000,40392000,25628000,2869000,None,-48419000,-25615000,-789000,-109000,None,None,None,None,None,None,None,None,None,110003000,None,-18140000,None,-48419000
BBG,2016-03-31,USD,40515000,480000,None,-3924000,-11822000,42016000,62043000,-12413000,None,-46496000,-63281000,-507000,-109000,None,None,None,None,None,None,None,None,None,None,None,-23273000,None,-46496000
BBG,2015-12-31,USD,27777000,29724000,None,-9698000,-1173000,45609000,68662000,-601000,None,-21145000,7843000,380000,-108000,None,None,None,None,None,None,None,None,None,None,None,36000000,None,-21145000
BBG,2015-09-30,USD,74760000,484000,None,3105000,-4163000,54738000,62094000,-3285000,None,-410314000,-16995000,-811000,-107000,None,None,None,None,None,None,None,None,None,None,None,56954000,None,-410314000
BBG,2015-06-30,USD,37316000,29734000,None,-6366000,-8270000,52674000,83383000,-8045000,None,-44581000,-33280000,-1926000,-105000,None,None,None,None,None,None,None,None,None,None,None,2110000,None,-44581000
BBG,2015-03-31,USD,53825000,1105000,None,-7624000,-7700000,52254000,111618000,-9064000,None,-11731000,-160086000,-25871000,-24871000,None,None,None,None,None,None,None,None,None,None,None,-132132000,None,-11731000
BBG,2014-12-31,USD,30415000,29668000,None,-7043000,-23867000,46379000,156513000,-23138000,None,89065000,-158964000,-325000,-104000,None,None,None,None,None,None,None,None,None,None,None,-128874000,None,89065000
BBG,2014-09-30,USD,103884000,3094000,None,-19416000,-3172000,69024000,162887000,-3326000,None,-34649000,386685000,-251570000,-251157000,None,None,None,None,None,None,None,None,None,None,None,238999000,None,-34649000
BBG,2014-06-30,USD,52224000,31009000,None,2970000,-829000,64894000,135989000,-169000,None,-26586000,-127426000,68749000,68852000,None,None,None,None,None,None,None,None,None,None,None,-6453000,None,-26586000
BBG,2014-03-31,USD,75194000,2164000,None,-426000,-5938000,55508000,129212000,-5530000,None,-12749000,-129600000,62043000,63863000,None,None,None,None,None,None,None,None,None,None,None,7637000,None,-12749000
BBG,2013-12-31,USD,68963000,31150000,None,-12488000,-1870000,64983000,110630000,-1951000,None,-7199000,199290000,-274188000,-277297000,None,None,None,None,None,None,None,None,None,None,None,-5935000,None,-7199000
BBG,2013-09-30,USD,73273000,16087000,None,7973000,4273000,72047000,119264000,4163000,None,-166656000,-122566000,46948000,45376000,None,None,None,None,None,None,None,None,None,None,None,-2345000,None,-166656000
BBG,2013-06-30,USD,56103000,31203000,None,-4623000,1962000,74307000,102070000,2729000,None,14273000,-104408000,52658000,52740000,None,None,None,None,None,None,None,None,None,None,None,4353000,None,14273000
BBG,2013-03-31,USD,66926000,14506000,None,-3671000,-20053000,68438000,115769000,-19235000,None,-33151000,-109345000,21496000,22759000,None,None,None,None,None,None,None,None,None,None,None,-20923000,None,-33151000
