SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
BCC,2020-12-31,USD,745000,4986000,None,-90493000,-5444000,19909000,32435000,-46089000,49153000,26001000,-32285000,-67013000,None,None,None,None,66642000,66642000,None,None,0,None,None,None,-98553000,None,26001000
BCC,2020-09-30,USD,175495000,25068000,None,126935000,77313000,20029000,18145000,76463000,-1802000,103192000,-17988000,-15008000,None,None,None,None,3991000,3991000,None,None,400000000,None,None,None,142499000,None,103192000
BCC,2020-06-30,USD,160743000,4954000,None,50603000,-55060000,19899000,10286000,21303000,-80147000,33586000,-9983000,-4316000,None,None,None,None,3917000,3917000,None,None,None,None,None,None,53999000,None,33586000
BCC,2020-03-31,USD,-42467000,15240000,None,53518000,150479000,35332000,18563000,108229000,39045000,12200000,-18460000,-9318000,None,None,None,None,4645000,4645000,None,None,None,None,None,None,-70245000,None,12200000
BCC,2019-12-31,USD,50897000,9253000,None,-60640000,-78347000,20501000,29471000,-79971000,5008000,14647000,-29277000,-42826000,None,None,None,None,42884000,42884000,None,None,None,None,None,None,-21206000,None,14647000
BCC,2019-09-30,USD,127898000,15465000,None,23149000,-49283000,20969000,20425000,-16166000,-31860000,27171000,-20177000,-3685000,None,None,None,None,3508000,3508000,None,None,None,None,None,None,104036000,None,27171000
BCC,2019-06-30,USD,45100000,1158000,None,19527000,-31546000,19454000,18477000,18371000,-52807000,45100000,-33906000,-3509000,None,None,None,None,3509000,3509000,None,None,None,None,None,None,41591000,None,45100000
BCC,2019-03-31,USD,21700000,15031000,None,42563000,116972000,19217000,14347000,75606000,39483000,21700000,-10705000,-4053000,None,None,None,None,4053000,4053000,None,None,None,None,None,None,17647000,None,21700000
BCC,2018-12-31,USD,-84300000,5915000,None,-108912000,-127941000,76549000,32282000,-101822000,-23883000,-84300000,-24855000,-3502000,None,None,None,None,3502000,3502000,None,None,None,None,-4930000,None,-87802000,None,-84300000
BCC,2018-09-30,USD,30500000,31624000,None,-62889000,-49410000,23881000,19378000,-46807000,-978000,30500000,-18819000,-41632000,None,None,None,None,41632000,41632000,None,None,None,None,470000,None,-11132000,None,30500000
BCC,2018-06-30,USD,74100000,1425000,None,83762000,49229000,24296000,15055000,19816000,27001000,74100000,-32404000,-2723000,None,None,None,None,2723000,2723000,None,None,None,None,478000,None,71377000,None,74100000
BCC,2018-03-31,USD,51800000,11217000,None,69322000,155251000,22111000,13272000,91252000,62050000,51800000,-13179000,-2758000,None,None,None,None,2758000,2758000,None,None,None,None,464000,None,49042000,None,51800000
BCC,2017-12-31,USD,-76424000,1527000,None,-65318000,-53561000,21748000,27390000,-68868000,16809000,19122000,-27241000,-2235000,None,None,None,None,-2701000,2701000,None,None,None,None,531000,None,4955000,None,19122000
BCC,2017-09-30,USD,171673000,11121000,None,-2821000,-29553000,19686000,18509000,2865000,-30847000,31661000,-18260000,74000,None,None,None,None,None,None,None,None,None,None,591000,None,67472000,None,31661000
BCC,2017-06-30,USD,41755000,1615000,None,52670000,27698000,19601000,12549000,17269000,8345000,22154000,-11361000,-59000,None,None,None,None,None,None,None,None,None,None,None,None,61144000,None,22154000
BCC,2017-03-31,USD,-83972000,11430000,None,69301000,141303000,19344000,17002000,90512000,48915000,10020000,-16350000,-2973000,None,None,None,None,None,None,None,None,None,None,None,None,-60409000,None,10020000
BCC,2016-12-31,USD,87122000,5306000,None,-63900000,-85026000,19598000,28157000,-61676000,-17605000,4095000,-28059000,-37800000,None,None,None,None,-2701000,-2701000,None,None,None,None,-12900000,None,-27206000,None,4095000
BCC,2016-09-30,USD,121650000,5560000,None,837000,-22234000,19459000,20325000,-14143000,-10942000,9981000,-20034000,-12107000,None,None,None,None,None,None,None,None,None,None,None,None,35095000,None,9981000
BCC,2016-06-30,USD,39953000,11038000,None,18585000,21817000,18552000,19640000,-1371000,20938000,19228000,-19826000,-10109000,None,None,None,None,None,None,None,None,None,None,None,None,14902000,None,19228000
BCC,2016-03-31,USD,-322000,2940000,None,96514000,118932000,15238000,15461000,78308000,38366000,4950000,-230920000,126430000,None,None,None,None,None,None,None,None,None,None,2632000,None,-103309000,None,4950000
