SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
BWP,2020-03-31,USD,148400000,None,None,None,None,87700000,100800000,None,None,None,None,-20200000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,91000000
BWP,2019-12-31,USD,126200000,None,None,None,None,87600000,153000000,None,None,None,None,10300000,None,None,None,None,-25500000,-25500000,None,None,None,None,None,None,None,None,-226300000
BWP,2019-09-30,USD,158500000,None,None,None,None,86700000,96300000,None,None,None,None,-115800000,None,None,None,None,-25600000,-25600000,None,None,None,None,None,None,None,None,42500000
BWP,2019-06-30,USD,210900000,None,None,None,None,86000000,105700000,None,None,None,None,-52300000,None,None,None,None,-25500000,-25500000,None,None,None,None,None,None,None,None,75700000
BWP,2019-03-31,USD,166400000,None,None,None,None,85800000,74000000,None,None,None,None,-80800000,None,None,None,None,-25600000,-25600000,None,None,None,None,None,None,None,None,108100000
BWP,2018-06-30,USD,153600000,None,None,None,None,88200000,118000000,2500000,None,None,-117900000,-60600000,None,None,None,None,25500000,25500000,None,None,None,None,None,None,-24900000,None,42200000
BWP,2018-03-31,USD,151900000,None,None,None,None,82900000,110900000,4800000,None,None,-110400000,-25700000,None,None,None,None,25600000,25600000,None,None,None,None,None,None,15800000,None,97200000
BWP,2017-12-31,USD,133800000,None,None,None,None,81400000,212400000,-25100000,None,None,-212300000,73500000,None,None,None,None,-178900000,-178900000,None,None,None,None,None,None,-5000000,None,84200000
BWP,2017-09-30,USD,155300000,None,None,None,None,80600000,193200000,4600000,None,None,-194300000,-15700000,None,None,None,None,25600000,25600000,None,None,None,None,None,None,-54700000,None,69800000
BWP,2017-06-30,USD,178600000,None,None,None,None,80200000,169300000,21100000,None,None,-104500000,-25500000,None,None,None,None,25500000,25500000,None,None,None,None,None,None,48600000,None,23700000
BWP,2017-03-31,USD,169300000,None,None,None,None,81300000,133500000,5500000,None,None,-133500000,-11700000,None,None,None,None,25600000,25600000,None,None,None,None,None,None,24100000,None,119300000
BWP,2016-12-31,USD,146600000,None,None,None,None,76900000,158000000,-20400000,None,None,-158000000,-95400000,None,None,None,None,25500000,25500000,None,None,None,None,None,None,-106800000,None,88200000
BWP,2016-09-30,USD,149500000,None,None,None,None,82100000,173400000,-7600000,None,None,-173300000,-26600000,None,None,None,None,25600000,25600000,None,None,None,None,None,None,-50400000,None,47300000
BWP,2016-06-30,USD,182400000,None,None,None,None,80600000,153400000,11400000,0,None,-153400000,112900000,None,None,None,None,25600000,25600000,None,None,None,None,0,None,152500000,None,65700000
BWP,2016-03-31,USD,122300000,None,None,None,None,80300000,105600000,6200000,0,None,-105500000,-10600000,None,None,None,None,25500000,25500000,None,None,None,None,0,None,6200000,None,101000000
BWP,2015-12-31,USD,146200000,None,None,None,None,82700000,615600000,-25800000,None,None,-132900000,-15600000,None,None,None,None,25500000,25500000,None,None,None,None,None,None,-2300000,None,65600000
BWP,2015-09-30,USD,144700000,None,None,None,None,80900000,104800000,1900000,0,None,-98400000,-60200000,None,None,None,None,25600000,25600000,None,None,None,None,0,None,-13900000,None,38300000
BWP,2015-06-30,USD,138700000,None,None,None,None,84500000,74100000,5500000,0,None,-74000000,-74200000,None,None,None,None,25600000,25600000,None,None,None,None,29900000,None,-9500000,None,40400000
BWP,2015-03-31,USD,146800000,None,None,None,None,83300000,62200000,-200000,0,None,-62200000,-62400000,None,None,None,None,24800000,24800000,None,None,None,None,83200000,None,22200000,None,77700000
BWP,2014-12-31,USD,101100000,None,None,None,None,79100000,88500000,-16300000,None,None,-353300000,252600000,None,None,None,None,-25200000,-25200000,None,None,None,None,None,None,400000,None,36800000
BWP,2014-09-30,USD,104400000,None,None,None,None,73600000,478600000,5500000,0,None,-182700000,35100000,None,None,None,None,-131500000,-131500000,None,None,None,None,400000,None,-37100000,None,29200000
