SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
CASA,2020-12-31,USD,1998000,4354000,None,4272000,31211000,4310000,1051000,27887000,3157000,23194000,-1483000,-536000,None,0,0,None,-22000,-22000,None,None,None,None,238000,None,1266000,1287000,23194000
CASA,2020-09-30,USD,7708000,4141000,None,23822000,24089000,4405000,1385000,12840000,12834000,3473000,-1385000,-381000,None,0,0,None,-39000,-39000,None,None,None,None,543000,None,7045000,1103000,3473000
CASA,2020-06-30,USD,17867000,3008000,None,15382000,1650000,4487000,2327000,-2356000,5656000,-3028000,-2327000,-1235000,None,33000,None,None,-446000,-446000,None,None,None,None,69000,None,-3028000,68000,-3028000
CASA,2020-03-31,USD,26069000,4383000,None,-25971000,-49663000,4768000,390000,-38021000,-11873000,1162000,-390000,-4151000,None,2998000,2998000,None,-176000,-176000,None,None,None,None,-2686000,None,21120000,-408000,1162000
CASA,2019-12-31,USD,-5952000,5708000,None,6221000,29675000,4819000,1866000,31652000,-4151000,-25660000,-1866000,-2629000,None,None,None,None,-215000,-215000,None,None,None,None,-1586000,None,-9925000,522000,-25660000
CASA,2019-09-30,USD,-1950000,5115000,None,1123000,-7310000,5018000,2961000,-9308000,2352000,-8498000,-112392000,-4316000,None,None,None,None,-285000,-285000,None,None,None,None,310000,None,-119608000,-950000,-8498000
CASA,2019-06-30,USD,-17271000,7031000,None,-14306000,7291000,2489000,1929000,1064000,6089000,1291000,-1929000,-1487000,None,None,None,None,-1329000,-1329000,None,None,None,None,670000,None,3780000,-559000,1291000
CASA,2019-03-31,USD,-13849000,5365000,None,-6085000,-6582000,2396000,1835000,-25289000,16986000,-15339000,-1835000,-1095000,None,None,None,None,-761000,-761000,None,None,None,None,1498000,None,-16170000,609000,-15339000
CASA,2018-12-31,USD,4443000,7923000,None,-3095000,11288000,2417000,1742000,3346000,7707000,14916000,-1742000,-30389000,None,None,None,None,-853000,-853000,None,None,None,None,-28708000,None,-27756000,-68000,14916000
CASA,2018-09-30,USD,11734000,5305000,None,7429000,16023000,2369000,1723000,9203000,6423000,18897000,-1723000,-43635000,None,None,None,None,-853000,-853000,None,None,None,None,-41811000,None,-34569000,-945000,18897000
CASA,2018-06-30,USD,31225000,None,None,None,None,2366000,1962000,18795000,4634000,21417000,-1962000,9041000,None,None,None,None,-986000,-986000,None,None,None,None,9300000,None,36836000,-1468000,21417000
