SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
CCG,2015-09-30,USD,15813000,None,None,None,None,None,668000,None,3406000,None,None,29892000,None,None,None,None,-8880000,-8880000,None,None,None,None,None,None,None,None,None
CCG,2015-06-30,USD,6186000,None,None,None,None,None,174000,None,2788000,None,None,34202000,None,None,None,None,-8880000,-8880000,None,None,None,None,None,None,None,None,None
CCG,2015-03-31,USD,12529000,None,None,None,None,None,647000,None,2788000,None,None,42983000,None,None,None,None,-8880000,-8880000,None,None,None,None,None,None,None,None,12840000
CCG,2014-12-31,USD,66322000,None,None,None,None,None,6126000,None,38797000,None,None,130164000,None,None,None,None,-54865000,-54865000,None,None,None,None,None,None,None,None,None
CCG,2014-09-30,USD,32189000,None,None,None,None,None,4330000,None,17762000,None,None,107878000,None,None,None,None,-41321000,-41321000,None,None,None,None,None,None,None,None,None
CCG,2014-06-30,USD,23418000,None,None,None,None,None,3350000,None,18710000,None,None,66004000,None,None,None,None,-27437000,-27437000,None,None,None,None,None,None,None,None,None
CCG,2014-03-31,USD,2284000,None,None,None,None,None,1912000,None,1730000,None,None,44253000,None,None,None,None,-13693000,-13693000,None,None,None,None,None,None,None,None,1063000
CCG,2013-12-31,USD,14388000,None,None,None,None,None,15036000,None,None,None,None,501369000,None,None,None,None,-42689000,-42689000,None,None,None,None,None,None,None,None,None
CCG,2013-09-30,USD,32384000,None,None,None,None,None,0,None,None,None,None,452202000,None,None,None,None,-39849000,-39849000,None,None,None,None,None,None,None,None,4827000
CCG,2013-06-30,USD,16917000,None,None,None,None,None,0,None,None,None,None,400355000,None,None,None,None,-19095000,-19095000,None,None,None,None,None,None,None,None,3926000
CCG,2013-03-31,USD,3467000,None,None,None,None,None,0,None,None,None,None,327063000,None,None,None,None,-7317000,-7317000,None,None,None,None,None,None,None,None,2156000
CCG,2012-12-31,USD,29470000,None,None,None,None,None,1855000,None,None,None,None,98818000,None,None,None,None,-24184000,-24184000,None,None,None,None,None,None,None,None,2260000
CCG,2012-09-30,USD,22942000,None,None,None,None,None,980000,None,None,None,None,89490000,None,None,None,None,-16864000,-16864000,None,None,None,None,None,None,None,None,8989000
CCG,2012-06-30,USD,11589000,None,None,None,None,None,450000,None,None,None,None,56575000,None,None,None,None,-10741000,-10741000,None,None,None,None,None,None,None,None,474000
CCG,2012-03-31,USD,6283000,None,None,None,None,None,118000,None,None,None,None,15737000,None,None,None,None,-4913000,-4913000,None,None,None,None,None,None,None,None,None
CCG,2011-12-31,USD,22770000,None,None,None,None,None,375000,None,None,None,None,112554000,None,None,None,None,-18636000,-18636000,None,None,None,None,None,None,None,None,4432000
CCG,2011-09-30,USD,21804000,None,None,None,None,None,176000,None,None,None,None,71452000,None,None,None,None,-13719000,-13719000,None,None,None,None,None,None,None,None,408000
CCG,2011-06-30,USD,11399000,None,None,None,None,None,28000,None,None,None,None,34104000,None,None,None,None,-8808000,-8808000,None,None,None,None,None,None,None,None,None
CCG,2011-03-31,USD,1582000,None,None,None,None,None,4000,None,None,None,None,10126000,None,None,None,None,-3900000,-3900000,None,None,None,None,None,None,None,None,None
CCG,2010-12-31,USD,None,None,None,None,None,None,61000,None,1083000,None,None,66279000,None,None,None,None,-6383000,-6383000,None,None,None,None,None,None,None,None,None
CCG,2010-09-30,USD,2521000,None,None,None,None,None,0,None,162000,None,None,2219000,None,None,None,None,-1714000,-1714000,None,None,None,None,None,None,None,None,None
