SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
CHSP,2019-06-30,USD,36121000,None,None,None,None,18912000,0,None,None,None,-7215000,-27264000,None,None,None,None,-23875000,-23875000,None,None,None,None,None,None,None,None,18241000
CHSP,2019-03-31,USD,15889000,None,None,None,None,18767000,0,None,None,None,-8961000,-29456000,None,None,None,None,-25098000,-25098000,None,None,None,None,None,None,None,None,8251000
CHSP,2018-12-31,USD,46470000,None,None,None,None,18781000,0,None,None,None,-11832000,-30572000,None,None,None,None,-23778000,-23778000,None,None,None,None,None,None,None,None,13228000
CHSP,2018-09-30,USD,52539000,None,None,None,None,18751000,0,None,0,None,78661000,-101841000,None,None,None,None,-23778000,-23778000,None,None,None,None,0,None,None,None,53379000
CHSP,2018-06-30,USD,39800000,None,None,None,None,19235000,0,None,0,None,-8741000,-23581000,None,None,None,None,-23772000,-23772000,None,None,None,None,0,None,None,None,23810000
CHSP,2018-03-31,USD,20398000,None,None,None,None,19338000,0,None,0,None,-10165000,-23179000,None,None,None,None,-23741000,-23741000,None,None,None,None,0,None,None,None,6549000
CHSP,2017-12-31,USD,143535000,None,None,None,None,76750000,0,None,0,None,-3534000,-138747000,None,None,None,None,-103229000,-103229000,None,None,None,None,0,None,None,None,27602000
CHSP,2017-09-30,USD,107259000,None,None,None,None,0,0,None,0,None,-39992000,-66759000,None,None,None,None,-79488000,-79488000,None,None,None,None,0,None,None,None,18953000
CHSP,2017-06-30,USD,63287000,None,None,None,None,0,0,None,0,None,-24040000,-22367000,None,None,None,None,-53271000,-53271000,None,None,None,None,0,None,None,None,21661000
CHSP,2017-03-31,USD,23695000,None,None,None,None,0,0,None,0,None,-14430000,-11365000,None,None,None,None,-27115000,-27115000,None,None,None,None,0,None,None,None,8019000
CHSP,2016-12-31,USD,159570000,None,None,None,None,75181000,0,None,0,None,-25754000,-141300000,None,None,None,None,-104168000,-104168000,None,None,None,None,0,None,None,None,12147000
CHSP,2016-09-30,USD,122013000,None,None,None,None,0,0,None,0,None,-16344000,-99304000,None,None,None,None,-78108000,-78108000,None,None,None,None,0,None,None,None,25947000
CHSP,2016-06-30,USD,72181000,None,None,None,None,0,0,None,0,None,-11059000,-56154000,None,None,None,None,-52049000,-52049000,None,None,None,None,0,None,None,None,28542000
CHSP,2016-03-31,USD,25069000,None,None,None,None,0,0,None,0,None,-6618000,-22040000,None,None,None,None,-25997000,-25997000,None,None,None,None,0,None,None,None,10070000
CHSP,2015-12-31,USD,151713000,None,None,None,None,70263000,0,None,0,None,-289005000,158510000,None,None,None,None,-90799000,-90799000,None,None,None,None,153962000,None,None,None,14731000
CHSP,2015-09-30,USD,108638000,None,None,None,None,0,0,None,0,None,-284454000,192225000,None,None,None,None,-64802000,-64802000,None,None,None,None,153962000,None,None,None,27180000
CHSP,2015-06-30,USD,55494000,None,None,None,None,0,0,None,0,None,-274769000,237863000,None,None,None,None,-41750000,-41750000,None,None,None,None,153962000,None,None,None,24045000
CHSP,2015-03-31,USD,6504000,None,None,None,None,0,0,None,0,None,-170028000,163480000,None,None,None,None,-18703000,-18703000,None,None,None,None,153962000,None,None,None,1552000
CHSP,2014-12-31,USD,119634000,None,None,None,None,52087000,0,None,0,None,-209816000,90795000,None,None,None,None,-68580000,-68580000,None,None,None,None,144320000,None,None,None,8839000
CHSP,2014-09-30,USD,85694000,None,None,None,None,0,0,None,0,None,-83389000,149477000,None,None,None,None,-49721000,-49721000,None,None,None,None,144320000,None,None,None,28688000
CHSP,2014-06-30,USD,46875000,None,None,None,None,0,0,None,0,None,-45509000,9968000,None,None,None,None,-32475000,-32475000,None,None,None,None,0,None,None,None,21249000
