SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
CPSI,2020-12-31,USD,16161000,1157000,None,2148000,-2297000,3353000,95000,-3845000,-206000,3123000,-1067000,-14200000,-12000000,None,None,None,-1000,1000,None,None,-3000,None,-1261000,None,894000,None,3124000
CPSI,2020-09-30,USD,8143000,1976000,None,-1562000,1764000,3381000,213000,2493000,-317000,5269000,-1085000,-13949000,-11561000,None,None,None,1452000,-1452000,None,None,2000,None,None,None,-6891000,None,5268000
CPSI,2020-06-30,USD,17244000,800000,None,2692000,-7435000,2866000,908000,-8776000,243000,1764000,-1471000,-1385000,0,None,None,None,1451000,-1451000,None,None,None,None,None,None,964000,None,1764000
CPSI,2020-03-31,USD,7594000,1493000,None,-3219000,1109000,3372000,2120000,92000,-62000,4090000,-3041000,-7630000,-4000000,None,None,None,1435000,-1435000,None,None,None,None,None,None,-3077000,None,4090000
CPSI,2019-12-31,USD,18088000,2939000,None,4687000,-365000,3276000,90000,-368000,-46000,11227000,-90000,-14630000,-11000000,None,None,None,1436000,-1436000,None,None,None,None,3000,None,3368000,None,11226000
CPSI,2019-09-30,USD,26483000,1615000,None,93000,1069000,3540000,648000,657000,-397000,10211000,-541000,-10372000,-7393000,None,None,None,1435000,-1435000,None,None,None,None,3000,None,-774000,None,4135000
CPSI,2019-06-30,USD,3616000,2999000,None,-2850000,-3991000,2516000,549000,-3956000,120000,3616000,-11389000,4256000,None,None,None,None,1436000,-1436000,None,None,None,None,None,None,3616000,None,1663000
CPSI,2019-03-31,USD,6048000,1289000,None,-2027000,996000,2970000,473000,-27000,251000,6048000,-473000,-8738000,None,None,None,None,1422000,-1422000,None,None,None,None,None,None,6048000,None,3444000
CPSI,2018-12-31,USD,9648000,1862000,None,-1731000,2926000,3057000,160000,3222000,300000,9648000,-160000,-8360000,None,None,None,None,1409000,-1409000,None,None,None,None,None,None,9648000,None,7588000
CPSI,2018-09-30,USD,5361000,1737000,None,-289000,3199000,3127000,401000,4027000,-281000,5361000,-401000,-2950000,None,None,None,None,1408000,-1408000,None,None,None,None,None,None,5361000,None,5749000
CPSI,2018-06-30,USD,2225000,1698000,None,-2417000,874000,2601000,357000,686000,121000,2225000,-357000,-4571000,None,None,None,None,1409000,-1409000,None,None,None,None,None,None,2225000,None,328000
CPSI,2018-03-31,USD,7648000,1841000,None,-1517000,5904000,3217000,60000,5436000,-59000,7648000,-60000,-1858000,None,None,None,None,1394000,-1394000,None,None,None,None,None,None,7648000,None,3967000
CPSI,2017-12-31,USD,5326000,1802000,None,3613000,12326000,3228000,262000,12369000,288000,-21537000,-262000,-5498000,None,None,None,None,1375000,-1375000,None,None,None,None,None,None,-434000,None,-21537000
CPSI,2017-09-30,USD,2426000,1796000,None,-1878000,4933000,3309000,-1000,5532000,54000,2288000,1000,-3214000,None,None,None,None,4126000,-4126000,None,None,None,None,None,None,-787000,None,2288000
CPSI,2017-06-30,USD,6204000,1743000,None,5374000,7024000,2601000,465000,6306000,-142000,1587000,-465000,-5886000,None,None,None,None,2751000,-2751000,None,None,None,None,1000,None,-147000,None,1587000
CPSI,2017-03-31,USD,9687000,1612000,None,3983000,622000,3501000,None,948000,-480000,246000,None,-10019000,None,None,None,None,3384000,-3384000,None,None,None,None,None,None,-332000,None,246000
CPSI,2016-12-31,USD,4678000,1710000,None,-2131000,1263000,3414000,39000,2225000,17000,2001000,-151789000,-6114000,None,None,None,None,3247000,-3247000,None,None,None,None,None,None,-1436000,None,2001000
CPSI,2016-09-30,USD,5909000,1352000,None,-6299000,-3557000,3454000,39000,-2950000,-41000,1599000,-151789000,-6077000,None,None,None,None,4601000,-4601000,None,None,None,None,None,None,-168000,None,1599000
CPSI,2016-06-30,USD,-9316000,2037000,None,-15809000,1655000,2624000,7000,1258000,567000,1996000,712000,734000,None,None,None,None,8657000,-8657000,None,None,None,None,37000,None,-7870000,None,1996000
CPSI,2016-03-31,USD,834000,987000,None,-1981000,1251000,3365000,32000,1880000,-557000,-1663000,-152501000,138410000,None,None,None,None,8587000,-8587000,None,None,None,None,1097000,None,-13257000,None,-1663000
