SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
CRL,2020-12-31,USD,804460000,80783000,None,54073000,38495000,60876000,87854000,34171000,4324000,144190000,-88423000,-59229000,None,74000,74000,None,None,None,None,None,819034000,None,2706000,None,656808000,None,143191000
CRL,2020-09-30,USD,177300000,8133000,None,35967000,44239000,59580000,78706000,32085000,12154000,102611000,-70810000,-268639000,None,112000,112000,None,None,None,None,None,1000,None,7086000,None,-162149000,None,102909000
CRL,2020-06-30,USD,162306000,7498000,None,29019000,-6788000,57208000,26800000,-12765000,5977000,67668000,-28626000,-104096000,None,118000,118000,None,None,None,None,None,2160000,None,13882000,None,100476000,None,67435000
CRL,2020-03-31,USD,68590000,7314000,None,-49183000,28060000,57260000,25721000,32136000,-4076000,50837000,-413685000,479212000,None,23675000,23675000,None,None,None,None,None,1409793000,None,-1067000,None,134117000,None,50769000
CRL,2019-12-31,USD,389248000,129290000,None,29944000,-7750000,51833000,63839000,-16168000,8418000,80512000,-70871000,-39044000,None,47000,47000,None,None,None,None,None,1287286000,None,7517000,None,279333000,None,80348000
CRL,2019-09-30,USD,471216000,-13907858000,None,7072000,-1631000,51758000,35163000,-12047000,10416000,73552000,-61393000,-133443000,None,157000,157000,None,None,None,None,None,585444000,None,2972000,None,276380000,None,72810000
CRL,2019-06-30,USD,129553000,None,None,51807000,13456000,49146000,24781000,13411000,45000,44309000,-528425000,473507000,None,123000,123000,None,None,None,None,None,1195620000,None,1898000,None,69574000,None,43728000
CRL,2019-03-31,USD,14859000,6885000,None,-59274000,25647000,45358000,16731000,23127000,2520000,55688000,-20813000,-69083000,None,17760000,17760000,None,None,None,None,None,290111000,None,4072000,None,-75037000,None,55133000
CRL,2018-12-31,USD,-161370000,None,None,11725000,-6124000,41581000,68676000,-9122000,2998000,60198000,-70956000,563000,None,55000,55000,None,None,None,None,None,362827000,None,7374000,None,-231763000,None,59665000
CRL,2018-09-30,USD,248547000,None,None,53613000,13839000,43592000,22439000,10943000,2896000,60902000,-33011000,-147079000,None,123000,123000,None,None,None,None,None,-367000,None,5909000,None,68457000,None,60368000
CRL,2018-06-30,USD,99275000,None,None,31003000,19538000,43396000,21213000,15595000,3943000,54379000,-21213000,719511000,None,119000,119000,None,None,None,None,None,1312269000,None,4036000,None,78062000,None,53709000
CRL,2018-03-31,USD,109428000,None,None,-50359000,7281000,33210000,27726000,3780000,3501000,53245000,-24664000,-14936000,None,13549000,13549000,None,None,None,None,None,1080299000,None,6492000,None,69828000,None,52631000
CRL,2017-12-31,USD,256434000,None,None,81446000,13905000,33484000,28503000,5567000,8338000,-29067000,-32827000,-53010000,None,7000,7000,None,None,None,None,None,7601000,None,3774000,None,170597000,None,-29849000
CRL,2017-09-30,USD,121739000,None,None,835000,17870000,33465000,22011000,16116000,1754000,52955000,-53785000,-402000,None,36082000,36082000,None,None,None,None,None,93031000,None,-30948000,None,67552000,None,52474000
CRL,2017-06-30,USD,86401000,None,None,19114000,10687000,31799000,15997000,5534000,5153000,54602000,-15997000,-80740000,None,22640000,22640000,None,None,None,None,None,23500000,None,-12408000,None,70404000,None,53952000
CRL,2017-03-31,USD,82558000,None,None,-36657000,23655000,32411000,15920000,21062000,2593000,46959000,52996000,-74324000,None,48180000,48180000,None,None,None,None,None,112724000,None,-28457000,None,61230000,None,46778000
CRL,2016-12-31,USD,232759000,None,None,24583000,9702000,35542000,25679000,9520000,-331000,45227000,-70940000,-23465000,None,41000,41000,None,None,None,None,None,117885000,None,1513000,None,11904000,-7321000,44680000
CRL,2016-09-30,USD,129204000,None,None,-12077000,20491000,34108000,9568000,15624000,2667000,38033000,-10654000,-105189000,None,28000,28000,None,None,None,None,None,44806000,None,1792000,None,-48863000,-1974000,37735000
CRL,2016-06-30,USD,67910000,None,None,17279000,10031000,32353000,11791000,11357000,-1396000,35557000,-11791000,512299000,None,51000,51000,None,None,None,None,None,None,None,7258000,None,-2790000,5560000,35207000
CRL,2016-03-31,USD,95245000,None,None,-6085000,22792000,24655000,8250000,16279000,3081000,37549000,-6442000,7081000,None,12147000,12147000,None,None,None,None,None,None,None,367000,None,39428000,739000,37143000
