SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
CSCD,2016-03-31,USD,4469000,None,None,None,None,1462000,1922000,2403000,-2275000,None,-1820000,-339000,None,None,None,None,None,None,None,None,None,None,33000,None,2798000,488000,1992000
CSCD,2015-12-31,USD,5399000,None,None,None,None,1434000,2655000,-2214000,1938000,None,4242000,-7528000,None,None,None,None,None,None,None,None,None,None,-7446000,None,1976000,-137000,4161000
CSCD,2015-09-30,USD,332000,None,None,None,None,1378000,907000,-1614000,-943000,None,-669000,-4255000,None,None,None,None,None,None,None,None,None,None,-4208000,None,-4574000,18000,3219000
CSCD,2015-06-30,USD,6473000,None,None,None,None,1358000,2303000,-2670000,455000,None,-6624000,682000,None,None,None,None,None,None,None,None,None,None,567000,None,626000,155000,2797000
CSCD,2015-03-31,USD,2511000,None,None,None,None,1397000,543000,-653000,498000,None,-5769000,60000,None,None,None,None,None,None,None,None,None,None,277000,None,-4028000,-830000,2173000
CSCD,2014-12-31,USD,10459000,None,None,None,None,1577000,1733000,1452000,1097000,None,-2615000,1360000,None,None,None,None,None,None,None,None,None,None,2064000,None,8390000,-814000,4303000
CSCD,2014-09-30,USD,4132000,None,None,None,None,1576000,2015000,-667000,-82000,None,-1223000,-98000,None,None,None,None,None,None,None,None,None,None,-1203000,None,1953000,-858000,2207000
CSCD,2014-06-30,USD,2199000,None,None,None,None,1579000,595000,-292000,-1579000,None,25000,634000,None,None,None,None,None,None,None,None,None,None,707000,None,2819000,-39000,1828000
CSCD,2014-03-31,USD,7413000,None,None,None,None,1614000,513000,4878000,-499000,None,1064000,-711000,None,None,None,None,None,None,None,None,None,None,-537000,None,7773000,7000,1592000
CSCD,2013-12-31,USD,1960000,None,None,None,None,1661000,585000,-7631000,1376000,None,-11989000,660000,None,None,None,None,None,None,None,None,None,None,782000,None,-9754000,-385000,8802000
CSCD,2013-09-30,USD,5179000,None,None,None,None,1146000,256000,3529000,80000,None,-2376000,70000,None,None,None,None,None,None,None,None,None,None,222000,None,3157000,284000,1683000
CSCD,2013-06-30,USD,3647000,None,None,None,None,1176000,292000,-441000,1490000,None,1029000,403000,None,None,None,None,None,None,None,None,None,None,465000,None,5181000,102000,2186000
CSCD,2013-03-31,USD,1459000,None,None,None,None,1200000,559000,-63000,483000,None,-515000,-87000,None,None,None,None,None,None,None,None,None,None,55000,None,661000,-196000,747000
CSCD,2012-12-31,USD,873000,None,None,None,None,1222000,580000,-2765000,2276000,None,-2308000,-251000,None,None,None,None,None,None,None,None,None,None,-196000,None,-1523000,163000,1690000
CSCD,2012-09-30,USD,4825000,None,None,None,None,1104000,646000,3279000,-836000,None,2112000,-119000,None,None,None,None,None,None,None,None,None,None,24000,None,6915000,97000,1496000
CSCD,2012-06-30,USD,442000,None,None,None,None,1111000,459000,-2119000,-1532000,None,-295000,-767000,None,None,None,None,None,None,None,None,None,None,-687000,None,-925000,-305000,2173000
CSCD,2012-03-31,USD,4448000,None,None,None,None,1192000,82000,4409000,-1401000,None,-1669000,-152000,None,None,None,None,None,None,None,None,None,None,-75000,None,2804000,177000,740000
CSCD,2011-12-31,USD,None,None,None,None,None,None,3657000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1444000
CSCD,2011-09-30,USD,None,None,None,None,None,None,3423000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CSCD,2011-06-30,USD,None,None,None,None,None,None,2110000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CSCD,2011-03-31,USD,779000,None,None,None,None,None,794000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,106000
