SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
CSOD,2020-12-31,USD,35025000,36385000,None,83096000,135641000,36796000,2875000,63212000,None,1561000,-11041000,-47920000,None,None,None,None,None,None,None,None,None,None,4592000,None,-23936000,None,1561000
CSOD,2020-09-30,USD,33147000,35326000,None,-13850000,-10380000,37031000,635000,-10909000,None,-15781000,-4743000,3165000,None,None,None,None,None,None,None,None,None,None,3326000,None,31569000,None,-15781000
CSOD,2020-06-30,USD,22774000,5420000,None,16195000,2098000,31195000,1304000,14182000,None,-11987000,-1286972000,951811000,None,None,None,None,None,None,None,None,None,None,2497000,None,3546000,None,-11987000
CSOD,2020-03-31,USD,5988000,12209000,None,-51635000,-29548000,11964000,971000,-35516000,None,-13775000,224755000,10130000,None,None,None,None,None,None,None,None,None,None,10130000,None,240873000,None,-13775000
CSOD,2019-12-31,USD,62594000,10101000,None,70067000,42259000,10751000,2047000,29454000,None,9432000,-66964000,702000,None,8826000,None,None,None,None,None,None,None,None,702000,None,-3668000,None,9432000
CSOD,2019-09-30,USD,24478000,13082000,None,-8699000,-2261000,10814000,6713000,-2026000,None,-1217000,-205054000,5331000,None,None,None,None,None,None,None,None,None,None,5331000,None,-175245000,None,-1217000
CSOD,2019-06-30,USD,-3594000,6326000,None,12057000,12224000,9176000,5031000,11081000,None,-3594000,15254000,1902000,None,None,None,None,None,None,None,None,None,None,7371000,None,-3594000,None,-8805000
CSOD,2019-03-31,USD,1231000,11676000,None,-50572000,-32322000,10858000,4243000,-32955000,None,1231000,159037000,6840000,None,None,None,None,None,None,None,None,None,None,6840000,None,1231000,None,-3464000
CSOD,2018-12-31,USD,2598000,286000,None,60829000,38721000,9909000,4734000,28558000,None,2598000,16247000,-13587000,None,None,None,None,None,None,None,None,None,None,-13587000,None,2598000,-610000,-3173000
CSOD,2018-09-30,USD,1574000,14327000,None,-8002000,-15629000,9132000,2534000,-12662000,None,1574000,-90367000,-255716000,None,None,None,None,None,None,None,None,None,None,-2716000,None,1574000,-907000,-2447000
CSOD,2018-06-30,USD,-3095000,-2578000,None,11741000,8987000,8388000,5068000,-1207000,None,-3095000,21165000,-626000,None,None,None,None,None,None,None,None,None,None,-626000,None,-3095000,-181000,-12007000
CSOD,2018-03-31,USD,-8846000,3452000,None,-51182000,-32519000,7831000,2559000,-41888000,None,-8846000,32079000,-8087000,None,None,None,None,None,None,None,None,None,None,-7935000,None,-6946000,357000,-16216000
CSOD,2017-12-31,USD,51583000,443000,None,66263000,32511000,8349000,418000,28948000,None,-9042000,-2620000,267130000,None,None,None,None,None,None,None,None,None,None,-17947000,None,317143000,1050000,-9004000
CSOD,2017-09-30,USD,21538000,2755000,None,14371000,6919000,9050000,2942000,4740000,None,-14852000,-55785000,3411000,None,None,None,None,None,None,None,None,None,None,3411000,None,-30569000,267000,-14855000
CSOD,2017-06-30,USD,1624000,340000,None,10003000,15382000,8650000,1042000,18886000,None,-21301000,41987000,2838000,None,None,None,None,None,None,None,None,None,None,2838000,None,47142000,693000,-21265000
CSOD,2017-03-31,USD,-7235000,2546000,None,-50721000,-32542000,9328000,2698000,-38257000,None,-16211000,-20248000,3473000,None,None,None,None,None,None,None,None,None,None,3473000,None,-23440000,570000,-16211000
CSOD,2016-12-31,USD,33534000,497000,None,70124000,43195000,8525000,1883000,39148000,None,-18618000,-20294000,5778000,None,None,None,None,None,None,None,None,None,None,5778000,None,18010000,-1008000,-18618000
CSOD,2016-09-30,USD,12832000,2639000,None,-899000,-940000,8416000,984000,-2234000,None,-12388000,-65437000,5294000,None,None,None,None,None,None,None,None,None,None,5294000,None,-47285000,26000,-12388000
CSOD,2016-06-30,USD,3740000,376000,None,14048000,16017000,7893000,1901000,16567000,None,-17588000,6552000,8392000,None,None,None,None,None,None,None,None,None,None,8392000,None,18048000,-636000,-17588000
CSOD,2016-03-31,USD,-14854000,2618000,None,-32644000,-14014000,7558000,1460000,-15389000,None,-18243000,-2459000,4051000,None,None,None,None,None,None,None,None,None,None,4084000,None,-13164000,98000,-18243000
