SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
CTCM,2015-12-31,USD,24826000,None,None,None,None,None,3908000,None,None,None,186715000,None,None,None,None,None,-20350000,-20350000,None,None,None,None,None,None,None,None,None
CTCM,2015-09-30,USD,935000,None,None,None,None,None,3428000,None,None,None,82850000,None,None,None,None,None,-20350000,-20350000,None,None,None,None,None,None,None,None,44160000
CTCM,2015-06-30,USD,None,None,None,None,None,None,1965000,None,None,None,52721000,None,None,None,None,None,-20350000,-20350000,None,None,None,None,None,None,None,None,4696000
CTCM,2015-03-31,USD,None,None,None,None,None,None,587000,None,None,None,68580000,None,None,None,None,None,-20350000,-20350000,None,None,None,None,None,None,None,None,8417000
CTCM,2014-12-31,USD,105349000,None,None,None,None,None,5775000,None,None,None,33175000,None,None,None,None,None,-81340000,-81340000,None,None,None,None,None,None,None,None,18620000
CTCM,2014-09-30,USD,54977000,None,None,None,None,None,3793000,None,None,None,33143000,None,None,None,None,None,-61003000,-61003000,None,None,None,None,None,None,None,None,31595000
CTCM,2014-06-30,USD,49986000,None,None,None,None,None,2183000,None,None,None,20731000,None,None,None,None,None,-40665000,-40665000,None,None,None,None,None,None,None,None,26661000
CTCM,2014-03-31,USD,32403000,None,None,None,None,None,974000,None,None,None,3548000,None,None,None,None,None,-20333000,-20333000,None,None,None,None,None,None,None,None,31216000
CTCM,2013-12-31,USD,186562000,None,None,None,None,None,6336000,None,None,None,None,None,None,None,None,None,-98768000,-98768000,None,None,None,None,None,None,None,None,45504000
CTCM,2013-09-30,USD,64505000,None,None,None,None,None,3548000,None,None,None,22210000,None,None,None,None,None,-73854000,-73854000,None,None,None,None,None,None,None,None,46655000
CTCM,2013-06-30,USD,48887000,None,None,None,None,None,1926000,None,None,None,None,None,None,None,None,None,-48930000,-48930000,None,None,None,None,None,None,None,None,31593000
CTCM,2013-03-31,USD,None,None,None,None,None,None,1120000,None,None,None,None,None,None,None,None,None,-17786000,-17786000,None,None,None,None,None,None,None,None,28588000
CTCM,2012-12-31,USD,157714000,None,None,None,None,None,15646000,None,None,None,None,None,None,None,None,None,-82244000,-82244000,None,None,None,None,None,None,None,None,64875000
CTCM,2012-09-30,USD,56973000,None,None,None,None,None,9437000,None,None,None,26894000,None,None,None,None,None,-61683000,-61683000,None,None,None,None,None,None,None,None,None
CTCM,2012-06-30,USD,61929000,None,None,None,None,None,5782000,None,None,None,9095000,None,None,None,None,None,-41122000,-41122000,None,None,None,None,None,None,None,None,34046000
CTCM,2012-03-31,USD,8850000,None,None,None,None,None,3002000,None,None,None,23294000,None,None,None,None,None,-20561000,-20561000,None,None,None,None,None,None,None,None,32622000
CTCM,2011-12-31,USD,115791000,None,None,None,None,None,19780000,None,None,None,None,None,None,None,None,None,-128930000,-128930000,None,None,None,None,None,None,None,None,None
CTCM,2011-09-30,USD,56993000,None,None,None,None,None,16037000,None,None,None,None,None,None,None,None,None,-59714000,-59714000,None,None,None,None,None,None,None,None,16393000
CTCM,2011-06-30,USD,38557000,None,None,None,None,None,12445000,None,None,None,None,None,None,None,None,None,-59714000,-59714000,None,None,None,None,None,None,None,None,38468000
CTCM,2011-03-31,USD,12280000,None,None,None,None,None,4031000,None,None,None,26840000,None,None,None,None,None,-25115000,-25115000,None,None,None,None,None,None,None,None,22792000
CTCM,2010-12-31,USD,185552000,None,None,None,None,None,29912000,None,None,None,None,None,None,None,None,None,-80444000,-80444000,None,None,None,None,None,None,None,None,75329000
