SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
CUTR,2020-12-31,USD,4468000,229000,None,5262000,6411000,1351000,505000,4759000,-825000,2181000,12574000,611000,None,None,None,None,None,None,None,0,0,None,723000,None,17653000,None,2188000
CUTR,2020-09-30,USD,-3451000,547000,None,313000,4689000,966000,339000,3825000,-1907000,-2250000,-483000,-331000,None,None,None,None,None,None,None,-1000,18000,None,7000,None,-4265000,None,-2257000
CUTR,2020-06-30,USD,-5985000,743000,None,-6110000,-5626000,277000,205000,-728000,-5701000,-11394000,-8342000,33212000,None,None,None,None,None,None,None,None,None,None,29446000,None,18885000,None,-11394000
CUTR,2020-03-31,USD,-11966000,746000,None,-4648000,-2886000,1077000,230000,-5306000,3020000,-12414000,2640000,-2216000,None,None,None,None,None,None,None,None,None,None,201000,None,-11542000,None,-12414000
CUTR,2019-12-31,USD,3977000,812000,None,802000,-792000,1062000,467000,-1723000,-121000,-2088000,-1600000,1060000,None,None,None,None,None,None,None,None,None,None,1294000,None,3437000,None,-2088000
CUTR,2019-09-30,USD,-2275000,733000,None,3820000,7787000,1126000,208000,-1031000,7153000,-2628000,-2617000,103000,None,None,None,None,None,None,None,None,None,None,437000,None,-4789000,None,-2628000
CUTR,2019-06-30,USD,588000,720000,None,6044000,6674000,1816000,251000,5666000,230000,588000,3735000,741000,None,None,None,None,None,None,None,None,None,None,1032000,None,588000,None,588000
CUTR,2019-03-31,USD,-8220000,706000,None,-2544000,-163000,1101000,65000,-403000,-1355000,-8220000,1549000,-490000,None,None,None,None,None,None,None,None,None,None,131000,None,-8220000,None,-8220000
CUTR,2018-12-31,USD,-26294000,None,None,-1569000,-28954000,-944000,274000,-5427000,-3308000,-26294000,-4758000,517000,None,None,None,None,None,None,None,None,None,None,796000,None,-26294000,None,-26293000
CUTR,2018-09-30,USD,-873000,None,None,2727000,6030000,787000,633000,3712000,1184000,-873000,4920000,130000,None,None,None,None,None,None,None,None,None,None,565000,None,-873000,None,-873000
CUTR,2018-06-30,USD,-1572000,None,None,4976000,4243000,739000,477000,2747000,-841000,-1572000,2061000,1917000,None,None,None,None,None,None,None,None,None,None,2405000,None,-1572000,None,-1572000
CUTR,2018-03-31,USD,-2032000,None,None,-5483000,4416000,627000,104000,-915000,2197000,-2032000,8550000,-1777000,None,None,None,None,None,None,None,None,None,None,633000,None,-2032000,None,-2032000
CUTR,2017-12-31,USD,6682000,None,None,6898000,24864000,266000,412000,1181000,5054000,22880000,13474000,-20756000,None,21391000,21391000,None,None,None,None,None,None,None,-20522000,None,-600000,None,22880000
CUTR,2017-09-30,USD,-175000,None,None,4604000,8310000,258000,233000,1407000,6815000,6188000,-1313000,-6297000,None,6735000,6735000,None,None,None,None,None,None,None,-6040000,None,-3895000,None,6188000
CUTR,2017-06-30,USD,1947000,None,None,6203000,1956000,244000,141000,336000,1241000,1947000,2259000,-2698000,None,4341000,4341000,None,None,None,None,None,None,None,-2221000,None,7236000,None,1947000
CUTR,2017-03-31,USD,-7570000,None,None,-2188000,2167000,248000,69000,1305000,695000,-1022000,3274000,-1821000,None,2700000,2700000,None,None,None,None,None,None,None,-949000,None,-2332000,None,-1022000
CUTR,2016-12-31,USD,9482000,None,None,2173000,3015000,249000,226000,4838000,-1501000,4213000,-5442000,3201000,None,0,0,None,None,None,None,None,None,None,3914000,None,2500000,None,4213000
CUTR,2016-09-30,USD,-1146000,None,None,1248000,2126000,249000,174000,525000,1776000,1644000,548000,1704000,None,2008000,2008000,None,None,None,None,None,None,None,1795000,None,3855000,None,1644000
CUTR,2016-06-30,USD,-308000,None,None,1897000,1895000,244000,40000,8000,1227000,-1229000,2223000,-760000,None,2586000,2586000,None,None,None,None,None,None,None,-703000,None,1155000,None,-1229000
CUTR,2016-03-31,USD,-4044000,None,None,-2387000,1190000,240000,97000,-472000,1397000,-2051000,-721000,162000,None,279000,279000,None,None,None,None,None,None,None,232000,None,-4603000,None,-2051000
