SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
DRII,2016-06-30,USD,15875000,None,None,None,None,12985000,8449000,11169000,-23716000,None,-7548000,-7240000,None,None,None,None,None,None,None,None,None,None,112000,None,695000,-392000,25491000
DRII,2016-03-31,USD,42019000,None,None,None,None,12587000,4732000,27435000,2747000,None,-89345000,-14878000,None,None,None,None,None,None,None,None,None,None,84000,None,-62364000,-160000,33179000
DRII,2015-12-31,USD,34629000,None,None,None,None,11166000,7842000,-41813000,-1328000,None,-174948000,91856000,None,None,None,None,None,None,None,None,None,None,-81081000,None,-48635000,-172000,44038000
DRII,2015-09-30,USD,42112000,None,None,None,None,9690000,7566000,12828000,-6925000,None,-7565000,62140000,None,None,None,None,None,None,None,None,None,None,-7604000,None,96324000,-363000,39838000
DRII,2015-06-30,USD,45617000,None,None,None,None,9856000,6757000,33111000,-31614000,None,-8255000,10167000,None,None,None,None,None,None,None,None,None,None,-12596000,None,48153000,624000,35639000
DRII,2015-03-31,USD,45778000,None,None,None,None,10042000,4160000,18181000,-10915000,None,-12917000,-91628000,None,None,None,None,None,None,None,None,None,None,-59325000,None,-59393000,-626000,24371000
DRII,2014-12-31,USD,41604000,None,None,None,None,9186000,4104000,-29190000,12903000,None,-3511000,23309000,None,None,None,None,None,None,None,None,None,None,-15031000,None,61402000,-839000,21874000
DRII,2014-09-30,USD,23549000,None,None,None,None,9396000,3943000,-2981000,8105000,None,-3955000,45192000,None,None,None,None,None,None,None,None,None,None,2010000,None,64786000,-745000,26304000
DRII,2014-06-30,USD,19237000,None,None,None,None,9786000,4182000,7467000,-3047000,None,-3913000,26445000,None,None,None,None,None,None,None,None,None,None,63000,None,41769000,337000,-2731000
DRII,2014-03-31,USD,33668000,None,None,None,None,9498000,5721000,21872000,4823000,None,-5721000,11804000,None,None,None,None,None,None,None,None,None,None,236000,None,39751000,80000,14010000
DRII,2013-12-31,USD,None,None,None,None,None,None,15204000,None,6793000,None,None,78045000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3573000
DRII,2013-09-30,USD,16893000,None,None,None,None,7583000,12792000,None,7370000,None,None,71305000,None,None,None,None,None,None,None,None,None,None,None,None,16893000,None,None
DRII,2013-06-30,USD,15275000,None,None,None,None,6075000,8481000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15275000,None,17956000
DRII,2013-03-31,USD,10338000,None,None,None,None,None,2524000,None,13210000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2273000
DRII,2012-12-31,USD,24600000,None,None,None,None,None,14335000,None,None,None,None,45540000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
DRII,2012-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46611000
DRII,2011-12-31,USD,9292000,None,None,None,None,None,6276000,None,None,None,None,93035000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10303000
