SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
EEX,2020-12-31,USD,5600000,None,None,-12300000,8200000,11400000,0,8300000,None,-58100000,-34200000,-2800000,0,800000,1000000,None,0,-5400000,None,0,0,0,-1000000,None,-31400000,None,-58100000
EEX,2020-09-30,USD,-20100000,None,None,-30300000,-22200000,12200000,100000,-23700000,None,-15300000,-800000,129000000,0,0,6300000,None,0,-5400000,None,100000,0,136600000,130400000,None,108100000,None,-15300000
EEX,2020-06-30,USD,-31400000,None,None,-5900000,34000000,12200000,300000,8900000,None,9900000,-1200000,201200000,-100000000,0,10900000,None,0,-5400000,None,0,50000000,None,252600000,None,23200000,None,9900000
EEX,2020-03-31,USD,8800000,None,None,-88700000,-16000000,12800000,500000,-900000,None,-570100000,-1100000,32700000,-5000000,100000,100000,None,5400000,-5400000,None,100000,45000000,None,0,None,40400000,None,-570100000
EEX,2019-12-31,USD,16200000,None,None,18900000,11300000,12700000,700000,17500000,None,-68200000,-14900000,-5300000,-6000000,3900000,3900000,None,5300000,-5300000,None,1400000,10000000,None,-6800000,None,-4000000,None,-68200000
EEX,2019-09-30,USD,11600000,None,None,-5600000,-700000,12900000,400000,-1200000,None,-19700000,-900000,-9500000,-5000000,3800000,3800000,None,5400000,-5400000,None,100000,None,None,-3700000,None,1200000,None,-19700000
EEX,2019-06-30,USD,28400000,None,None,-24100000,2700000,13200000,300000,18600000,None,11400000,-600000,-26300000,None,500000,500000,None,5400000,-5400000,None,1000000,None,None,500000,None,24600000,None,11400000
EEX,2019-03-31,USD,11600000,None,None,-3100000,-9200000,13200000,200000,-31500000,None,26500000,-300000,-20900000,-15000000,100000,100000,None,5200000,-5200000,None,1800000,None,None,1700000,None,-9600000,None,26500000
EEX,2018-12-31,USD,35400000,None,None,-18100000,4400000,12600000,200000,24600000,None,-90000000,-43700000,15000000,None,None,19400000,None,5300000,-5300000,None,1200000,None,None,-18200000,None,6700000,None,-90000000
EEX,2018-09-30,USD,14100000,None,None,2000000,-1300000,11400000,0,-6800000,None,20900000,-28300000,-6500000,None,None,None,None,5300000,-5300000,None,None,None,None,200000,None,-20700000,None,20900000
EEX,2018-06-30,USD,17300000,None,None,4000000,1300000,11400000,300000,24400000,None,5900000,-2200000,-24100000,None,None,None,None,5300000,-5300000,None,None,None,None,2600000,None,7500000,None,5900000
EEX,2018-03-31,USD,81500000,None,None,2100000,-8100000,11400000,300000,-41200000,None,38100000,-500000,-4000000,None,None,None,None,5100000,-5100000,None,None,None,None,2500000,None,16100000,None,38100000
EEX,2017-12-31,USD,106036000,None,None,22243000,8258000,10950000,570000,None,None,40060000,-39299000,-7740000,None,None,None,None,5092000,-15200000,None,None,None,None,5325000,None,-3079000,None,40060000
EEX,2017-09-30,USD,35529000,None,None,-9421000,-3348000,10848000,52000,-26381000,None,19207000,-145000,-6542000,None,None,None,None,5054000,-5054000,None,None,None,None,-76000,None,4076000,None,19207000
EEX,2017-06-30,USD,5013000,None,None,None,None,10827000,117000,14814000,None,-5814000,-16638000,-16535000,None,None,None,None,-5054000,-5054000,None,None,None,None,159117000,None,-5905000,None,-5814000
EEX,2017-03-31,USD,74016000,None,None,None,None,10575000,161000,-27313000,None,28347000,-39418000,11517000,None,None,None,None,None,None,None,None,None,None,None,None,908000,None,28347000
