SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ENPH,2020-12-31,USD,84180000,6678000,None,58906000,68878000,5353000,8851000,57854000,4229000,72991000,-13861000,-53635000,None,None,None,None,None,None,None,None,None,0,3687000,None,16684000,None,72991000
ENPH,2020-09-30,USD,67501000,1252000,None,32451000,34839000,4765000,3903000,32633000,6349000,39391000,-3903000,-9164000,None,None,None,None,None,None,None,None,None,0,-138000,None,54434000,None,39362000
ENPH,2020-06-30,USD,25431000,1145000,None,-7634000,1633000,4141000,4451000,-6529000,-3430000,-47255000,-4451000,-7594000,None,None,None,None,None,None,None,None,None,0,2867000,None,-48400000,None,-47294000
ENPH,2020-03-31,USD,39222000,1014000,None,-58526000,-29568000,3844000,3353000,-49637000,2560000,68968000,-3353000,262071000,None,None,None,None,None,None,None,None,None,71552000,73531000,None,297940000,None,68936000
ENPH,2019-12-31,USD,102271000,5467000,None,65011000,93465000,2568000,7420000,12606000,1825000,116655000,-7420000,-1966000,None,None,None,None,None,None,None,None,None,-1000,2059000,None,92885000,None,116666000
ENPH,2019-09-30,USD,4961000,1019000,None,6728000,46238000,3857000,4192000,37035000,10137000,31110000,-4192000,-3140000,None,None,None,None,None,None,None,None,None,0,303000,None,-2371000,None,31099000
ENPH,2019-06-30,USD,10618000,857000,None,16280000,30116000,4122000,2518000,15838000,7123000,10618000,-2518000,115378000,None,None,None,None,None,None,None,None,None,29819000,30042000,None,10618000,None,10618000
ENPH,2019-03-31,USD,2765000,737000,None,6429000,2383000,3572000,658000,3266000,-3296000,2765000,-658000,-44422000,None,None,None,None,None,None,None,None,None,None,1664000,None,2765000,None,2765000
ENPH,2018-12-31,USD,709000,None,None,22567000,25578000,2717000,1767000,24186000,-1620000,709000,-7767000,-3996000,None,None,None,None,None,None,None,-5000,None,None,644000,None,709000,-39000,709000
ENPH,2018-09-30,USD,-3470000,None,None,5000000,4086000,2481000,909000,-4774000,416000,-3470000,-9909000,60866000,None,None,None,None,None,None,None,-152000,None,None,629000,None,-3470000,-80000,-3470000
ENPH,2018-06-30,USD,-3738000,None,None,2239000,2669000,2193000,432000,3228000,-1071000,-3738000,-432000,2014000,None,None,None,None,None,None,None,0,None,None,1101000,None,-3738000,-446000,-3738000
ENPH,2018-03-31,USD,-5128000,None,None,-12847000,-15543000,2276000,1043000,-9125000,-7457000,-5128000,-1043000,21730000,None,None,None,None,None,None,None,19923000,None,None,20192000,None,-5128000,63000,-5128000
ENPH,2017-12-31,USD,-1914000,None,None,-7837000,-5764000,2241000,512000,-3958000,683000,-2940000,-512000,2558000,0,None,None,None,None,None,None,0,None,None,356000,None,266000,134000,-2940000
ENPH,2017-09-30,USD,-2203000,None,None,18574000,16920000,2180000,94000,12671000,4477000,-6854000,-94000,4000,0,None,None,None,None,None,None,0,None,None,4000,None,-2075000,218000,-6854000
ENPH,2017-06-30,USD,186000,None,None,5576000,-2680000,2255000,49000,8065000,-12969000,-12093000,-49000,149000,0,None,None,None,None,None,None,-97000,None,None,71000,None,998000,712000,-12093000
ENPH,2017-03-31,USD,-24511000,None,None,-16063000,-7013000,2328000,3466000,-11975000,1848000,-23305000,-3466000,40586000,-10100000,None,None,None,None,None,None,26522000,None,None,26524000,None,12191000,-418000,-23305000
ENPH,2016-12-31,USD,-4365000,None,None,-3435000,-5450000,2599000,2560000,1440000,-7141000,-13188000,-1510000,-265000,-2350000,None,None,None,None,None,None,1549000,None,None,1841000,None,-6348000,-208000,-13188000
ENPH,2016-09-30,USD,-20597000,None,None,1711000,12338000,2651000,2097000,12372000,-194000,-18756000,-2097000,38540000,0,None,None,None,None,None,None,None,None,None,14636000,None,15869000,23000,-18756000
ENPH,2016-06-30,USD,7258000,None,None,15398000,-1935000,2708000,4162000,2711000,-6281000,-16723000,-4840000,-6946000,-7550000,None,None,None,None,None,None,None,None,None,708000,None,-4773000,-245000,-16723000
ENPH,2016-03-31,USD,-15249000,None,None,6497000,8332000,2680000,3348000,1494000,4776000,-18795000,-3348000,3046000,3000000,None,None,None,None,None,None,None,None,None,101000,None,-15436000,115000,-18795000
