SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ENTA,2020-12-31,USD,-14890000,None,None,-2027000,9558000,431000,188000,8251000,None,-8328000,-17445000,299000,None,None,None,None,None,None,None,None,None,None,833000,None,-32036000,None,-8328000
ENTA,2020-09-30,USD,-15461000,1231000,None,377000,6807000,399000,330000,4839000,None,-29341000,2504000,233000,None,None,None,None,None,None,None,None,None,None,233000,None,-12724000,None,-29341000
ENTA,2020-06-30,USD,-4488000,1166000,None,3730000,-4073000,284000,273000,-8966000,None,-14265000,26779000,3226000,None,None,None,None,None,None,None,None,None,None,3226000,None,25517000,None,-14265000
ENTA,2020-03-31,USD,14674000,1048000,None,-1045000,-19269000,-49000,354000,-24951000,None,-6005000,27748000,4358000,None,None,None,None,None,None,None,None,None,None,4716000,None,-7053000,None,-6005000
ENTA,2019-12-31,USD,12363000,736000,None,-6235000,111000,-330000,488000,1257000,None,13443000,-37201000,1166000,None,None,None,None,None,None,None,None,None,None,2306000,None,-23672000,None,13443000
ENTA,2019-09-30,USD,8545000,57000,None,1810000,4598000,-847000,296000,6946000,None,9191000,-52208000,687000,None,None,None,None,None,None,None,None,None,None,709000,None,-42976000,None,9191000
ENTA,2019-06-30,USD,2533000,2660000,None,1481000,8331000,-1276000,2230000,4736000,None,7036000,-14847000,490000,None,None,None,None,None,None,None,None,None,None,512000,None,-11824000,None,7036000
ENTA,2019-03-31,USD,30086000,9950000,None,-2286000,-23839000,-1236000,2507000,-30255000,None,4145000,1322000,257000,None,None,None,None,None,None,None,None,None,None,4466000,None,4145000,None,4145000
ENTA,2018-12-31,USD,30254000,5000,None,5439000,5863000,-977000,384000,2681000,None,26011000,-20931000,1140000,None,None,None,None,None,None,None,None,None,None,1161000,None,10463000,None,26011000
ENTA,2018-09-30,USD,28341000,8204000,None,5760000,5085000,-597000,623000,9943000,None,27420000,-7949000,1033000,None,None,None,None,None,None,None,None,None,None,1051000,None,21425000,None,27420000
ENTA,2018-06-30,USD,10715000,6017000,None,-3906000,17712000,-348000,1102000,13213000,None,20288000,-31462000,2965000,None,None,None,None,None,None,None,None,None,None,2985000,None,-24449000,None,20288000
ENTA,2018-03-31,USD,12555000,12099000,None,-4130000,21770000,22000,752000,20940000,None,12555000,6457000,-6000,None,None,None,None,None,None,None,None,None,None,1771000,None,-1127000,None,12555000
ENTA,2017-12-31,USD,7430000,-232000,None,-1910000,13034000,88000,504000,12495000,None,11693000,-2448000,417000,None,None,None,None,None,None,None,None,None,None,436000,None,2378000,None,11693000
ENTA,2017-09-30,USD,114536000,774000,None,9797000,9000,138000,234000,3103000,None,36508000,-14901000,1007000,None,None,None,None,None,None,None,None,None,None,813000,None,43412000,None,36508000
ENTA,2017-06-30,USD,-10178000,5000,None,2669000,-918000,158000,741000,-1448000,None,-8426000,7658000,190000,None,None,None,None,None,None,None,None,None,None,208000,None,3052000,None,-8426000
ENTA,2017-03-31,USD,-5392000,4000,None,2566000,369000,218000,578000,-1458000,None,-5392000,1806000,-211000,None,None,None,None,None,None,None,None,None,None,9000,None,-1407000,None,-5392000
ENTA,2016-12-31,USD,5510000,1018000,None,-967000,-7365000,188000,953000,-2424000,None,-4980000,865000,31000,None,None,None,None,None,None,None,None,None,None,49000,None,4041000,None,-4980000
ENTA,2016-09-30,USD,-4336000,-2000,None,-425000,-106000,207000,415000,-1137000,None,-1802000,-6147000,61000,None,None,None,None,None,None,None,None,None,None,81000,None,-8212000,None,-1802000
ENTA,2016-06-30,USD,-3009000,1701000,None,-2334000,1516000,294000,613000,974000,None,-1076000,-31427000,1968000,None,None,None,None,None,None,None,None,None,None,284000,None,-31571000,None,-1076000
ENTA,2016-03-31,USD,737000,-5659000,None,2896000,-6759000,448000,1513000,-5874000,None,-1645000,-457000,530000,None,None,None,None,None,None,None,None,None,None,499000,None,10127000,None,-1645000
