SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ENV,2020-12-31,USD,38157000,24805000,None,-7214000,2913000,28584000,3264000,4230000,None,7694000,-16783000,96000,None,None,None,None,None,None,None,None,0,None,-514792000,None,21470000,None,7240000
ENV,2020-09-30,USD,66656000,1791000,None,16481000,7102000,28951000,4495000,2265000,None,2323000,-20299000,223984000,None,None,None,None,None,None,None,None,0,None,518870000,None,270341000,None,1910000
ENV,2020-06-30,USD,56035000,5121000,None,11874000,-3816000,28443000,2169000,-5773000,None,-5471000,-17225000,-15341000,None,None,None,None,None,None,None,None,0,None,3276000,None,6672000,None,-4924000
ENV,2020-03-31,USD,8988000,2740000,None,-9306000,20485000,27683000,2160000,14333000,None,-7190000,-45689000,24211000,None,None,None,None,None,None,None,None,45000000,None,3410000,None,-12490000,None,-7336000
ENV,2019-12-31,USD,46881000,24719000,None,13966000,5802000,28104000,3749000,5025000,None,3417000,-11190000,-24597000,None,None,None,None,None,None,None,None,170000000,None,3564000,None,11094000,None,3590000
ENV,2019-09-30,USD,59454000,1861000,None,5168000,-14551000,26735000,7283000,-6700000,None,-2964000,-16549000,-48722000,None,None,None,None,None,None,None,None,None,None,2116000,None,-5817000,None,-3080000
ENV,2019-06-30,USD,-20257000,4730000,None,4137000,6076000,26915000,3568000,1734000,None,-20257000,-323476000,140438000,None,None,None,None,None,None,None,None,None,None,1752000,None,-20257000,None,-20257000
ENV,2019-03-31,USD,-8737000,216000,None,-21423000,13208000,19517000,5247000,-1198000,None,-8737000,-24493000,-6654000,None,None,None,None,None,None,None,None,None,None,3165000,None,-8737000,None,-8737000
ENV,2018-12-31,USD,11503000,4629000,None,3293000,92000,19332000,3436000,3759000,None,11503000,-12021000,113318000,None,None,None,None,-6560000,-6560000,None,None,None,None,122810000,None,11503000,455000,11503000
ENV,2018-09-30,USD,3395000,1509000,None,10454000,3339000,19563000,7519000,927000,None,3395000,-21122000,-1323000,None,None,None,None,None,None,None,None,None,None,2660000,None,3395000,-475000,3395000
ENV,2018-06-30,USD,5000,2297000,None,11156000,-2921000,19185000,4581000,-1987000,None,5000,-20366000,67189000,None,None,None,None,None,None,None,None,None,None,137000,None,5000,-463000,5000
ENV,2018-03-31,USD,-738000,1974000,None,-7382000,15932000,19546000,4988000,10191000,None,-738000,-188170000,173110000,None,None,None,None,None,None,None,None,None,None,2406000,None,-738000,-109000,-738000
ENV,2017-12-31,USD,37004000,2466000,None,2670000,-3106000,16028000,3513000,1835000,None,17645000,-6927000,-18871000,None,None,None,None,None,None,None,None,None,None,3484000,None,11411000,205000,17645000
ENV,2017-09-30,USD,36059000,927000,None,13412000,4426000,15492000,2251000,647000,None,-1320000,-7260000,-7712000,None,None,None,None,None,None,None,None,None,None,1851000,None,20974000,-113000,-1320000
ENV,2017-06-30,USD,8995000,2546000,None,8038000,4499000,15465000,5174000,5094000,None,-6470000,-8734000,-29517000,None,None,None,None,None,None,None,None,None,None,718000,None,-11749000,-41000,-6470000
ENV,2017-03-31,USD,13957000,1414000,None,-4134000,3752000,15835000,4007000,545000,None,-13135000,-6098000,-16340000,None,None,None,None,None,None,None,None,None,None,1903000,None,-13113000,324000,-13135000
ENV,2016-12-31,USD,49604000,7421000,None,15807000,-3298000,14127000,3128000,2431000,None,-32574000,-20239000,-2766000,None,None,None,None,None,None,None,None,None,None,1759000,None,28529000,None,-32574000
ENV,2016-09-30,USD,48498000,1198000,None,6083000,-9716000,16692000,6207000,165000,None,-4057000,-9917000,-3881000,None,None,None,None,None,None,None,None,None,None,-561000,None,46840000,None,-4057000
ENV,2016-06-30,USD,9157000,2113000,None,9316000,15136000,17100000,2821000,7036000,None,-7943000,-2821000,-5232000,None,None,None,None,None,None,None,None,None,None,1073000,None,6336000,None,-7943000
ENV,2016-03-31,USD,25380000,2079000,None,-8704000,58000,16080000,1811000,-11278000,None,-10993000,-22824000,-6135000,None,None,None,None,None,None,None,None,None,None,1211000,None,-18747000,None,-10993000
