SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
EROC,2015-06-30,USD,20503000,None,None,None,None,16672000,16850000,2397000,None,None,59375000,-79887000,None,None,None,None,-10558000,-10558000,None,None,None,None,-1329000,None,-17000,None,-23374000
EROC,2015-03-31,USD,13761000,None,None,None,None,14909000,28055000,4039000,None,None,49700000,-64767000,None,None,None,None,-10565000,-10565000,None,None,None,None,-3602000,None,-1306000,None,-58719000
EROC,2014-12-31,USD,30629000,None,None,None,None,22978000,30030000,-4030000,None,None,13806000,-43713000,None,None,None,None,-11181000,-11181000,None,None,None,None,-12836000,None,750000,None,-344591000
EROC,2014-09-30,USD,21823000,None,None,None,None,22868000,42875000,1137000,None,None,-42875000,-545125000,None,None,None,None,-23801000,-23801000,None,None,None,None,-1825000,None,-148000,None,262932000
EROC,2014-06-30,USD,-42879000,None,None,None,None,238000,9851000,2354000,None,None,-9297000,41994000,None,None,None,None,-23801000,-23801000,None,None,None,None,-2801000,None,-4882000,None,-43041000
EROC,2014-03-31,USD,68553000,None,None,None,None,41736000,53938000,-19889000,None,None,-54492000,-8514000,None,None,None,None,-23801000,-23801000,None,None,None,None,-1708000,None,5547000,None,-18563000
EROC,2013-12-31,USD,25182000,None,None,None,None,44317000,52606000,-4405000,None,None,-53534000,28352000,None,None,None,None,-23832000,-23832000,None,None,None,None,-1939000,None,None,None,-168932000
EROC,2013-09-30,USD,47120000,None,None,None,None,43817000,52188000,8819000,None,None,-53043000,5904000,None,None,None,None,-34962000,-34962000,None,None,None,None,743000,None,-19000,None,-91565000
EROC,2013-06-30,USD,64232000,None,None,None,None,42228000,68499000,-7220000,None,None,-69328000,5131000,None,None,None,None,-34698000,-34698000,None,None,None,None,4796000,None,35000,None,16032000
EROC,2013-03-31,USD,40842000,None,None,None,None,41273000,70137000,-4296000,None,None,-71143000,30336000,None,None,None,None,-32419000,-32419000,None,None,None,None,92411000,None,35000,None,-33514000
EROC,2012-12-31,USD,145501000,None,None,None,None,None,306024000,None,None,None,None,382317000,None,None,None,None,-119211000,-119211000,None,None,None,None,None,None,None,None,None
EROC,2012-09-30,USD,111000000,None,None,None,None,None,223333000,None,None,None,None,138021000,None,None,None,None,-86773000,-86773000,None,None,None,None,None,None,None,None,None
EROC,2012-06-30,USD,61771000,None,None,None,None,None,150023000,None,None,None,None,89621000,None,None,None,None,-56711000,-56711000,None,None,None,None,None,None,None,None,61789000
EROC,2012-03-31,USD,38989000,None,None,None,None,None,68521000,None,None,None,None,29935000,None,None,None,None,-27340000,-27340000,None,None,None,None,None,None,None,None,None
EROC,2011-12-31,USD,118794000,None,None,None,None,None,154916000,None,None,None,None,251970000,None,None,None,None,-74512000,-74512000,None,None,None,None,None,None,None,None,None
EROC,2011-09-30,USD,84377000,None,None,None,None,None,79811000,None,None,None,None,226783000,None,None,None,None,-49080000,-49080000,None,None,None,None,None,None,None,None,97365000
EROC,2011-06-30,USD,25513000,None,None,None,None,None,31195000,None,None,None,None,224006000,None,None,None,None,-26250000,-26250000,None,None,None,None,None,None,None,None,55071000
EROC,2011-03-31,USD,20549000,None,None,None,None,None,16135000,None,None,None,None,None,None,None,None,None,-12778000,-12778000,None,None,None,None,None,None,None,None,None
EROC,2010-12-31,USD,103322000,None,None,None,None,None,64497000,None,None,None,73441000,None,None,None,None,None,-7195000,-7195000,None,None,None,None,None,None,None,None,None
EROC,2010-09-30,USD,85841000,None,None,None,None,None,42799000,None,None,None,122714000,None,None,None,None,None,-5102000,-5102000,None,None,None,None,None,None,None,None,None
EROC,2010-06-30,USD,51079000,None,None,None,None,None,23910000,None,None,None,146682000,None,None,None,None,None,-3024000,-3024000,None,None,None,None,None,None,None,None,68143000
