SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ESTC,2021-01-31,USD,19401000,None,None,None,None,4290000,1076000,15183000,None,None,-1076000,22324000,None,None,None,None,None,None,None,None,None,None,22324000,None,40649000,None,-37974000
ESTC,2020-10-31,USD,-17289000,None,None,None,None,4310000,1277000,-45148000,None,None,43000,15978000,None,None,None,None,None,None,None,None,None,None,15978000,None,-1268000,None,-29158000
ESTC,2020-07-31,USD,21998000,None,None,None,None,4256000,379000,45211000,None,None,-379000,29252000,None,None,None,None,None,None,None,None,None,None,29252000,None,50871000,None,-19001000
ESTC,2020-04-30,USD,-5933000,None,None,None,None,4286000,826000,-57626000,None,None,-577000,10841000,None,None,None,None,None,None,None,None,None,None,10841000,None,4331000,None,-31151000
ESTC,2020-01-31,USD,-23227000,None,None,None,None,5235000,1007000,6023000,None,None,-1007000,11024000,None,None,None,None,None,None,None,None,None,None,11054000,None,-13210000,None,-44281000
ESTC,2019-10-31,USD,290000,None,None,None,None,2050000,1645000,-18678000,None,None,-26018000,16591000,None,None,None,None,None,None,None,None,None,None,19455000,None,-9137000,None,-49973000
ESTC,2019-07-31,USD,-1694000,None,None,None,None,1288000,1585000,23528000,None,None,-1585000,20083000,None,None,None,None,None,None,None,None,None,None,20113000,None,16804000,None,-41769000
ESTC,2019-04-30,USD,-23937000,None,None,None,None,5695000,3447000,None,None,None,-8283000,281788000,None,None,None,None,None,None,None,None,None,None,287566000,None,None,None,-102303000
ESTC,2019-01-31,USD,-8697000,None,None,None,None,1378000,1187000,None,None,None,-1187000,-2669000,None,None,None,None,None,None,None,None,None,None,272551000,None,None,None,-21351000
ESTC,2018-10-31,USD,-576000,None,None,None,None,1466000,836000,None,None,None,-836000,269345000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-27539000
ESTC,2018-07-31,USD,5126000,None,None,None,None,1542000,336000,None,None,None,-2322000,129000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-18578000
ESTC,2018-04-30,USD,-20819000,None,None,None,None,5066000,2968000,None,None,None,8330000,3427000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-52727000
ESTC,2018-01-31,USD,-1848000,None,None,None,None,1470000,945000,None,None,None,-945000,883000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-13330000
ESTC,2017-10-31,USD,4086000,None,None,None,None,1072000,502000,None,None,None,6347000,396000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-8027000
ESTC,2017-07-31,USD,850000,None,None,None,None,1023000,394000,None,None,None,4055000,529000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-9967000
ESTC,2017-04-30,USD,-16107000,None,None,None,None,3150000,843000,None,None,None,-20331000,59761000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-51968000
