SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
FFHL,2020-09-30,CNY,46343000,None,None,None,None,11234000,3491000,None,-1187000,None,-3491000,-35360000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13483000
FFHL,2020-06-30,CNY,28153000,None,None,None,None,11272000,1867000,None,-1844000,None,-1867000,-15639000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14057000
FFHL,2020-03-31,CNY,-2284000,None,None,None,None,6981000,364000,None,-679000,None,-364000,-13052000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12954000
FFHL,2019-12-31,CNY,18741000,None,None,None,None,7628000,36000,None,-2214000,None,-36000,-7251000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10342000
FFHL,2019-09-30,CNY,9899000,None,None,None,None,10198000,9315000,0,2138000,None,-9032000,631000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,3443000
FFHL,2019-06-30,CNY,20093000,None,None,None,None,11982000,2045000,0,491000,None,-2307000,-440000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,951000
FFHL,2019-03-31,CNY,5633000,None,None,None,None,12044000,1529000,0,-814000,None,-1184000,4716000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,-3374000
FFHL,2018-12-31,CNY,429308.72,None,None,None,None,0.05,4619000,0,0.02,None,680671.66,-0.18,None,None,None,None,0,0,None,None,None,None,0,None,0,0,-0.01
FFHL,2018-09-30,CNY,868.78,None,None,None,None,5006.02,1212.87,0,-5240.51,None,-11600.45,10618.47,None,None,None,None,0,0,None,None,None,None,0,None,0,0,-830.14
FFHL,2018-06-30,CNY,2469856.03,None,None,None,None,1645470.91,288542.29,0,773245.35,None,-5213257.35,5221355.73,None,None,None,None,0,0,None,None,None,None,0,None,0,0,-1298140.37
FFHL,2018-03-31,CNY,640872.54,None,None,None,None,1776132.47,29933.92,0,80726.06,None,8170209.38,-9218374.33,None,None,None,None,0,0,None,None,None,None,0,None,0,0,-1307061.54
FFHL,2017-12-31,USD,548357.85,None,None,None,None,1620944.56,114036.3,None,488727,None,2600703.89,-4927843.61,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-1556242.03
FFHL,2017-09-30,USD,1091000,None,None,None,None,10606000,595000,None,570000,None,-43487000,767000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-12076000
FFHL,2017-06-30,USD,78000,None,None,None,None,10747000,384000,None,43000,None,5983000,-16746000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-11645000
FFHL,2017-03-31,USD,11000,None,None,None,None,10981000,2000,None,33000,None,4247000,-20995000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-12157000
FFHL,2016-12-31,USD,-23228000,None,None,None,None,43193000,1616000,None,669000,None,-40568000,8660000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-54483000
FFHL,2016-09-30,USD,None,None,None,None,None,None,1465000,None,445000,None,None,6699000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
FFHL,2016-06-30,USD,None,None,None,None,None,None,635000,None,281000,None,None,1902000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
FFHL,2016-03-31,USD,None,None,None,None,None,None,263000,None,839000,None,None,396000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
FFHL,2015-12-31,USD,-26950000,None,None,None,None,44515000,240000,None,-2396000,None,3645000,8733000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-69065000
FFHL,2015-09-30,USD,None,None,None,None,None,None,182000,None,None,None,2677000,1566000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
