SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
FLDM,2020-12-31,USD,-3733000,4825000,None,13481000,8940000,6365000,10707000,8595000,1863000,-18026000,-822000,432000,None,None,None,None,None,None,None,None,None,None,679000,None,-4123000,None,-18026000
FLDM,2020-09-30,USD,-4599000,11000,None,3769000,11658000,3665000,339000,8088000,1881000,-5974000,13211000,20417000,None,None,None,None,None,None,None,None,None,None,20676000,None,29029000,None,-5999000
FLDM,2020-06-30,USD,-2790000,2606000,None,207000,-895000,4434000,641000,-4325000,2612000,-13060000,10126000,511000,None,None,None,None,None,None,None,None,None,None,645000,None,-13060000,None,-13015000
FLDM,2020-03-31,USD,-4295000,912000,None,2098000,-2562000,3108000,1030000,-4730000,2280000,-15980000,17460000,-503000,None,None,None,None,None,None,None,None,None,None,-146000,None,12662000,None,-15980000
FLDM,2019-12-31,USD,-5519000,969000,None,1234000,4349000,6577000,500000,5270000,-983000,-12685000,-551000,1784000,None,None,None,None,None,None,None,None,None,None,443000,None,-4286000,None,-12685000
FLDM,2019-09-30,USD,-4548000,1920000,None,-3063000,-3611000,2772000,1346000,-5615000,1631000,-12886000,6549000,-181000,None,None,None,None,None,None,None,None,None,None,1000,None,1820000,None,-12887000
FLDM,2019-06-30,USD,-5013000,None,None,2307000,415000,2800000,419000,-63000,1167000,-13796000,-35542000,1040000,None,None,None,None,None,None,None,None,None,None,1434000,None,-13796000,None,-13753000
FLDM,2019-03-31,USD,-20130000,3770000,None,-7553000,4591000,4837000,266000,2483000,874000,-25465000,-9757000,147000,None,None,None,None,None,None,None,None,None,None,255000,None,-29740000,-27000,-25465000
FLDM,2018-12-31,USD,-638000,None,None,-1719000,-3901000,8764000,20000,-1497000,-2308000,-14775000,-19000,59952000,None,None,None,None,None,None,None,None,None,None,60293000,None,59572000,277000,-14775000
FLDM,2018-09-30,USD,-4064000,None,None,3122000,1443000,9415000,198000,1471000,249000,-14763000,802000,-140000,None,None,None,None,None,None,None,None,None,None,1000,None,-3595000,-193000,-14750000
FLDM,2018-06-30,USD,-4323000,None,None,3356000,294000,2800000,77000,536000,32000,-16245000,4199000,-2094000,None,None,None,None,None,None,None,None,None,None,562000,None,-2548000,-330000,-16241000
FLDM,2018-03-31,USD,-16176000,None,None,-7115000,2286000,2800000,77000,1278000,539000,-13230000,-263000,-58000,None,None,None,None,None,None,None,None,None,None,24000,None,-16084000,413000,-13247000
FLDM,2017-12-31,USD,661000,None,None,3494000,-1173000,8700000,178000,1305000,-2494000,-10414000,-3879000,181000,None,None,None,None,None,None,None,None,None,None,209000,None,-2888000,149000,-10457000
FLDM,2017-09-30,USD,-7981000,None,None,-1963000,-3190000,2800000,554000,170000,-980000,-15987000,448000,28862000,None,None,None,None,None,None,None,None,None,None,28903000,None,21347000,18000,-15944000
FLDM,2017-06-30,USD,-8290000,None,None,865000,-802000,2800000,142000,-690000,-686000,-16960000,3589000,-49000,None,None,None,None,None,None,None,None,None,None,28906000,None,-4500000,250000,-16933000
FLDM,2017-03-31,USD,-8488000,None,None,1183000,-460000,2800000,692000,-231000,-436000,-17202000,17500000,3000,None,None,None,None,None,None,None,None,None,None,3000,None,9052000,37000,-17202000
FLDM,2016-12-31,USD,-10721000,None,None,1249000,1412000,7900000,694000,1552000,-749000,-17696000,13785000,-20000,None,None,None,None,None,None,None,None,None,None,-20000,None,2739000,-305000,-17696000
FLDM,2016-09-30,USD,-13231000,None,None,-4836000,-3242000,2800000,1709000,-6062000,3276000,-19788000,9821000,-38000,None,None,None,None,None,None,None,None,None,None,-38000,None,-3592000,-144000,-19789000
FLDM,2016-06-30,USD,-7354000,None,None,1483000,-1243000,2800000,1518000,-479000,-962000,-18617000,292000,129000,None,None,None,None,None,None,None,None,None,None,129000,None,-6956000,-23000,-18617000
FLDM,2016-03-31,USD,-7792000,None,None,179000,-3604000,2800000,1144000,-5532000,1822000,-19884000,21204000,5000,None,None,None,None,None,None,None,None,None,None,5000,None,13737000,320000,-19884000
