SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
FOGO,2017-12-31,USD,55441000,None,None,None,None,5044000,35866000,None,-512000,None,-10702000,-5036000,None,None,None,None,None,None,None,None,None,None,-36000,None,None,None,15627000
FOGO,2017-09-30,USD,9608000,None,None,None,None,4908000,7975000,-552000,304000,None,-7895000,216000,None,None,None,None,-3000,-3000,None,None,None,None,216000,None,3073000,1144000,2709000
FOGO,2017-06-30,USD,12624000,None,None,None,None,4894000,8149000,1684000,-130000,None,-8149000,-4093000,None,None,None,None,-93000,-93000,None,None,None,None,-93000,None,-1061000,-1443000,5414000
FOGO,2017-03-31,USD,12964000,None,None,None,None,4603000,9123000,1482000,-41000,None,-9123000,-3077000,None,None,None,None,-85000,-85000,None,None,None,None,8000,None,1836000,1072000,5039000
FOGO,2016-12-31,USD,19404000,None,None,None,None,5044000,10619000,-3590000,-512000,None,-10702000,-5251000,None,None,None,None,-42000,-42000,None,None,None,None,6000,None,3219000,-1288000,15653000
FOGO,2016-09-30,USD,11273000,None,None,None,None,4061000,7021000,-605000,262000,None,-7111000,-1331000,None,None,None,None,-217000,-217000,None,None,None,None,886000,None,2553000,-278000,4579000
FOGO,2016-06-30,USD,13411000,None,None,None,None,3979000,6790000,1439000,-106000,None,-6790000,-2190000,None,None,None,None,-215000,-215000,None,None,None,None,1025000,None,6092000,1661000,6190000
FOGO,2016-03-31,USD,12005000,None,None,None,None,3842000,11348000,3492000,278000,None,-11700000,-5239000,None,None,None,None,-242000,-242000,None,None,None,None,3000,None,-3499000,1435000,5970000
FOGO,2015-12-31,USD,37361000,None,None,None,None,None,35172000,None,123000,None,None,5834000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12941000
FOGO,2015-09-30,USD,13113000,None,None,None,None,None,14527000,None,575000,None,None,6192000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7798000
FOGO,2015-06-30,USD,5482000,None,None,None,None,None,7034000,None,96000,None,None,7697000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2461000
FOGO,2015-03-31,USD,1987000,None,None,None,None,None,3264000,None,363000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4665000
FOGO,2014-12-31,USD,34053000,None,None,None,None,None,17448000,None,575000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6790000
FOGO,2014-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4318000
FOGO,2014-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3685000
FOGO,2014-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2762000
FOGO,2013-12-31,USD,32340000,None,None,None,None,None,30944000,None,None,None,None,4421000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
FOGO,2013-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1679000
FOGO,2013-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2420000
