SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
GMS,2021-01-31,USD,44448000,25865000,None,4720000,-9864000,25562000,6012000,-27489000,23441000,16126000,-5499000,-7757000,0,778000,778000,None,None,None,None,None,None,None,2015000,None,31192000,None,16126000
GMS,2020-10-31,USD,39759000,None,None,None,None,27245000,7100000,-3124000,14958000,28469000,-6563000,-55076000,None,None,None,None,None,None,None,None,None,None,-1050000,None,55714000,None,28469000
GMS,2020-07-31,USD,-15711000,26825000,None,-69949000,12787000,27097000,4745000,23013000,-14008000,27219000,-4613000,-51819000,-43662000,None,None,None,None,None,None,None,None,None,691000,None,-72143000,None,27219000
GMS,2020-04-30,USD,167712000,28922000,None,87179000,-22380000,28318000,4309000,-24863000,4896000,-41456000,-6712000,10037000,77453000,None,None,None,None,None,None,None,None,None,3513000,None,171037000,None,-41456000
GMS,2020-01-31,USD,65440000,29469000,None,-23689000,-47647000,29422000,6247000,-46493000,1483000,10879000,-16174000,-44366000,-37971000,None,None,None,None,None,None,None,None,None,1519000,None,4900000,None,10879000
GMS,2019-10-31,USD,284493000,30151000,None,17413000,1988000,29518000,8746000,6702000,-1782000,284493000,-7922000,-62350000,-8911000,None,None,None,None,None,None,None,None,None,6628000,None,284493000,None,29138000
GMS,2019-07-31,USD,273654000,30669000,None,-35873000,24571000,29275000,5891000,23230000,-18000,273654000,-16292000,5345000,12703000,None,None,None,None,None,None,None,None,None,133000,None,273654000,None,24820000
GMS,2019-04-30,USD,88178000,20711000,None,65905000,23990000,30130000,5385000,36829000,-16713000,16625000,-8486000,-105716000,-93925000,None,None,None,None,None,None,None,0,None,-3748000,None,-26024000,None,16625000
GMS,2019-01-31,USD,36035000,16458000,None,-21646000,-47625000,30220000,4229000,-68598000,7023000,5815000,-4771000,-33893000,-15573000,None,None,None,None,None,None,None,0,None,-11207000,None,36035000,None,5815000
GMS,2018-10-31,USD,268150000,21186000,None,24607000,-6676000,30787000,5363000,4381000,-16390000,268150000,-8409000,-68703000,-61931000,None,None,None,None,None,None,None,0,None,542000,None,268150000,None,24912000
GMS,2018-07-31,USD,244816000,12680000,None,-35419000,62072000,26322000,3793000,40974000,20943000,244816000,-579026000,627282000,215401000,None,None,None,None,None,None,None,996840000,None,431000,None,244816000,None,8650000
GMS,2018-04-30,USD,24883000,7421000,None,23992000,41025000,15982000,10333000,26297000,11157000,9919000,-14607000,-2778000,1000,None,None,None,None,None,None,None,0,None,347000,None,7498000,None,205792000
GMS,2018-01-31,USD,34370000,7088000,None,-11101000,-13346000,16490000,4966000,-36382000,16251000,19686000,-9713000,-15499000,-12000000,None,None,None,None,None,None,None,0,None,None,None,9158000,None,19686000
GMS,2017-10-31,USD,23510000,7312000,None,16812000,14572000,16713000,2931000,8924000,4048000,18023000,-17678000,-5787000,-1400000,None,None,None,None,None,None,None,0,None,None,None,45000,None,18023000
GMS,2017-07-31,USD,5853000,6792000,None,-18574000,22425000,16345000,5511000,12913000,3318000,15343000,-7211000,6533000,-89953000,None,None,None,None,None,None,None,577616000,None,None,None,5175000,None,15343000
GMS,2017-04-30,USD,43924000,6405000,None,3416000,29004000,17761000,4183000,17221000,-7318000,14272000,-12211000,-14198000,-17469000,None,None,None,None,None,None,None,None,None,None,None,3959000,None,14273000
GMS,2017-01-31,USD,76795000,6875000,None,10438000,-5553000,18316000,1876000,-16137000,12264000,8227000,-5987000,-35447000,-31575000,None,None,None,None,None,None,None,None,None,None,None,-5785000,None,8227000
GMS,2016-10-31,USD,34592000,None,None,None,None,17368000,2417000,None,-3657000,17224000,None,135942000,None,None,None,None,None,None,None,None,None,None,None,None,6559000,None,17224000
GMS,2016-07-31,USD,-64994000,None,None,None,None,15795000,2607000,None,17101000,9163000,-25044000,46420000,None,None,None,None,None,None,None,None,None,None,None,None,-9244000,None,9163000
