SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
GNTY,2020-12-31,USD,14315000,44683000,None,None,-5629000,1411000,754000,-1301000,None,9915000,75642000,68463000,111000,2817000,2817000,None,2201000,-2201000,None,None,100000000,None,-2251000,None,158420000,None,9915000
GNTY,2020-09-30,USD,13358000,58362000,None,None,-160000,1387000,1267000,3802000,None,10134000,4087000,-15068000,8106000,633000,633000,None,2092000,-2092000,None,None,90000000,None,-633000,None,2377000,None,10134000
GNTY,2020-06-30,USD,5218000,50335000,None,None,1662000,1344000,1827000,-8184000,None,1075000,-225041000,263889000,-12429000,2660000,2660000,None,2118000,-2118000,None,None,150000000,None,-2660000,None,1075000,None,1075000
GNTY,2020-03-31,USD,9630000,29932000,None,None,467000,1324000,2054000,1775000,None,6278000,-20456000,67040000,20743000,10817000,10817000,None,2076000,-2076000,None,None,60000000,None,-10745000,None,56214000,None,6278000
GNTY,2019-12-31,USD,11223000,27702000,None,None,-2253000,1310000,1447000,-3289000,None,7369000,37412000,-16569000,-263000,73000,73000,None,4091000,-4091000,None,None,104500000,None,299000,None,32066000,None,7369000
GNTY,2019-09-30,USD,14304000,28585000,None,None,-1121000,1302000,1310000,5475000,None,7530000,-33700000,-14391000,549000,870000,870000,None,1961000,-1961000,None,None,45000000,None,-798000,None,-33787000,None,7530000
GNTY,2019-06-30,USD,-3806000,29226000,None,None,2147000,1301000,1179000,-9592000,None,6043000,-26755000,14692000,-728000,7265000,7265000,None,0,None,None,None,55000000,None,-7265000,None,10000000,None,6043000
GNTY,2019-03-31,USD,10325000,19734000,None,None,-1050000,1351000,1154000,-9826000,None,5337000,5303000,21166000,-686000,1932000,1932000,None,2013000,-2013000,None,None,56000000,None,-1451000,None,36794000,None,5337000
GNTY,2018-12-31,USD,6252000,21451000,None,None,532000,1290000,-91000,-785000,None,6512000,-3968000,15175000,1121000,4256000,4256000,None,2014000,-2014000,None,None,66000000,None,-4069000,None,17459000,None,6512000
GNTY,2018-09-30,USD,9354000,26325000,None,None,-1542000,1218000,381000,-705000,2941000,5091000,-47503000,-6780000,-1481000,None,None,None,1794000,-1794000,None,None,105000000,None,85000,None,-44929000,None,5091000
GNTY,2018-06-30,USD,3740000,27145000,None,None,-424000,1083000,484000,-5150000,1399000,4634000,-10352000,18981000,193000,None,None,None,1675000,-1675000,None,None,200000000,None,46000,None,12369000,None,4634000
GNTY,2018-03-31,USD,8868000,19951000,None,None,-975000,1037000,2059000,685000,975000,4359000,-46911000,33226000,-484000,None,None,None,1548000,-1548000,None,None,20000000,None,None,None,-4817000,None,4359000
GNTY,2017-12-31,USD,6445000,19498000,None,None,-1995000,1028000,642000,None,2648000,2808000,-47502000,37424000,-41000,None,None,None,1549000,-5562000,None,None,None,None,55755000,None,-3633000,None,2808000
GNTY,2017-09-30,USD,4981000,25955000,None,None,376000,1044000,365000,-1081000,653000,4139000,-981000,7755000,-1233000,None,None,None,1437000,-1437000,None,None,None,None,55755000,None,11755000,None,4139000
GNTY,2017-06-30,USD,6007000,None,None,None,None,2302000,499000,496000,1029000,3976000,-72456000,5998000,None,None,None,None,-2576000,-2576000,None,None,None,None,55815000,None,-60451000,None,3976000
