SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
GRUB,2020-12-31,USD,-20468000,18510000,None,14014000,47948000,22457000,9767000,35607000,None,-67785000,-15038000,-10042000,None,None,None,None,None,None,None,None,0,None,2104000,None,-45548000,None,-67785000
GRUB,2020-09-30,USD,-35399000,None,None,-65390000,8694000,22569000,11432000,3942000,None,-9238000,-38551000,-5943000,None,None,None,None,None,None,None,None,0,None,3817000,None,-79893000,None,-9238000
GRUB,2020-06-30,USD,153335000,None,None,95184000,-61731000,11500000,22122000,-62605000,None,-45411000,-49587000,-179649000,None,None,None,None,None,None,None,None,0,None,2253000,None,-45411000,None,-45411000
GRUB,2020-03-31,USD,37526000,None,None,55897000,39246000,21358000,19678000,34644000,None,-33427000,-21571000,168363000,None,None,None,None,None,None,None,None,175000000,None,1414000,None,184318000,None,-33427000
GRUB,2019-12-31,USD,26618000,None,None,3860000,1888000,21972000,12465000,-11000,None,-27718000,-43865000,-2821000,None,None,None,None,None,None,None,None,None,None,429000,None,-20068000,None,-27718000
GRUB,2019-09-30,USD,86215000,None,None,30604000,-10209000,21539000,19562000,-7307000,None,1010000,-46572000,-4215000,None,None,None,None,None,None,None,None,None,None,1110000,None,35428000,None,1010000
GRUB,2019-06-30,USD,55845000,None,None,-10664000,-14196000,11900000,15122000,-18387000,None,1252000,-33494000,147523000,None,None,None,None,None,None,None,None,None,None,506000,None,1252000,None,1252000
GRUB,2019-03-31,USD,13944000,None,None,7711000,41973000,18093000,8018000,31307000,None,6890000,-24486000,-11220000,None,None,None,None,None,None,None,None,None,None,2424000,None,-21762000,None,6890000
GRUB,2018-12-31,USD,60065000,None,None,6351000,-15239000,16985000,11049000,-16054000,None,-5150000,-181005000,39257000,47000000,None,None,None,None,None,None,None,None,None,1180000,None,-81683000,None,-5150000
GRUB,2018-09-30,USD,49445000,None,None,20833000,36281000,15791000,12718000,29272000,None,22745000,-366194000,167749000,None,None,None,None,None,None,None,None,None,None,3052000,None,-149000000,None,22745000
GRUB,2018-06-30,USD,30120000,None,None,-14975000,3078000,9600000,13804000,-1852000,None,30120000,-43463000,169997000,None,None,None,None,None,None,None,None,None,None,203010000,None,30120000,None,30120000
GRUB,2018-03-31,USD,119186000,None,None,10078000,-402000,16883000,5462000,-3918000,None,30766000,-3342000,-30318000,None,None,None,None,None,None,None,None,None,None,6948000,None,85526000,None,30766000
GRUB,2017-12-31,USD,96383000,None,None,6122000,14403000,15613000,6422000,15725000,None,53526000,-251781000,173535000,None,None,None,None,None,None,None,None,None,None,3870000,None,-31868000,71000,53526000
GRUB,2017-09-30,USD,54544000,None,None,13389000,13523000,9257000,5258000,12892000,None,12988000,-68001000,1739000,None,None,None,None,None,None,None,None,None,None,4197000,None,-27311000,274000,12988000
GRUB,2017-06-30,USD,14754000,None,None,-17961000,-2969000,5100000,4235000,-2505000,None,14754000,-3115000,4889000,None,None,None,None,None,None,None,None,None,None,6724000,None,14754000,292000,14754000
GRUB,2017-03-31,USD,92955000,None,None,20054000,-1236000,7712000,3056000,1721000,None,17715000,-14065000,-2104000,None,None,None,None,None,None,None,None,None,None,1584000,None,35509000,88000,17715000
GRUB,2016-12-31,USD,54811000,None,None,3463000,1080000,8154000,7004000,-4811000,None,13637000,23951000,2872000,None,0,None,None,None,None,None,None,None,None,1654000,None,61690000,-378000,13637000
GRUB,2016-09-30,USD,35717000,None,None,4819000,10136000,7640000,8721000,10577000,None,13182000,7859000,12016000,None,0,None,None,None,None,None,None,None,None,8936000,None,44914000,-201000,13182000
GRUB,2016-06-30,USD,12805000,None,None,-3137000,4945000,5700000,5103000,1766000,None,12805000,-91704000,3287000,None,5003000,None,None,None,None,None,None,None,None,-3137000,None,12805000,-498000,12805000
GRUB,2016-03-31,USD,27345000,None,None,7468000,10092000,7308000,3259000,9956000,None,9933000,14375000,1169000,None,9771000,None,None,None,None,None,None,None,None,-8759000,None,34019000,-191000,9933000
