SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
GTS,2020-12-31,USD,34164000,None,None,None,None,4739000,5324000,57306000,None,None,19061000,-71839000,None,None,None,None,None,None,None,None,None,None,-2000,None,-18614000,None,26150000
GTS,2020-09-30,USD,53399000,None,None,None,None,3992000,6622000,3679000,None,None,-114553000,49686000,None,None,None,None,None,None,None,None,None,None,2000,None,-11468000,None,23578000
GTS,2020-06-30,USD,163764000,None,None,None,None,4431000,41340000,80418000,None,None,-70850000,-56423000,None,None,None,None,None,None,None,None,None,None,-5993000,None,36491000,None,43589000
GTS,2020-03-31,USD,6518000,None,None,None,None,4583000,4587000,-58059000,None,None,-85684000,73909000,None,None,None,None,None,None,None,None,None,None,-8989000,None,-5257000,None,-26152000
GTS,2019-12-31,USD,-13371000,None,None,None,None,4713000,6074000,24190000,None,None,-23149000,47425000,None,None,None,None,-11000,-11000,None,None,None,None,-9988000,None,10905000,None,13222000
GTS,2019-09-30,USD,-29760000,None,None,None,None,4321000,4087000,-1011000,None,None,-29209000,-8371000,None,None,None,None,-11000,-11000,None,None,None,None,-1000,None,-67340000,None,13946000
GTS,2019-06-30,USD,96205000,None,None,None,None,4071000,7691000,59676000,None,None,813000,-26562000,None,None,None,None,-11000,-11000,None,None,None,None,-1000,None,70456000,None,30926000
GTS,2019-03-31,USD,-69900000,None,None,None,None,3821000,2968000,-41002000,None,None,13252000,34920000,None,None,None,None,-11000,-11000,None,None,None,None,-1000,None,-21728000,None,34783000
GTS,2018-12-31,USD,11387000,None,None,None,None,3831000,7525000,216000,None,None,32659000,-33593000,None,None,None,None,None,None,None,None,None,None,13000,None,10453000,None,-10907000
GTS,2018-09-30,USD,-134651000,None,None,None,None,3578000,3199000,103803000,0,None,-14504000,267000,None,None,None,None,0,0,None,None,None,None,-5995000,None,-148888000,None,-17567000
GTS,2018-06-30,USD,250000,None,None,None,None,4753000,4255000,32182000,0,None,29810000,13309000,None,None,None,None,0,0,None,None,None,None,-2136000,None,43369000,None,-38746000
GTS,2018-03-31,USD,130473000,None,None,None,None,5349000,4861000,123360000,0,None,-80819000,-35985000,None,None,None,None,0,0,None,None,None,None,-14259000,None,13669000,None,3914000
GTS,2017-12-31,USD,97069000,None,None,None,None,6081000,5410000,32226000,0,None,-162614000,-5456000,None,None,None,None,0,0,None,None,None,None,-7667000,None,-71001000,None,24208000
GTS,2017-09-30,USD,58144000,None,None,None,None,5990000,7245000,-621572000,0,None,38692000,580000,None,None,None,None,0,0,None,None,None,None,-12553000,None,97416000,None,21911000
GTS,2017-06-30,USD,2740000,None,None,None,None,5895000,5409000,-21815000,0,None,-49625000,527000,None,None,None,None,0,0,None,None,None,None,0,None,-46358000,None,12705000
GTS,2017-03-31,USD,130965000,None,None,None,None,5346000,3295000,-3263000,0,None,-2924000,-12585000,None,None,None,None,0,0,None,None,None,None,0,None,115456000,None,-4343000
GTS,2016-12-31,USD,-76540000,None,None,None,None,5993000,1233000,48496000,0,None,4316000,10129000,None,None,None,None,0,0,None,None,None,None,0,None,-62095000,None,12042000
GTS,2016-09-30,USD,93576000,None,None,None,None,5517000,801000,9773000,0,None,-9801000,-14392000,None,None,None,None,0,0,None,None,None,None,-6811000,None,69383000,None,-1944000
GTS,2016-06-30,USD,-41825000,None,None,None,None,5645000,1251000,-27902000,0,None,29775000,-4276000,None,None,None,None,0,0,None,None,None,None,-6533000,None,-16326000,None,3880000
GTS,2016-03-31,USD,31260000,None,None,None,None,5636000,1465000,-35687000,0,None,-110589000,-6023000,None,None,None,None,0,0,None,None,None,None,-8027000,None,-85352000,None,3455000
GTS,2015-12-31,USD,57624000,None,None,None,None,6246000,3466000,-4584000,0,None,-27682000,-26581000,None,None,None,None,0,0,None,None,None,None,-7304000,None,3361000,None,14161000
