SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
GWB,2020-12-31,USD,88596000,142341000,137530000,510000,-33482000,4778000,2110000,-7060000,None,41319000,236932000,303381000,14849000,None,None,None,550000,550000,None,None,None,None,None,None,628909000,None,41319000
GWB,2020-09-30,USD,19794000,294065000,275066000,-25526000,-79405000,13202000,1120000,-3296000,None,11136000,408719000,-307211000,-4856000,None,0,None,550000,550000,None,None,75000000,None,-39983000,None,121302000,None,11136000
GWB,2020-06-30,USD,12097000,79155000,53244000,7238000,19264000,4779000,1127000,8597000,None,5400000,-571827000,523829000,5553000,None,0,None,8252000,8252000,None,None,30000000,None,-39983000,None,-35901000,None,5400000
GWB,2020-03-31,USD,-27882000,1416000,69711000,-10784000,58493000,4426000,1828000,-5619000,None,-740618000,-129411000,257358000,-1480000,None,39983000,None,16769000,16769000,None,None,400000000,None,-39983000,None,-742034000,None,-740618000
GWB,2019-12-31,USD,78455000,133786000,108816000,23674000,-7282000,3947000,2033000,-3722000,None,43274000,-76872000,2364000,-2703000,None,0,None,16885000,16885000,None,None,250000000,None,None,None,3947000,None,43274000
GWB,2019-09-30,USD,43425000,161222000,119338000,2791000,-23612000,5240000,3663000,1349000,None,50285000,199945000,-225252000,12067000,None,19692000,None,17052000,17052000,None,None,15000000,None,-94351000,None,18118000,None,50285000
GWB,2019-06-30,USD,33896000,119987000,71013000,27926000,48953000,2499000,6027000,1129000,None,26783000,-166078000,74900000,-5612000,None,0,None,17081000,17081000,None,None,330000000,None,-74659000,None,-57282000,None,26783000
GWB,2019-03-31,USD,33994000,116394000,47961000,-22093000,1209000,3615000,3632000,-3908000,None,44511000,-239946000,211830000,5888000,None,0,None,14235000,14235000,None,None,250000000,None,-74659000,None,44511000,None,44511000
GWB,2018-12-31,USD,80344000,77759000,55446000,-5675000,-30584000,2301000,2321000,1181000,None,45786000,-492389000,390109000,-34258000,None,74659000,None,14536000,14536000,None,None,215000000,None,-74659000,None,-21936000,None,45786000
GWB,2018-09-30,USD,29743000,107699000,77941000,12108000,4384000,3597000,8386000,6969000,8829000,42280000,-84518000,58857000,-14571000,None,None,None,14728000,14728000,None,None,0,None,None,None,4082000,None,42280000
GWB,2018-06-30,USD,53499000,110506000,74330000,3486000,5146000,3553000,2195000,2626000,5575000,45874000,-100315000,-30319000,2187000,None,None,None,14724000,14724000,None,None,-269999000,None,None,None,-77135000,None,45874000
GWB,2018-03-31,USD,41852000,103770000,68962000,-16124000,-8020000,2429000,1828000,-5464000,8341000,40532000,-135172000,167473000,-13593000,None,None,None,11780000,11780000,None,None,None,None,None,None,74153000,None,40532000
GWB,2017-12-31,USD,57335000,62192000,52110000,-2212000,-4567000,3514000,1469000,1641000,3634000,29230000,-213306000,93171000,-15752000,None,None,None,11770000,11770000,None,None,None,None,None,None,-62800000,None,29230000
GWB,2017-09-30,USD,46274000,98481000,71620000,2980000,4540000,1037000,1430000,7698000,15096000,37661000,-196689000,182910000,364985000,None,None,None,11752000,11752000,None,None,None,None,-5605000,None,32495000,None,37661000
GWB,2017-06-30,USD,49308000,98728000,68234000,9641000,6514000,3203000,2149000,1788000,8796000,35060000,-118979000,61643000,-621000,None,None,None,11752000,11752000,None,None,None,None,None,None,-8028000,None,35060000
GWB,2017-03-31,USD,43297000,87071000,55391000,-15603000,-13452000,3994000,1890000,-5667000,13196000,35162000,111282000,-88818000,-18269000,None,None,None,9989000,9989000,None,None,None,None,None,None,65761000,None,35162000
GWB,2016-12-31,USD,-7370000,107688000,94866000,-62884000,-6648000,5365000,940000,-174000,6998000,36903000,-174807000,-72266000,1053000,None,None,None,9981000,9981000,None,None,None,None,None,None,-254443000,None,36903000
GWB,2016-09-30,USD,49627000,130864000,126402000,-12602000,-12098000,4432000,8796000,5984000,5002000,33758000,-57737000,56936000,-17328000,None,None,None,8218000,8218000,None,None,None,None,None,None,48826000,None,33758000
GWB,2016-06-30,USD,29902000,97436000,64217000,14010000,11571000,3567000,1835000,-57000,None,26360000,-65554000,337036000,-92912000,None,None,None,7734000,7734000,None,None,None,None,None,None,301384000,None,26360000
GWB,2016-03-31,USD,66305000,84347000,49158000,23627000,-2719000,4157000,2580000,-2449000,3949000,30674000,-24393000,-80221000,-41598000,None,None,None,7734000,7734000,None,None,None,None,None,None,-38309000,None,30674000
