SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
HCLP,2019-12-31,USD,None,None,None,None,None,8411000,5366000,None,3606000,None,None,-3311000,None,None,None,None,0,0,None,None,None,None,-258000,None,None,None,-21371000
HCLP,2019-09-30,USD,None,None,None,None,None,16625000,8395000,None,-3003000,None,None,727000,None,None,None,None,0,0,None,None,None,None,-12000,None,None,None,-268497000
HCLP,2019-06-30,USD,None,None,None,None,None,18338000,17646000,None,-1933000,None,None,-7570000,None,None,None,None,0,0,None,None,None,None,-3151000,None,None,None,-117484000
HCLP,2019-03-31,USD,-8607000,None,None,None,None,15590000,40289000,None,11534000,None,-43478000,-1780000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-6207000
HCLP,2018-12-31,USD,49563000,None,None,None,None,11696000,74756000,None,15058000,None,-81474000,-31324000,None,None,None,None,-15031000,-15031000,None,None,None,None,None,None,None,None,-10907000
HCLP,2018-09-30,USD,51047000,None,None,None,None,11580000,30162000,None,-12404000,None,-64824000,163774000,None,None,None,None,-74917000,-74917000,None,None,None,None,None,None,None,None,26545000
HCLP,2018-06-30,USD,69308000,None,None,None,None,11025000,24755000,None,-8377000,None,-32833000,-21155000,None,None,None,None,-19888000,-19888000,None,None,None,None,None,None,None,None,68008000
HCLP,2018-03-31,USD,67385000,None,None,None,None,8346000,11873000,None,7279000,None,-9006000,-53928000,None,None,None,None,-17809000,-17809000,None,None,None,None,-9426000,None,None,None,53949000
HCLP,2017-12-31,USD,96269000,None,None,None,None,31595000,122032000,None,-14529000,None,-470022000,374894000,None,None,None,None,-13656000,-13656000,None,None,None,None,0,None,None,None,43178000
HCLP,2017-09-30,USD,63073000,None,None,None,None,0,108116000,None,18475000,None,-453106000,409418000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,29807000
HCLP,2017-06-30,USD,24545000,None,None,None,None,0,67930000,None,9178000,None,-412314000,410738000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,16380000
HCLP,2017-03-31,USD,3706000,None,None,None,None,0,20380000,None,1866000,None,-364615000,411886000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-6831000
HCLP,2016-12-31,USD,-27985000,None,None,None,None,19151000,42591000,None,3946000,None,-127840000,146324000,None,None,None,None,-13656000,-13656000,None,None,None,None,0,None,None,None,-84519000
HCLP,2016-09-30,USD,-17603000,None,None,None,None,0,36990000,None,6054000,None,-116401000,147736000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-73810000
HCLP,2016-06-30,USD,-5004000,None,None,None,None,0,11377000,None,3966000,None,-11377000,45624000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-62385000
HCLP,2016-03-31,USD,-1157000,None,None,None,None,0,1856000,None,6265000,None,-1856000,-1761000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-51494000
HCLP,2015-12-31,USD,87316000,None,None,None,None,18698000,62236000,None,-6954000,None,-126526000,33509000,None,None,None,None,-70072000,-70072000,None,None,None,None,0,None,None,None,10677000
HCLP,2015-09-30,USD,67138000,None,None,None,None,0,48267000,None,5565000,None,-47576000,-19173000,None,None,None,None,-70072000,-70072000,None,None,None,None,0,None,None,None,17027000
HCLP,2015-06-30,USD,58027000,None,None,None,None,0,39633000,None,2842000,None,-39633000,-16117000,None,None,None,None,-52516000,-52516000,None,None,None,None,0,None,None,None,9981000
HCLP,2015-03-31,USD,36307000,None,None,None,None,0,21772000,None,3115000,None,-21772000,-14268000,None,None,None,None,-26255000,-26255000,None,None,None,None,0,None,None,None,23685000
HCLP,2014-12-31,USD,104370000,None,None,None,None,14290000,40465000,None,-1738000,None,-306431000,144383000,None,None,None,None,-77421000,-77421000,None,None,None,None,0,None,None,None,38128000
