SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
HEES,2020-12-31,USD,68923000,40220000,None,17320000,11138000,7071000,1381000,11941000,1809000,-14617000,10315000,219647000,1232014000,29000,29000,None,9927000,-9927000,None,None,None,None,-29000,None,298885000,None,-14617000
HEES,2020-09-30,USD,56627000,27902000,None,-2503000,3788000,7519000,3772000,21495000,-4685000,10103000,9589000,-60470000,-49575000,906000,906000,None,9927000,-9927000,None,None,None,None,-906000,None,5746000,None,10103000
HEES,2020-06-30,USD,126004000,2097000,None,4569000,-43787000,7371000,3442000,-21648000,-20974000,8815000,-4895000,-127298000,-117360000,0,0,None,9878000,-9878000,None,None,None,None,0,None,8815000,None,8815000
HEES,2020-03-31,USD,34462000,29305000,None,9558000,29171000,7398000,10069000,-21116000,33371000,-36968000,6082000,-42351000,-31958000,470000,470000,None,9863000,-9863000,None,None,None,None,-470000,None,-1807000,None,-36968000
HEES,2019-12-31,USD,111611000,25055000,None,-26460000,-12499000,7584000,11660000,-11267000,-19994000,21923000,-10746000,-97214000,-87252000,44000,44000,None,9858000,-9858000,None,None,None,None,-44000,None,3651000,None,21923000
HEES,2019-09-30,USD,72655000,30358000,None,-33436000,-19316000,7214000,12883000,6809000,-16366000,28431000,-79010000,10250000,21421000,1253000,1253000,None,9860000,-9860000,None,None,None,None,-1253000,None,3895000,None,28431000
HEES,2019-06-30,USD,30895000,3473000,None,3081000,4366000,7148000,11347000,12841000,-2065000,30895000,-102759000,7134000,17063000,0,0,None,9838000,-9838000,None,None,None,None,0,None,30895000,None,22614000
HEES,2019-03-31,USD,19352000,29481000,None,13566000,37597000,6479000,7221000,-17605000,58062000,19352000,-133388000,84085000,94886000,387000,387000,None,9832000,-9832000,None,None,None,None,-387000,None,19352000,None,14243000
HEES,2018-12-31,USD,177303000,2949000,None,17096000,-4875000,6226000,7922000,10936000,-8125000,6715000,-39434000,-58163000,-48257000,27000,27000,None,9827000,-9827000,None,None,None,None,-27000,None,-219109000,None,25060000
HEES,2018-09-30,USD,28971000,29435000,None,-69764000,-38759000,6282000,7477000,15946000,-47276000,28971000,-112254000,75153000,86355000,None,None,None,9828000,-9828000,None,None,None,None,-1323000,None,28971000,None,21314000
HEES,2018-06-30,USD,27869000,1407000,None,14342000,19854000,6201000,15056000,13293000,14957000,27869000,-228401000,122787000,132663000,None,None,None,9815000,-9815000,None,None,None,None,None,None,27869000,None,20771000
HEES,2018-03-31,USD,13068000,28633000,None,45406000,64041000,5884000,4505000,-22414000,88674000,13068000,-146151000,-9949000,0,None,None,None,9804000,-9804000,None,None,None,None,None,None,13068000,None,9478000
HEES,2017-12-31,USD,95206000,-1385000,None,8244000,75382000,5698000,6513000,24201000,-7159000,85928000,-26400000,116288000,761303000,None,None,None,9803000,-9803000,None,None,None,None,-30000,None,159694000,None,85928000
HEES,2017-09-30,USD,75570000,24939000,None,518000,3793000,5977000,3865000,12537000,-10655000,8462000,-50742000,-13755000,32345000,None,None,None,9804000,-9804000,None,None,None,None,-753000,None,-811000,None,8462000
HEES,2017-06-30,USD,9878000,2246000,None,6177000,-62000,6020000,6333000,2926000,4783000,9878000,-62801000,2656000,12492000,None,None,None,9782000,-9782000,None,None,None,None,None,None,1955000,None,9878000
HEES,2017-03-31,USD,33880000,23746000,None,35471000,44864000,6095000,5804000,348000,44802000,5390000,-13132000,-20118000,-10282000,None,None,None,9783000,-9783000,None,None,None,None,None,None,-2643000,None,5390000
HEES,2016-12-31,USD,102551000,2314000,None,-8780000,-2057000,6961000,6142000,1618000,-19487000,12430000,-9961000,-56966000,-47120000,None,None,None,9779000,-9779000,None,None,None,None,-15000,None,649000,None,12430000
HEES,2016-09-30,USD,82937000,23965000,None,-40856000,-45138000,6857000,5288000,1338000,-37247000,29331000,-70024000,24879000,35258000,None,None,None,29283000,-9782000,None,None,None,None,-546000,None,-3319000,None,11665000
HEES,2016-06-30,USD,7503000,1864000,None,22675000,21939000,6762000,6499000,-6537000,33560000,7503000,-37019000,-6347000,3456000,None,None,None,-9749000,-9752000,None,None,None,None,None,None,5621000,None,2761000
HEES,2016-03-31,USD,4325000,24351000,None,-716000,14294000,6702000,4966000,-573000,18907000,-2146000,2594000,-23611000,-13809000,None,None,None,9753000,-9753000,None,None,None,None,None,None,-2427000,None,5574000
