SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
HPY,2015-12-31,USD,189794000,None,None,None,None,None,54345000,None,None,None,None,None,None,None,None,None,-14671000,-14671000,None,None,None,None,None,None,None,None,22707000
HPY,2015-09-30,USD,139861000,None,None,None,None,None,42734000,None,1896000,None,None,None,None,None,None,None,-10995000,-10995000,None,None,None,None,None,None,None,None,23881000
HPY,2015-06-30,USD,77332000,None,None,None,None,None,29157000,None,1202000,None,None,None,None,None,None,None,-7320000,-7320000,None,None,None,None,None,None,None,None,20906000
HPY,2015-03-31,USD,20951000,None,None,None,None,None,15909000,None,926000,None,None,29906000,None,None,None,None,-3656000,-3656000,None,None,None,None,None,None,None,None,17238000
HPY,2014-12-31,USD,92997000,None,None,None,None,None,54913000,None,None,None,None,353051000,None,None,None,None,-12331000,-12331000,None,None,None,None,None,None,None,None,None
HPY,2014-09-30,USD,51528000,None,None,None,None,None,39140000,None,None,None,None,365340000,None,None,None,None,-9249000,-9249000,None,None,None,None,None,None,None,None,20458000
HPY,2014-06-30,USD,34222000,None,None,None,None,None,25952000,None,740000,None,None,None,None,None,None,None,-6153000,-6153000,None,None,None,None,None,None,None,None,17452000
HPY,2014-03-31,USD,15206000,None,None,None,None,None,12846000,None,163000,None,None,2081000,None,None,None,None,-3102000,-3102000,None,None,None,None,None,None,None,None,15740000
HPY,2013-12-31,USD,112126000,None,None,None,None,None,52924000,None,None,None,None,None,None,None,None,None,-10321000,-10321000,None,None,None,None,None,None,None,None,17405000
HPY,2013-09-30,USD,87404000,None,None,None,None,None,36929000,None,None,None,None,None,None,None,None,None,-7735000,-7735000,None,None,None,None,None,None,None,None,21981000
HPY,2013-06-30,USD,28694000,None,None,None,None,None,23445000,None,None,None,None,None,None,None,None,None,-5151000,-5151000,None,None,None,None,None,None,None,None,19681000
HPY,2013-03-31,USD,None,None,None,None,None,None,11351000,None,None,None,7591000,None,None,None,None,None,-2580000,-2580000,None,None,None,None,None,None,None,None,19559000
HPY,2012-12-31,USD,171840000,None,None,None,None,None,34549000,None,1460000,None,None,None,None,None,None,None,-9238000,-9238000,None,None,None,None,None,None,None,None,14954000
HPY,2012-09-30,USD,98678000,None,None,None,None,None,25029000,None,1685000,None,None,None,None,None,None,None,-7012000,-7012000,None,None,None,None,None,None,None,None,19380000
HPY,2012-06-30,USD,47321000,None,None,None,None,None,16420000,None,383000,None,None,None,None,None,None,None,-4680000,-4680000,None,None,None,None,None,None,None,None,17801000
HPY,2012-03-31,USD,25166000,None,None,None,None,None,7361000,None,792000,None,None,None,None,None,None,None,-2336000,-2336000,None,None,None,None,None,None,None,None,13754000
HPY,2011-12-31,USD,107166000,None,None,None,None,None,36543000,None,None,None,None,None,None,None,None,None,-6232000,-6232000,None,None,None,None,None,None,None,None,11220000
HPY,2011-09-30,USD,75481000,None,None,None,None,None,28983000,None,None,None,None,None,None,None,None,None,-4665000,-4665000,None,None,None,None,None,None,None,None,12646000
HPY,2011-06-30,USD,53993000,None,None,None,None,None,20365000,None,1093000,None,None,None,None,None,None,None,-3095000,-3095000,None,None,None,None,None,None,None,None,12258000
HPY,2011-03-31,USD,31834000,None,None,None,None,None,9071000,None,None,None,None,None,None,None,None,None,-1540000,-1540000,None,None,None,None,None,None,None,None,7815000
HPY,2010-12-31,USD,None,None,None,None,None,None,23279000,None,1331000,None,None,63012000,None,None,None,None,-1521000,-1521000,None,None,None,None,None,None,None,None,6633000
