SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
HRTG,2020-12-31,USD,51650000,92498000,None,-45847000,-104345000,42953000,127000,15974000,None,2807000,-114580000,-5720000,None,0,0,None,1683000,-1683000,None,None,None,None,0,None,-68650000,None,2807000
HRTG,2020-09-30,USD,-13236000,92273000,None,-29668000,2308000,41522000,512000,11599000,None,-5233000,233657000,-5579000,None,0,0,None,1693000,-1693000,None,None,None,None,0,None,214842000,None,-5233000
HRTG,2020-06-30,USD,46100000,82061000,None,245095000,232641000,43524000,41000,4651000,None,4132000,-71530000,-3808000,None,2011000,2011000,None,1726000,-1726000,None,None,None,None,-2011000,None,-38245000,None,4132000
HRTG,2020-03-31,USD,85697000,71336000,None,-58720000,-129587000,44209000,75000,-3171000,None,7620000,-25485000,-13791000,None,7986000,7986000,None,1750000,-1750000,None,None,None,None,-7986000,None,46421000,None,7620000
HRTG,2019-12-31,USD,3504000,58053000,None,-103074000,102391000,50440000,51000,-7440000,None,12818000,47061000,-11342000,None,4290000,4290000,None,1771000,-1771000,None,None,None,None,-4290000,None,39223000,None,12818000
HRTG,2019-09-30,USD,39738000,70693000,None,-76517000,-123363000,29452000,446000,-7120000,None,8133000,-63874000,-8352000,None,4549000,4549000,None,1792000,-1792000,None,None,None,None,-4549000,None,-32488000,None,8133000
HRTG,2019-06-30,USD,6903000,56923000,None,218892000,264007000,34208000,493000,17366000,None,6903000,-2601000,-4196000,None,2333000,2333000,None,1795000,-1795000,None,None,None,None,-2333000,None,6903000,None,721000
HRTG,2019-03-31,USD,15170000,57134000,None,-63213000,-160968000,43450000,3994000,-35221000,None,15170000,-34171000,-21544000,None,5011000,5011000,None,1601000,-1601000,None,None,None,None,-5011000,None,15170000,None,6964000
HRTG,2018-12-31,USD,23760000,75974000,None,-59186000,-78990000,113315000,856000,-663000,None,23760000,5231000,-11720000,None,0,0,None,1591000,-1591000,None,None,None,None,0,None,23760000,None,3929000
HRTG,2018-09-30,USD,18068000,43077000,None,-97834000,-159713000,15987000,1058000,-6243000,None,18068000,-11804000,-1660000,None,0,0,None,1595000,-1595000,None,None,None,None,0,None,18068000,None,5989000
HRTG,2018-06-30,USD,10620000,55026000,None,199214000,88488000,22386000,284000,24969000,None,10620000,-24809000,-14905000,None,1000,1000,None,1593000,-1593000,None,None,None,None,-1000,None,10620000,None,2408000
HRTG,2018-03-31,USD,27892000,50891000,None,9632000,126312000,21864000,83000,-19815000,None,27892000,55747000,-3668000,None,1999000,1999000,None,1601000,-1601000,None,None,None,None,-1999000,None,27892000,None,14829000
HRTG,2017-12-31,USD,-124188000,28912000,None,-82411000,-45147000,30777000,190000,37662000,None,-5048000,-91812000,-15675000,None,-1000,-1000,None,1459000,-1459000,None,None,None,None,418000,None,-198624000,None,-5048000
HRTG,2017-09-30,USD,-242570000,85008000,None,-48628000,251219000,21107000,45000,-648000,None,-8696000,79541000,75405000,None,53017000,53017000,None,3223000,-3223000,None,None,None,None,-53017000,None,218145000,None,-8696000
HRTG,2017-06-30,USD,-42468000,56011000,None,6901000,171921000,21979000,2000,-4127000,None,6642000,6278000,-5885000,None,4101000,4101000,None,1784000,-1784000,None,None,None,None,-4101000,None,29441000,None,6642000
HRTG,2017-03-31,USD,14470000,55944000,None,-76477000,-76921000,26287000,148000,-4289000,None,5983000,-1249000,-6289000,None,4506000,4506000,None,1783000,-1783000,None,None,None,None,-4506000,None,-1082000,None,5983000
HRTG,2016-12-31,USD,-58162000,55343000,None,-79056000,-46561000,28002000,-18000,5433000,None,-2855000,-70169000,69616000,None,5000000,5000000,None,1578000,-1578000,None,None,None,None,-5000000,None,-25018000,None,-2856000
HRTG,2016-09-30,USD,-17176000,35696000,None,-79054000,-53626000,73123000,126000,2311000,None,10929000,-1630000,-5809000,None,4000000,4000000,None,1809000,-1809000,None,None,None,None,-4000000,None,-12117000,None,10930000
HRTG,2016-06-30,USD,-7726000,39752000,None,13658000,201793000,-45000,760000,-192075000,None,18368000,-64403000,-8767000,None,6927000,None,None,1840000,-1840000,None,None,None,None,-6927000,None,-25907000,None,18368000
HRTG,2016-03-31,USD,69826000,42242000,None,-36066000,-39857000,398000,753000,45226000,None,7423000,-113214000,-11214000,None,9635000,None,None,1579000,-1579000,None,None,None,None,-9635000,None,-67418000,None,7423000
