SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ICFI,2020-12-31,USD,77974000,19599000,None,9092000,11241000,8519000,4773000,-4956000,None,12820000,-4948000,-2752000,74250000,None,6479000,None,2641000,2641000,None,None,None,None,-6479000,None,70274000,None,12820000
ICFI,2020-09-30,USD,84370000,14633000,None,32634000,583000,8654000,3895000,5301000,None,17871000,-3895000,-81659000,31694000,None,223000,None,2635000,2635000,None,None,None,None,-223000,None,-1184000,None,17871000
ICFI,2020-06-30,USD,26033000,22771000,None,-8745000,-14759000,8543000,4311000,-14241000,None,13656000,-4380000,-71508000,170176000,None,-974000,None,2636000,2636000,None,None,None,None,974000,None,13656000,None,13656000
ICFI,2020-03-31,USD,-15232000,14313000,None,-45223000,-44174000,8032000,4704000,-40488000,None,10612000,-257725000,325874000,744331000,None,23998000,None,2639000,2639000,None,None,None,None,-23961000,None,52917000,None,10612000
ICFI,2019-12-31,USD,85076000,20512000,None,22103000,-9581000,6647000,6215000,-8411000,None,19379000,-6215000,-80271000,141291000,None,-887000,None,2634000,2634000,None,None,None,None,1918000,None,-1410000,None,19379000
ICFI,2019-09-30,USD,54310000,14697000,None,21884000,-5942000,6966000,6170000,-6501000,None,19630000,-7920000,-44861000,167065000,None,143000,None,2628000,2628000,None,None,None,None,1311000,None,1529000,None,19630000
ICFI,2019-06-30,USD,22542000,17460000,None,6132000,57682000,7672000,6977000,54448000,None,22542000,-6977000,43048000,215234000,None,8940000,None,2642000,2642000,None,None,None,None,-8940000,None,22542000,None,14611000
ICFI,2019-03-31,USD,21889000,12052000,None,-10014000,-12733000,6897000,7539000,-8236000,None,21889000,-9358000,14444000,163240000,None,15218000,None,2636000,2636000,None,None,None,None,-14814000,None,21889000,None,15318000
ICFI,2018-12-31,USD,29443000,4514000,None,19303000,30755000,7453000,6219000,36046000,None,29443000,-17947000,-39935000,129354000,None,None,None,2646000,2646000,None,None,None,None,-4726000,None,29443000,None,18695000
ICFI,2018-09-30,USD,24222000,5118000,None,20786000,17805000,6726000,6196000,18079000,None,24222000,-17205000,-15380000,159864000,None,None,None,2634000,2634000,None,None,None,None,-3802000,None,24222000,None,16671000
ICFI,2018-06-30,USD,21025000,12920000,None,-8001000,11298000,6315000,6161000,9290000,None,21025000,-6164000,9447000,146533000,None,None,None,-2635000,-2635000,None,None,None,None,512000,None,21025000,None,13617000
ICFI,2018-03-31,USD,17582000,2211000,None,-5762000,1788000,6712000,3236000,-3319000,None,17582000,-15071000,17097000,138240000,None,None,None,-2635000,-2635000,None,None,None,None,-9109000,None,17582000,None,12417000
ICFI,2017-12-31,USD,68280000,8454000,None,6365000,9757000,6924000,6038000,3358000,None,27070000,-6037000,-24794000,129350000,None,None,None,-7915000,-7915000,None,None,None,None,470000,None,37449000,None,27070000
ICFI,2017-09-30,USD,108113000,4222000,None,23937000,-470000,7354000,3333000,-327000,None,13692000,-2393000,-54530000,111900000,None,None,None,None,None,None,None,None,None,-7681000,None,74689000,None,13692000
ICFI,2017-06-30,USD,11937000,13621000,None,2356000,8105000,7048000,6083000,7297000,None,11937000,-3512000,-6057000,221796000,None,None,None,None,None,None,None,None,None,-6239000,None,1286000,318000,11937000
ICFI,2017-03-31,USD,24725000,3284000,None,-12035000,-924000,7253000,2571000,-3094000,None,14791000,-2662000,-1919000,127179000,None,None,None,None,None,None,None,None,None,-19014000,None,2165000,41000,10177000
ICFI,2016-12-31,USD,41440000,8809000,None,3539000,2610000,7499000,3137000,10734000,None,12673000,-3237000,-22302000,117637000,None,None,None,-7915000,-7915000,None,None,None,None,-415000,None,-3605000,189000,12673000
ICFI,2016-09-30,USD,79556000,5359000,None,-712000,-14647000,7241000,2798000,-8872000,None,13437000,-2798000,-39487000,101732000,None,None,None,None,None,None,None,None,None,-2713000,None,-1201000,-997000,13437000
ICFI,2016-06-30,USD,45882000,13791000,None,23741000,12524000,7232000,3672000,7698000,None,10583000,-3672000,-24113000,135936000,None,None,None,None,None,None,None,None,None,-4031000,None,1489000,-44000,10583000
ICFI,2016-03-31,USD,-13581000,2072000,None,-8721000,25284000,7147000,4184000,19460000,None,9687000,-4184000,18928000,123279000,None,None,None,None,None,None,None,None,None,-6664000,None,1612000,449000,9687000
