SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
IPGP,2020-12-31,USD,85318000,7906000,None,-3013000,27673000,23366000,25825000,15330000,5687000,49676000,-3496000,15485000,None,0,0,None,None,None,None,None,None,None,16427000,None,97307000,None,49339000
IPGP,2020-09-30,USD,69761000,589000,None,9163000,59763000,23838000,24501000,30703000,19053000,35530000,-60874000,-2094000,None,9654000,9654000,None,None,None,None,None,None,None,-1158000,None,6793000,None,35604000
IPGP,2020-06-30,USD,73475000,614000,None,-24746000,-3537000,23251000,19569000,1481000,4731000,38366000,104550000,-2679000,None,15514000,15514000,None,None,None,None,None,None,None,-1745000,None,38366000,None,38226000
IPGP,2020-03-31,USD,56781000,447000,None,-21435000,-15008000,24099000,17801000,-34492000,10429000,36766000,-139754000,-20792000,None,12716000,12716000,None,None,None,None,None,None,None,-18214000,None,-103765000,None,36403000
IPGP,2019-12-31,USD,129939000,9422000,None,-7506000,-37269000,23737000,25996000,-17338000,-22927000,-4303000,-28738000,-10043000,None,14811000,14811000,None,None,None,None,None,None,None,-9119000,None,91158000,None,-4450000
IPGP,2019-09-30,USD,91803000,491000,None,-17372000,3266000,25045000,21048000,-13494000,10243000,57127000,-4979000,-22881000,None,23637000,23637000,None,None,None,None,None,None,None,-21993000,None,63943000,None,57253000
IPGP,2019-06-30,USD,180237000,1572000,None,-506000,62576000,24684000,53504000,43909000,21070000,180237000,-83106000,2917000,None,None,2284000,None,None,None,None,None,None,None,3833000,None,180237000,None,72272000
IPGP,2019-03-31,USD,148911000,749000,None,-66120000,-18132000,22802000,32988000,-22853000,19719000,148911000,-23152000,-7060000,None,None,0,None,None,None,None,None,None,None,-6149000,None,148911000,None,55159000
IPGP,2018-12-31,USD,166747000,650000,None,19696000,15812000,21377000,26988000,-7244000,13389000,166747000,-146131000,-64518000,None,None,64139000,None,None,None,None,None,None,None,-64071000,None,166747000,-5649000,75559000
IPGP,2018-09-30,USD,195184000,730000,None,-11269000,53681000,20167000,36839000,16567000,31037000,195184000,-188547000,-59902000,None,None,60862000,None,None,None,None,None,None,None,-59378000,None,195184000,7563000,100517000
IPGP,2018-06-30,USD,234975000,873000,None,8804000,59860000,19504000,57403000,17433000,41270000,234975000,-188878000,-24374000,None,None,30993000,None,None,None,None,None,None,None,-23475000,None,234975000,-47977000,121617000
IPGP,2018-03-31,USD,203362000,799000,None,-3111000,36539000,19223000,39113000,-7942000,49744000,203362000,-39443000,-17853000,None,None,20071000,None,None,None,None,None,None,None,-16958000,None,203362000,16866000,106334000
IPGP,2017-12-31,USD,108545000,618000,None,50274000,29196000,18152000,27314000,6809000,31383000,52956000,-77489000,-8609000,None,None,13076000,None,None,None,None,None,None,None,-7718000,None,29633000,7186000,52956000
IPGP,2017-09-30,USD,163748000,990000,None,-3637000,-14550000,16702000,55589000,-17218000,13877000,115597000,-138020000,30654000,None,None,2799000,None,None,None,None,None,None,None,3345000,None,72156000,15774000,115597000
IPGP,2017-06-30,USD,82282000,528000,None,-5697000,52716000,15210000,21757000,50833000,3412000,104103000,24330000,-21681000,None,None,11573000,None,None,None,None,None,None,None,-4021000,None,110333000,25402000,104116000
IPGP,2017-03-31,USD,50820000,447000,None,-12300000,44973000,14504000,21875000,22801000,22408000,74932000,20374000,-3736000,None,None,12539000,None,None,None,None,None,None,None,-2939000,None,73923000,6465000,74945000
IPGP,2016-12-31,USD,99287000,2883000,None,7734000,12224000,13829000,26995000,591000,10812000,75129000,-107504000,3301000,None,None,5463000,None,None,None,None,None,None,None,1534000,None,-21703000,-16787000,75133000
IPGP,2016-09-30,USD,87727000,88000,None,10028000,28120000,13993000,29184000,13738000,8146000,69227000,-29279000,-3859000,None,None,3483000,None,None,None,None,None,None,None,-2876000,None,58272000,3683000,69235000
IPGP,2016-06-30,USD,41281000,2304000,None,-22891000,27559000,12259000,45903000,5255000,15303000,67031000,-92941000,30370000,None,None,None,None,None,None,None,None,None,None,5935000,None,-26406000,-5116000,67058000
IPGP,2016-03-31,USD,63993000,1075000,None,-544000,14144000,11394000,24960000,-8140000,19365000,49328000,-44684000,3039000,None,None,None,None,None,None,None,None,None,None,2644000,None,31160000,8812000,49326000
