SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
IRWD,2020-12-31,USD,51513000,7989000,None,1262000,7782000,-17388000,1842000,9305000,None,43204000,-28000,3524000,None,None,None,None,None,None,None,None,None,None,3524000,None,55009000,None,43204000
IRWD,2020-09-30,USD,53632000,287000,None,5363000,4566000,7436000,None,8073000,None,34423000,0,670000,None,None,None,None,None,None,None,None,None,None,670000,None,54302000,None,34423000
IRWD,2020-06-30,USD,20088000,43000,None,-2197000,17742000,6154000,376000,14472000,648000,25204000,-376000,2397000,None,None,None,None,None,None,None,None,None,None,2397000,None,50408000,None,25204000
IRWD,2020-03-31,USD,43603000,43000,None,-11797000,-36191000,6098000,1438000,-35941000,None,3345000,-1438000,11955000,None,None,None,None,None,None,None,None,None,None,11955000,None,54120000,None,3345000
IRWD,2019-12-31,USD,27580000,27313000,None,4172000,21561000,-14645000,2668000,22181000,1086000,47858000,-2661000,6447000,0,None,None,None,None,None,None,None,None,None,6447000,None,31366000,None,47858000
IRWD,2019-09-30,USD,34767000,2250000,None,-10792000,28696000,9406000,3077000,25183000,-451000,20648000,-3077000,8633000,-134940000,None,None,None,None,None,None,None,None,None,1944000,None,40323000,None,20648000
IRWD,2019-06-30,USD,-9237000,None,None,-11751000,30243000,4988000,1791000,29862000,-483000,12283000,-2429000,-7500000,None,None,None,None,None,None,None,None,None,None,1717000,None,12283000,None,12300000
IRWD,2019-03-31,USD,-42385000,4412000,None,-13454000,-10720000,5851000,3235000,-8333000,-152000,-59284000,-2977000,-8765000,None,None,None,None,None,None,None,None,None,None,3487000,None,-54127000,None,-59284000
IRWD,2018-12-31,USD,9273000,None,None,-2698000,5331000,1265000,3301000,15575000,-93000,-15493000,17488000,4849000,None,None,None,None,None,None,None,None,None,None,4909000,None,31610000,None,-15493000
IRWD,2018-09-30,USD,-26578000,None,None,4479000,-11696000,1386000,2120000,-15144000,279000,-174351000,14285000,7810000,None,None,None,None,None,None,None,None,None,None,8108000,None,-4483000,None,-174351000
IRWD,2018-06-30,USD,-22691000,None,None,18576000,17781000,1671000,1691000,9868000,-224000,-49380000,12440000,12128000,None,None,None,None,None,None,None,None,None,None,12841000,None,-47418000,None,-49380000
IRWD,2018-03-31,USD,-30886000,None,None,-12300000,-9153000,1790000,1509000,-11506000,-768000,-43144000,44653000,5285000,None,None,None,None,None,None,None,None,None,None,6203000,None,19052000,None,-43144000
IRWD,2017-12-31,USD,-9214000,None,None,-184000,2515000,1801000,1002000,2074000,-735000,12085000,-33853000,6163000,None,None,None,None,None,None,None,None,None,None,6991000,None,-36904000,None,12085000
IRWD,2017-09-30,USD,-31242000,None,None,-1539000,19470000,1764000,1463000,19726000,1081000,-32297000,26659000,-14909000,None,None,None,None,None,None,None,None,None,None,906000,None,-19492000,None,-32297000
IRWD,2017-06-30,USD,-37291000,None,None,-623000,7824000,1928000,709000,9210000,1010000,-44224000,70595000,9479000,None,None,None,None,None,None,None,None,None,None,10302000,None,-37291000,None,-44224000
IRWD,2017-03-31,USD,-38503000,None,None,-4497000,-14351000,2910000,1037000,-13707000,71000,-52501000,88059000,19102000,None,None,None,None,None,None,None,None,None,None,8171000,None,147973000,None,-52501000
IRWD,2016-12-31,USD,-44286000,None,None,-745000,11311000,2761000,1198000,11139000,346000,-13505000,-115424000,5177000,None,None,None,None,None,None,None,None,None,None,14288000,None,-283466000,None,-13505000
IRWD,2016-09-30,USD,30089000,None,None,14223000,1366000,2198000,1385000,568000,None,-33204000,-90361000,-3389000,None,None,None,None,None,None,None,None,None,None,4390000,None,-158056000,None,-33204000
IRWD,2016-06-30,USD,-21702000,None,None,5000000,-124000,2487000,615000,129000,None,-21702000,4763000,-2094000,None,None,None,None,None,None,None,None,None,None,4322000,None,-21702000,None,-21702000
IRWD,2016-03-31,USD,-17624000,None,None,-7784000,-792000,2833000,1008000,-1500000,None,-13297000,23348000,-3870000,None,None,None,None,None,None,None,None,None,None,1841000,None,21493000,None,-13297000
